1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,39.586814,-157.512091,154.839564,-12.666667,-4.639805,9.035409,-3.663004,4.639805,-8.058608,3.663004,-0.767399,2.153846,0
0.001042,109.406596,-169.538465,98.716486,-13.501832,-7.081807,8.058608,-0.244200,7.570208,-7.081807,0.244200,-0.278999,2.114774,0
0.002084,142.813190,-168.536267,13.529671,4.315018,-8.547009,5.616606,2.686203,8.547009,-5.128205,-2.686203,-0.767399,2.085470,0
0.003125,160.184619,-143.815388,-75.331870,23.245421,-8.058608,2.686203,6.105006,8.547009,-2.686203,-5.616606,-0.278999,2.095238,0
0.004167,169.204399,-75.331870,-125.775827,10.439560,-7.081807,-0.244200,7.570208,7.081807,0.732601,-7.570208,-0.278999,2.105006,0
0.005208,162.189015,10.857143,-149.828575,-7.934066,-4.639805,-3.663004,8.547009,4.639805,4.151404,-8.058608,-0.278999,2.105006,0
0.006251,127.112091,94.373628,-164.193410,-16.564103,-1.709402,-6.593407,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.105006,0
0.007292,47.270331,137.802201,-170.206597,-4.593407,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.278999,2.114774,0
0.008333,-41.925276,155.841762,-158.180223,15.728938,5.128205,-8.058608,4.151404,-4.639805,8.547009,-3.174603,-0.278999,2.105006,0
0.009375,-111.410991,167.868136,-100.720881,15.728938,7.081807,-7.081807,0.732601,-6.593407,7.570208,-0.244200,-0.767399,2.105006,0
0.010417,-144.483520,166.865938,-14.197803,-2.087912,8.547009,-5.128205,-2.197802,-8.058608,5.616606,3.174603,-0.767399,2.114774,0
0.011458,-161.854949,142.145058,73.327474,-17.677656,8.547009,-2.686203,-5.128205,-8.058608,2.686203,6.105006,-0.278999,2.144078,0
0.012500,-170.874729,72.993408,124.439563,-6.542125,7.570208,0.732601,-7.570208,-6.593407,-0.244200,7.570208,-0.278999,2.105006,0
0.013542,-163.859344,-12.527473,147.824179,10.996337,5.128205,4.151404,-8.547009,-4.639805,-3.663004,8.547009,-0.767399,2.114774,0
0.014583,-128.448355,-96.043958,162.523081,20.183150,2.197802,6.593407,-8.058608,-1.221001,-6.105006,8.058608,-0.278999,2.114774,0
0.015625,-48.272529,-139.472531,168.202202,7.098901,-1.709402,8.547009,-6.105006,1.709402,-8.058608,6.593407,-0.278999,2.124542,0
0.016667,39.920880,-157.846157,155.507696,-13.223443,-4.639805,9.035409,-3.663004,5.128205,-8.547009,3.663004,-0.278999,2.114774,0
0.017709,109.740662,-170.874729,98.382420,-11.274725,-7.081807,8.058608,-0.244200,7.081807,-7.081807,0.244200,-0.278999,2.105006,0
0.018750,143.147256,-168.870333,12.527473,4.871795,-8.058608,6.105006,3.174603,8.547009,-5.128205,-2.686203,-0.278999,2.114774,0
0.019792,160.184619,-143.815388,-76.668134,22.131868,-8.058608,3.174603,6.105006,8.547009,-2.197802,-5.616606,-0.767399,2.124542,0
0.020833,169.538465,-74.997804,-126.109893,10.439560,-7.081807,-0.244200,7.570208,7.081807,0.732601,-7.570208,-1.744200,2.124542,0
0.021875,162.189015,11.191209,-149.494509,-8.212454,-4.639805,-3.174603,9.035409,4.639805,4.151404,-8.058608,-0.278999,2.163614,0
0.022917,126.443959,94.373628,-164.193410,-14.893773,-1.709402,-6.593407,8.547009,1.709402,6.593407,-7.570208,-0.278999,2.114774,0
0.023958,46.936265,138.136267,-170.206597,-4.036630,1.709402,-8.058608,6.593407,-1.221001,8.547009,-6.105006,-0.278999,2.114774,0
0.025000,-41.925276,156.509894,-157.846157,15.728938,5.128205,-8.547009,4.151404,-4.639805,8.547009,-3.174603,-0.278999,2.105006,0
0.026042,-111.410991,167.868136,-99.384618,15.172161,7.570208,-7.570208,0.732601,-7.081807,7.570208,0.244200,-0.278999,2.095238,0
0.027083,-144.817586,166.865938,-14.197803,-1.531136,8.547009,-5.616606,-2.686203,-8.058608,5.616606,3.174603,-0.278999,2.105006,0
0.028125,-162.189015,141.476926,74.329672,-17.399267,9.035409,-2.686203,-5.128205,-8.058608,2.686203,6.105006,-0.278999,2.105006,0
0.029166,-171.876927,72.325276,124.773629,-7.655678,7.570208,0.732601,-7.570208,-7.081807,-0.244200,8.058608,-0.767399,2.114774,0
0.030209,-163.859344,-13.195605,146.153849,10.996337,5.616606,4.151404,-8.058608,-4.151404,-3.663004,8.547009,-0.767399,2.114774,0
0.031250,-127.780223,-96.378024,162.523081,19.347985,1.221001,6.593407,-8.547009,-1.221001,-6.593407,8.058608,-1.255800,2.144078,0
0.032292,-48.272529,-140.140662,167.868136,5.150183,-1.221001,8.058608,-6.593407,1.709402,-8.058608,6.593407,-0.767399,2.124542,0
0.033333,40.923078,-158.180223,155.173630,-12.945055,-4.639805,9.035409,-3.663004,5.128205,-8.058608,3.663004,-0.278999,2.105006,0
0.034375,110.074728,-169.538465,97.046156,-11.274725,-6.593407,8.058608,-0.244200,7.570208,-7.081807,0.244200,-0.278999,2.095238,0
0.035417,142.813190,-168.202202,11.859341,4.036630,-8.058608,5.616606,3.174603,8.547009,-5.128205,-2.686203,-0.278999,2.095238,0
0.036458,159.850553,-143.147256,-76.668134,19.904762,-8.058608,2.686203,6.105006,8.547009,-2.197802,-5.616606,-0.767399,2.105006,0
