1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,165.529674,-10.189011,-145.819783,-6.820513,-5.616606,-2.686203,9.035409,5.616606,3.174603,-8.058608,-0.278999,2.114774,0
0.001042,140.474728,79.006595,-162.189015,-19.069597,-2.686203,-5.616606,8.547009,2.686203,6.593407,-8.058608,-0.278999,2.114774,0
0.002084,66.980221,128.782420,-171.876927,-7.098901,1.221001,-7.570208,7.570208,-0.244200,8.058608,-6.593407,-0.278999,2.124542,0
0.003125,-20.879121,150.496707,-165.195608,12.945055,4.639805,-8.547009,4.639805,-3.663004,8.547009,-3.663004,-0.278999,2.134310,0
0.004167,-100.720881,165.195608,-119.094508,17.120879,6.593407,-7.570208,1.709402,-6.593407,8.058608,-0.732601,-0.767399,2.124542,0
0.005208,-143.147256,166.865938,-38.250550,5.706960,8.058608,-6.105006,-1.709402,-7.570208,6.593407,2.197802,-0.278999,2.212454,0
0.006250,-158.514289,151.498904,52.615386,-15.172161,8.547009,-3.174603,-5.128205,-8.058608,3.663004,5.128205,-0.278999,2.095238,0
0.007292,-169.872531,92.369233,114.083519,-9.882784,8.058608,-0.244200,-7.081807,-7.081807,0.732601,7.570208,-0.278999,2.105006,0
0.008333,-167.534070,8.518682,143.481322,5.985348,6.105006,3.174603,-8.058608,-5.128205,-2.686203,8.547009,-0.278999,2.124542,0
0.009375,-142.145058,-81.345057,160.184619,22.131868,2.686203,6.105006,-8.058608,-2.197802,-5.616606,8.547009,-0.278999,2.114774,0
0.010417,-68.984617,-130.786816,169.538465,9.604396,-0.244200,8.058608,-7.081807,1.221001,-8.547009,7.081807,-0.278999,2.124542,0
0.011459,18.874726,-152.835168,162.189015,-9.604396,-3.663004,8.547009,-4.639805,4.151404,-8.058608,4.151404,-0.767399,2.124542,0
0.012500,99.050552,-167.200004,116.421981,-14.893773,-6.593407,8.058608,-0.732601,6.593407,-7.570208,1.221001,0.209402,2.114774,0
0.013542,141.476926,-168.870333,35.912089,-2.366300,-8.058608,6.593407,2.197802,8.547009,-5.616606,-1.709402,-0.767399,2.124542,0
0.014584,156.843960,-153.503300,-55.621979,17.120879,-8.547009,3.663004,5.616606,8.547009,-3.174603,-5.128205,-0.767399,2.124542,0
0.015625,168.870333,-94.039563,-116.421981,10.161172,-7.570208,0.732601,7.570208,7.570208,-0.244200,-7.081807,-0.767399,2.114774,0
0.016667,165.529674,-9.520879,-146.153849,-3.479853,-5.128205,-2.686203,8.547009,5.616606,3.174603,-8.058608,-0.767399,2.124542,0
0.017708,140.474728,80.008793,-162.523081,-18.234432,-2.686203,-6.105006,8.547009,2.686203,6.105006,-8.547009,-0.278999,2.124542,0
0.018751,65.978023,129.116486,-171.876927,-5.985348,0.732601,-7.570208,7.570208,-0.732601,8.058608,-6.593407,-0.278999,2.124542,0
0.019792,-22.215385,150.830773,-164.193410,12.945055,4.151404,-8.547009,4.639805,-4.151404,8.547009,-3.663004,0.209402,2.114774,0
0.020833,-101.389013,165.529674,-118.092310,17.120879,7.081807,-7.570208,1.221001,-6.105006,8.058608,-0.732601,-0.278999,2.105006,0
0.021875,-142.813190,166.531872,-37.582418,4.315018,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.686203,-0.278999,2.114774,0
0.022917,-158.514289,150.830773,53.283518,-14.893773,9.035409,-3.174603,-4.639805,-8.058608,3.663004,5.128205,-0.767399,2.134310,0
0.023958,-170.206597,91.701101,114.417585,-5.985348,7.570208,0.244200,-7.081807,-7.570208,0.244200,7.570208,-0.767399,2.114774,0
0.025000,-167.534070,7.850550,143.481322,5.150183,6.105006,3.174603,-8.547009,-5.128205,-3.174603,9.035409,-0.278999,2.192918,0
0.026042,-142.145058,-82.013189,160.184619,22.410256,3.174603,6.105006,-8.058608,-2.197802,-5.616606,8.547009,-0.767399,2.124542,0
0.027083,-67.648353,-131.120882,169.538465,9.047619,-0.244200,8.058608,-7.081807,1.221001,-7.570208,7.081807,-0.278999,2.124542,0
0.028125,20.545055,-152.835168,162.523081,-9.882784,-4.151404,9.035409,-4.151404,4.151404,-8.547009,4.151404,-0.278999,2.114774,0
0.029167,99.718684,-167.534070,116.421981,-15.172161,-6.593407,8.058608,-0.732601,6.593407,-7.570208,1.221001,-0.278999,2.105006,0
0.030209,141.810992,-168.536267,34.575825,-1.809524,-8.058608,6.105006,2.197802,8.058608,-6.105006,-2.197802,-0.278999,2.105006,0
0.031250,156.509894,-153.169234,-56.624177,19.069597,-8.547009,3.663004,5.128205,8.547009,-3.174603,-4.639805,-0.767399,2.105006,0
0.032292,169.538465,-93.705497,-117.090113,13.223443,-7.570208,0.732601,7.570208,7.570208,0.244200,-6.593407,-0.278999,2.105006,0
0.033333,165.529674,-8.518682,-146.821981,-2.366300,-5.128205,-2.686203,8.547009,5.616606,3.174603,-8.058608,-0.767399,2.183150,0
0.034375,140.140662,80.342859,-162.189015,-19.347985,-2.686203,-5.616606,9.035409,2.686203,6.105006,-8.058608,-0.767399,2.134310,0
0.035417,65.643958,129.784618,-171.542861,-4.871795,0.732601,-7.570208,7.081807,-0.244200,8.058608,-6.593407,-0.278999,2.105006,0
0.036458,-22.215385,151.164839,-164.861542,12.388278,4.151404,-8.547009,5.128205,-4.151404,8.547009,-3.663004,-0.278999,2.114774,0
0.037500,-101.054947,165.863740,-118.092310,18.234432,7.081807,-7.570208,1.709402,-6.105006,7.570208,-0.732601,-0.278999,2.105006,0
0.038542,-143.147256,166.865938,-36.246155,2.644689,8.547009,-6.105006,-1.709402,-8.058608,6.105006,2.197802,0.209402,2.105006,0
0.039583,-159.516487,151.164839,54.619781,-14.615385,8.547009,-3.174603,-5.128205,-8.058608,3.663004,5.128205,-0.278999,2.095238,0
