1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-84.351650,-162.189015,165.529674,27.421245,2.686203,6.105006,-8.058608,-2.197802,-5.616606,8.058608,0.697802,2.730159,0
0.001042,12.193407,-181.564839,157.512091,3.201465,-0.732601,7.570208,-7.081807,0.732601,-7.570208,6.593407,-0.278999,2.700855,0
0.002083,108.070332,-179.560444,121.432970,-17.399267,-3.663004,8.547009,-4.151404,3.663004,-7.570208,4.151404,-0.278999,2.710623,0
0.003124,167.534070,-166.531872,44.263737,-15.172161,-6.105006,8.058608,-1.221001,6.593407,-7.081807,1.221001,-0.278999,2.691087,0
0.004166,183.569235,-148.158245,-54.619781,7.934066,-8.058608,6.593407,1.709402,8.058608,-5.616606,-1.709402,0.209402,2.710623,0
0.005208,173.547257,-107.068134,-139.806597,25.472527,-8.058608,4.151404,5.128205,8.058608,-3.174603,-4.639805,-0.278999,2.700855,0
0.006249,160.852751,-19.208792,-174.549454,10.996337,-7.570208,0.732601,7.570208,7.570208,-0.244200,-7.081807,-0.278999,2.700855,0
0.007291,135.797805,79.674727,-183.903301,-10.439560,-5.128205,-2.686203,9.035409,5.616606,3.174603,-8.058608,-0.767399,2.720391,0
0.008333,81.345057,159.850553,-167.868136,-23.245421,-2.197802,-5.616606,8.547009,2.686203,6.105006,-7.570208,-0.767399,2.769231,0
0.009375,-14.865934,179.894510,-161.854949,-0.974359,0.732601,-7.570208,7.081807,-0.244200,7.570208,-6.105006,-0.278999,2.730159,0
0.010416,-110.074728,177.556048,-123.103299,21.018315,3.663004,-8.058608,4.639805,-3.174603,8.058608,-4.151404,-0.278999,2.759463,0
0.011458,-169.204399,164.193410,-46.602199,19.347985,6.593407,-7.570208,1.709402,-6.105006,7.570208,-0.732601,-0.278999,2.700855,0
0.012500,-185.573631,146.153849,52.615386,-4.593407,8.058608,-6.105006,-1.709402,-8.058608,6.105006,2.197802,-0.278999,2.710623,0
0.013541,-174.549454,104.061541,138.470333,-21.853480,8.547009,-3.174603,-4.639805,-8.058608,3.174603,5.128205,-0.278999,2.700855,0
0.014583,-163.859344,16.536264,171.876927,-7.098901,7.570208,-0.244200,-6.593407,-7.081807,0.244200,7.081807,0.209402,2.691087,0
0.015625,-137.468135,-82.681321,181.564839,14.336996,5.616606,3.174603,-8.058608,-5.128205,-2.686203,8.058608,0.209402,2.720391,0
0.016666,-83.683518,-162.523081,164.861542,27.699634,3.174603,6.105006,-8.058608,-2.197802,-5.616606,8.058608,-0.278999,2.720391,0
