1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-119.762640,170.206597,-82.347255,11.553114,8.058608,-7.081807,0.244200,-7.570208,7.081807,0.732601,-0.767399,2.105006,0
0.001042,-148.158245,163.191212,3.507692,-5.706960,8.547009,-5.616606,-3.174603,-8.547009,5.128205,3.663004,-0.278999,2.114774,0
0.002084,-161.186817,132.791212,92.035167,-19.347985,8.547009,-1.709402,-6.105006,-8.058608,2.197802,6.593407,-0.278999,2.124542,0
0.003125,-170.206597,54.619781,133.125278,-5.428571,7.081807,1.709402,-7.570208,-6.593407,-0.732601,8.058608,-0.278999,2.124542,0
0.004167,-160.184619,-32.237363,152.167036,14.615385,4.639805,4.639805,-8.547009,-3.663004,-4.151404,8.547009,-0.278999,2.124542,0
0.005208,-111.076926,-105.397805,166.531872,16.285714,1.709402,7.081807,-7.570208,-0.732601,-6.593407,8.058608,-0.278999,2.134310,0
0.006251,-28.228572,-142.813190,168.536267,0.417582,-1.709402,8.547009,-5.616606,2.686203,-8.058608,6.105006,-0.767399,2.144078,0
0.007292,61.635166,-161.186817,148.158245,-15.728938,-5.128205,8.547009,-2.686203,5.616606,-8.058608,2.686203,-0.767399,2.124542,0
0.008335,118.426376,-171.876927,80.008793,-9.047619,-7.570208,7.570208,0.244200,7.570208,-6.593407,-0.244200,-0.767399,2.134310,0
0.009376,146.487915,-164.861542,-5.846154,9.047619,-8.058608,5.128205,3.663004,8.547009,-4.639805,-3.174603,-0.767399,2.114774,0
0.010418,159.516487,-134.127476,-94.373628,22.131868,-8.547009,2.197802,5.616606,8.547009,-1.221001,-6.105006,-0.278999,2.124542,0
0.011460,168.870333,-55.621979,-135.463739,6.820513,-6.593407,-0.732601,8.058608,7.081807,1.221001,-7.570208,-0.278999,2.134310,0
0.012500,158.514289,30.901100,-154.171432,-11.274725,-4.151404,-4.639805,9.035409,4.151404,4.639805,-8.058608,-0.278999,2.124542,0
0.013542,107.736266,103.727475,-168.202202,-13.223443,-0.732601,-7.081807,8.547009,1.221001,7.570208,-7.570208,-0.278999,2.124542,0
0.014584,25.556045,140.474728,-170.540663,2.366300,2.686203,-8.058608,6.105006,-2.197802,8.547009,-5.616606,-0.278999,2.134310,0
0.015625,-63.305496,159.516487,-148.826377,18.791209,5.616606,-8.547009,3.174603,-5.128205,8.547009,-2.197802,-0.767399,2.124542,0
0.016667,-120.096706,170.206597,-82.013189,12.109890,8.058608,-7.081807,-0.244200,-7.081807,7.081807,0.732601,-0.767399,2.163614,0
0.017709,-148.158245,162.857146,4.175824,-10.161172,8.547009,-4.639805,-3.174603,-8.058608,5.128205,3.663004,-0.767399,2.124542,0
0.018750,-161.186817,132.457146,92.035167,-19.069597,8.547009,-1.709402,-6.105006,-8.058608,1.709402,6.593407,-0.278999,2.163614,0
0.019792,-170.540663,53.617584,133.459344,-4.871795,7.081807,1.221001,-8.058608,-6.593407,-1.221001,8.058608,-0.278999,2.124542,0
