1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-2.839561,146.153849,-170.540663,9.882784,2.686203,-10.012210,7.570208,-2.686203,10.500611,-7.081807,-0.278999,2.691087,0
0.001041,-95.375826,158.514289,-142.813190,27.978022,7.081807,-10.500611,4.151404,-6.105006,10.500611,-3.174603,-0.278999,2.681319,0
0.002083,-137.134069,170.206597,-58.294507,9.047619,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.278999,2.691087,0
0.003125,-151.832970,161.854949,33.907693,-13.780220,10.500611,-6.105006,-4.151404,-10.012210,6.593407,4.639805,-0.767399,2.720391,0
0.004167,-166.531872,112.747255,108.738464,-15.172161,10.500611,-2.686203,-7.570208,-10.012210,2.686203,8.058608,-0.278999,2.681319,0
0.005208,-171.542861,27.560440,142.145058,3.479853,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.012210,-0.767399,2.700855,0
0.006251,-156.843960,-65.309892,156.175828,23.245421,5.616606,5.616606,-10.500611,-4.639805,-5.128205,10.989011,-0.767399,2.769231,0
0.007291,-89.362639,-122.101102,170.540663,14.058608,1.221001,9.035409,-10.012210,-1.221001,-8.547009,9.523810,-0.278999,2.681319,0
0.008334,0.835165,-148.158245,168.202202,-6.542125,-2.686203,10.500611,-7.570208,2.686203,-10.012210,7.081807,-0.278999,2.896215,0
0.009375,93.371431,-160.184619,140.140662,-24.358974,-6.105006,10.989011,-3.663004,6.593407,-10.012210,3.663004,-0.278999,2.681319,0
0.010416,134.795607,-172.210993,55.287913,-5.706960,-9.035409,9.523810,0.244200,9.523810,-8.547009,-0.244200,-0.278999,2.661783,0
0.011458,150.162641,-164.193410,-37.248352,17.677656,-10.500611,6.593407,4.639805,10.500611,-6.105006,-3.663004,-0.278999,2.661783,0
0.012500,165.195608,-114.751651,-111.410991,20.461538,-10.012210,2.686203,7.570208,10.012210,-2.197802,-7.570208,-0.767399,2.700855,0
0.013541,169.538465,-27.226374,-145.151652,2.366300,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.767399,2.691087,0
0.014583,154.839564,63.973628,-158.180223,-19.626374,-5.128205,-5.128205,10.989011,5.128205,6.105006,-10.012210,-0.767399,2.691087,0
0.015625,87.024178,120.430772,-172.545059,-9.047619,-1.221001,-8.547009,10.012210,1.709402,9.035409,-9.035409,-0.278999,2.691087,0
0.016667,-3.173626,146.153849,-170.206597,11.274725,2.686203,-10.012210,7.570208,-2.686203,10.500611,-6.593407,-0.278999,2.691087,0
0.017708,-96.043958,158.848355,-142.145058,28.256410,7.081807,-10.500611,4.151404,-6.593407,10.500611,-3.174603,-0.278999,2.681319,0
0.018750,-137.134069,170.540663,-56.958243,8.490842,9.523810,-9.035409,-0.244200,-9.035409,8.547009,0.732601,-0.278999,2.671551,0
0.019792,-148.492311,162.189015,33.907693,-14.615385,10.989011,-6.105006,-3.663004,-10.012210,6.105006,4.639805,-0.278999,2.661783,0
0.020833,-167.200004,111.410991,109.072530,-16.285714,10.500611,-2.686203,-7.081807,-10.012210,2.686203,8.058608,-0.278999,2.661783,0
0.021875,-171.876927,26.558242,141.476926,3.758242,9.035409,1.221001,-9.035409,-8.058608,-1.221001,10.012210,-0.767399,2.700855,0
0.022916,-156.509894,-66.312089,156.509894,22.688645,5.616606,5.616606,-10.500611,-4.639805,-5.128205,10.989011,-0.767399,2.681319,0
0.023958,-88.694507,-122.435168,170.874729,14.058608,1.709402,8.547009,-9.523810,-0.732601,-8.547009,9.523810,-0.767399,2.691087,0
0.025000,1.503297,-148.158245,168.202202,-5.985348,-2.686203,10.500611,-7.081807,3.174603,-10.012210,7.081807,-0.767399,2.710623,0
0.026041,94.707694,-160.518685,139.138465,-25.194139,-6.105006,10.500611,-3.663004,7.081807,-10.012210,3.663004,-0.278999,2.671551,0
0.027083,135.463739,-172.210993,54.619781,-5.150183,-9.035409,9.523810,0.244200,9.523810,-9.035409,-0.732601,-0.278999,2.671551,0
0.028125,150.496707,-163.859344,-37.248352,18.234432,-10.500611,6.105006,4.151404,10.500611,-5.616606,-4.151404,-0.278999,2.671551,0
0.029166,164.861542,-113.749453,-111.076926,19.069597,-10.012210,2.686203,8.058608,10.500611,-2.197802,-7.570208,-0.278999,2.671551,0
0.030208,169.538465,-28.228572,-144.149454,0.695971,-8.058608,-1.221001,9.523810,8.547009,1.709402,-10.012210,-0.278999,2.691087,0
0.031250,154.171432,64.641760,-159.516487,-19.347985,-5.128205,-5.128205,11.477411,5.128205,5.616606,-10.012210,-0.278999,2.691087,0
0.032292,86.356046,120.430772,-172.879125,-9.326007,-1.221001,-8.547009,10.012210,1.709402,9.035409,-9.035409,-0.278999,2.700855,0
0.033333,-3.507692,145.485718,-170.874729,12.945055,3.174603,-10.012210,7.570208,-2.197802,10.500611,-6.593407,-0.767399,2.700855,0
0.034375,-96.378024,158.848355,-141.142860,27.978022,7.081807,-10.012210,4.151404,-6.105006,10.989011,-3.174603,-0.278999,2.700855,0
0.035416,-137.468135,170.540663,-56.290111,8.769231,9.523810,-9.035409,0.244200,-9.035409,9.035409,0.732601,-0.278999,2.710623,0
0.036459,-152.167036,161.854949,34.575825,-14.336996,10.500611,-6.105006,-4.151404,-10.012210,6.105006,4.639805,-0.278999,2.671551,0
0.037500,-166.865938,111.410991,109.406596,-15.172161,10.012210,-2.197802,-7.570208,-10.012210,2.197802,8.058608,-0.278999,2.671551,0
0.038541,-171.542861,25.556045,142.145058,3.201465,9.035409,1.709402,-9.523810,-8.058608,-1.221001,10.012210,0.209402,2.681319,0
0.039583,-156.509894,-66.980221,156.509894,23.245421,5.616606,5.616606,-10.500611,-5.128205,-5.616606,10.500611,0.209402,2.681319,0
0.040625,-88.026376,-123.103299,170.874729,13.501832,1.709402,9.035409,-9.523810,-0.732601,-8.547009,10.012210,-0.767399,2.691087,0
0.041666,1.837363,-148.492311,167.868136,-5.150183,-2.686203,10.989011,-7.081807,3.174603,-10.012210,7.570208,-1.255800,2.700855,0
0.042708,94.373628,-160.518685,138.804399,-24.637363,-6.593407,10.989011,-3.663004,6.593407,-10.012210,3.663004,-0.767399,2.720391,0
0.043750,135.463739,-171.542861,53.283518,-5.428571,-9.035409,9.523810,0.244200,9.523810,-8.547009,-0.244200,-0.767399,2.671551,0
0.044792,150.830773,-163.859344,-37.916484,17.677656,-10.500611,6.593407,4.639805,10.500611,-5.616606,-4.151404,-0.767399,2.671551,0
0.045833,165.195608,-113.081321,-111.410991,17.399267,-10.012210,2.686203,8.058608,10.500611,-2.197802,-7.570208,-0.278999,2.661783,0
0.046874,169.872531,-27.894506,-144.149454,0.695971,-8.547009,-1.221001,10.012210,8.547009,1.709402,-9.523810,-0.278999,2.681319,0
