1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,154.839564,21.213187,-181.564839,-5.428571,-6.593407,-0.732601,8.547009,7.570208,1.709402,-7.081807,0.697802,2.681319,0
0.001042,121.432970,115.753849,-178.558246,-5.706960,-3.663004,-3.663004,9.035409,4.639805,4.639805,-7.570208,0.697802,2.730159,0
0.002078,44.931869,167.534070,-163.525278,9.047619,-0.244200,-6.105006,8.547009,1.709402,7.081807,-7.081807,0.209402,2.700855,0
0.003119,-55.956045,184.237367,-146.487915,14.058608,2.686203,-7.570208,6.593407,-1.221001,8.547009,-5.128205,0.697802,2.691087,0
0.004162,-141.476926,172.210993,-98.382420,4.315018,5.128205,-7.570208,3.663004,-4.151404,8.547009,-2.197802,0.697802,2.671551,0
0.005210,-172.879125,160.184619,-8.184616,-6.820513,7.570208,-6.593407,0.244200,-6.593407,7.570208,0.244200,0.209402,2.671551,0
0.006244,-181.230773,133.459344,90.364837,-9.326007,8.547009,-4.639805,-2.197802,-7.570208,5.128205,3.174603,0.697802,2.691087,0
0.007286,-164.527476,74.663738,162.189015,11.274725,8.547009,-1.709402,-5.616606,-7.570208,2.686203,6.105006,0.697802,2.681319,0
0.008328,-153.837366,-18.540660,182.232971,7.098901,7.570208,1.221001,-7.570208,-6.105006,-0.732601,8.058608,0.697802,2.691087,0
0.009369,-121.098904,-114.083519,179.226378,9.047619,5.128205,4.639805,-8.058608,-3.663004,-3.663004,8.547009,0.697802,2.700855,0
0.010411,-43.929671,-166.531872,164.193410,-6.263736,2.197802,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.700855,0
0.011452,57.292309,-183.235169,146.821981,-12.109890,-1.709402,8.547009,-5.616606,2.197802,-7.081807,6.593407,0.209402,2.700855,0
0.012495,142.813190,-171.208795,98.716486,-2.366300,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.663004,0.209402,2.730159,0
0.013536,173.881323,-159.516487,10.189011,8.212454,-6.593407,8.058608,0.732601,7.570208,-6.593407,0.732601,0.209402,2.671551,0
0.014578,182.567037,-132.123080,-90.030771,10.717949,-8.058608,5.616606,3.174603,8.058608,-4.639805,-2.197802,0.697802,2.691087,0
0.015619,165.195608,-73.327474,-161.186817,-9.326007,-7.570208,2.686203,6.105006,8.547009,-1.221001,-5.128205,0.697802,2.691087,0
0.016661,155.173630,19.876924,-180.562641,-4.871795,-6.593407,-0.732601,8.547009,7.570208,1.709402,-7.081807,0.697802,2.691087,0
0.017702,120.764838,115.753849,-178.558246,-6.263736,-3.663004,-3.174603,9.035409,4.639805,4.151404,-7.570208,0.697802,2.691087,0
0.018744,44.597803,168.202202,-163.191212,9.047619,-0.732601,-6.105006,8.058608,1.709402,7.081807,-7.081807,0.697802,2.681319,0
0.019786,-55.956045,184.237367,-146.487915,14.058608,2.686203,-7.570208,6.593407,-1.709402,8.547009,-5.128205,0.209402,2.700855,0
0.020828,-141.810992,173.213191,-98.048354,4.593407,5.128205,-7.570208,4.151404,-4.151404,8.547009,-2.197802,0.209402,2.749695,0
0.021869,-172.545059,160.184619,-9.186813,-6.542125,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,0.697802,2.671551,0
0.022911,-181.230773,133.459344,90.364837,-8.490842,8.547009,-4.639805,-2.686203,-7.570208,5.616606,3.663004,0.209402,2.671551,0
0.023953,-164.193410,73.995606,162.189015,10.996337,8.547009,-1.709402,-5.616606,-7.570208,2.686203,6.105006,0.209402,2.671551,0
0.024994,-153.503300,-18.874726,181.564839,6.820513,7.570208,1.709402,-7.570208,-6.105006,-0.732601,8.058608,0.697802,2.691087,0
0.026036,-120.764838,-114.417585,179.226378,7.934066,4.639805,4.639805,-8.058608,-3.663004,-3.663004,8.547009,0.209402,2.691087,0
0.027078,-42.927473,-166.531872,164.193410,-7.098901,1.709402,7.081807,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.681319,0
0.028120,58.294507,-182.901103,147.156047,-10.996337,-1.221001,8.547009,-5.616606,2.197802,-7.570208,6.105006,0.697802,2.691087,0
0.029161,142.813190,-171.208795,99.050552,-3.201465,-4.151404,8.547009,-2.686203,5.128205,-7.570208,3.174603,0.697802,2.661783,0
0.030202,174.215389,-159.850553,9.520879,9.047619,-6.593407,8.058608,0.732601,7.570208,-6.593407,0.244200,0.697802,2.671551,0
0.031244,182.232971,-132.123080,-90.364837,12.666667,-8.058608,6.105006,3.663004,8.547009,-4.639805,-2.686203,-1.255800,2.691087,0
0.032286,165.195608,-72.659342,-161.186817,-8.769231,-7.570208,2.686203,6.105006,8.547009,-1.709402,-5.616606,0.697802,2.681319,0
0.033327,154.839564,19.876924,-180.896707,-4.315018,-6.593407,-0.244200,8.547009,7.570208,1.709402,-7.570208,0.209402,2.749695,0
0.034369,122.101102,115.753849,-178.224180,-6.263736,-4.151404,-3.663004,8.547009,4.639805,4.639805,-7.570208,0.697802,2.691087,0
0.035411,44.263737,168.202202,-163.525278,9.326007,-0.732601,-6.105006,9.035409,1.709402,7.081807,-7.081807,0.697802,2.681319,0
0.036453,-56.290111,184.237367,-146.821981,13.501832,2.686203,-7.570208,6.593407,-1.221001,8.058608,-5.128205,0.697802,2.691087,0
0.037494,-142.145058,171.876927,-97.046156,4.315018,5.128205,-7.570208,3.663004,-4.151404,8.547009,-2.686203,0.697802,2.661783,0
0.038536,-172.879125,160.518685,-8.852747,-6.820513,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.732601,0.697802,2.671551,0
0.039579,-181.230773,133.793410,91.701101,-9.047619,8.547009,-4.639805,-2.686203,-7.570208,5.616606,3.663004,0.697802,2.691087,0
0.040619,-163.525278,73.661540,162.189015,12.388278,8.547009,-1.709402,-5.616606,-7.570208,2.686203,6.105006,0.697802,2.681319,0
0.041661,-153.503300,-18.540660,181.564839,6.542125,7.570208,1.709402,-7.570208,-6.105006,-0.244200,8.547009,0.697802,2.749695,0
0.042703,-120.764838,-115.085717,179.226378,10.161172,4.639805,4.151404,-8.058608,-3.663004,-3.174603,8.547009,0.209402,2.700855,0
0.043744,-42.927473,-167.200004,164.193410,-6.820513,1.709402,7.570208,-7.570208,-0.732601,-6.105006,8.058608,0.209402,2.769231,0
0.044786,57.960441,-182.901103,147.490113,-11.831502,-1.221001,8.547009,-5.616606,2.686203,-7.570208,6.105006,0.209402,2.691087,0
0.045828,143.147256,-170.874729,97.714288,-3.479853,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.663004,0.209402,2.671551,0
0.046869,174.215389,-159.182421,9.520879,8.490842,-6.593407,7.570208,0.244200,7.570208,-6.593407,0.732601,0.209402,2.671551,0
0.047911,182.232971,-131.789014,-90.364837,11.274725,-7.570208,5.616606,3.663004,8.547009,-4.639805,-2.686203,0.697802,2.691087,0
0.048959,165.529674,-70.654947,-161.520883,-10.717949,-7.570208,2.686203,6.593407,8.547009,-1.709402,-5.616606,0.209402,2.691087,0
0.050000,153.503300,22.215385,-181.564839,-5.985348,-6.593407,-0.732601,8.547009,7.081807,1.709402,-7.081807,0.697802,2.691087,0
0.051038,121.098904,116.421981,-177.556048,-5.706960,-3.663004,-3.663004,9.035409,4.639805,4.151404,-7.570208,0.697802,2.691087,0
0.052078,43.595605,168.202202,-163.859344,8.212454,-0.732601,-6.105006,8.547009,1.709402,7.081807,-7.081807,0.209402,2.778999,0
