1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-141.810992,-71.991210,181.564839,11.831502,6.105006,2.197802,-8.058608,-5.616606,-2.686203,8.058608,-0.767399,2.749695,0
0.001042,-93.371431,-154.505498,166.865938,27.699634,3.174603,5.128205,-7.081807,-2.686203,-5.616606,8.058608,-0.767399,2.710623,0
0.002084,-0.167033,-178.892312,159.182421,6.263736,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.767399,2.710623,0
0.003125,98.716486,-179.894510,126.778025,-15.728938,-3.174603,8.058608,-4.639805,3.174603,-7.570208,4.639805,-0.767399,2.700855,0
0.004167,166.197806,-166.197806,54.953847,-16.842491,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,-0.278999,2.691087,0
0.005208,183.235169,-149.828575,-38.918682,3.201465,-8.058608,7.081807,1.709402,7.570208,-6.105006,-1.221001,-0.278999,2.700855,0
0.006251,173.547257,-114.083519,-130.118684,25.472527,-8.058608,4.151404,4.151404,8.058608,-3.663004,-4.639805,-0.278999,2.710623,0
0.007292,160.852751,-31.569231,-170.874729,15.450549,-7.570208,0.732601,7.081807,7.570208,-0.244200,-6.593407,-0.767399,2.739927,0
0.008333,139.806597,70.320881,-183.235169,-9.882784,-5.616606,-2.197802,8.547009,5.616606,2.686203,-8.058608,-0.767399,2.730159,0
0.009375,91.367035,152.501102,-169.204399,-24.915751,-3.174603,-5.128205,8.547009,3.174603,5.616606,-8.058608,-1.744200,2.730159,0
0.010417,-1.837363,176.887916,-161.520883,-1.809524,0.244200,-7.570208,7.081807,-0.244200,7.570208,-6.593407,-0.278999,2.798535,0
0.011459,-100.720881,177.890114,-129.116486,19.347985,3.174603,-8.058608,4.639805,-3.174603,8.058608,-4.639805,-0.278999,2.710623,0
0.012500,-167.534070,164.193410,-56.958243,20.183150,6.105006,-8.058608,1.709402,-6.105006,7.570208,-1.221001,-0.278999,2.700855,0
0.013542,-185.573631,148.158245,37.582418,0.695971,8.058608,-6.593407,-1.221001,-7.570208,6.105006,1.709402,-0.278999,2.700855,0
0.014584,-175.551652,112.079123,126.778025,-20.739927,8.058608,-3.663004,-4.151404,-8.058608,3.663004,4.639805,-0.278999,2.700855,0
0.015625,-163.191212,27.894506,169.204399,-10.717949,7.570208,-0.732601,-6.593407,-7.081807,0.732601,6.593407,-0.278999,2.700855,0
0.016667,-142.145058,-72.325276,180.896707,12.109890,6.105006,2.686203,-7.570208,-5.616606,-2.686203,8.058608,0.697802,2.730159,0
0.017708,-93.371431,-154.839564,166.531872,30.483516,3.174603,5.616606,-8.058608,-2.686203,-5.128205,8.058608,-0.767399,2.720391,0
0.018751,-0.167033,-178.892312,159.182421,4.036630,0.244200,7.570208,-7.081807,0.244200,-7.081807,6.593407,-0.767399,2.720391,0
0.019792,99.050552,-180.228575,126.778025,-15.172161,-3.174603,8.058608,-4.639805,3.174603,-7.570208,4.639805,-0.767399,2.739927,0
0.020833,166.197806,-166.197806,54.285715,-16.842491,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,-0.278999,2.808303,0
0.021876,183.569235,-149.828575,-39.920880,4.315018,-8.058608,6.593407,1.709402,8.547009,-6.105006,-1.221001,-0.767399,2.710623,0
0.022917,173.881323,-114.083519,-128.782420,25.194139,-8.058608,3.663004,4.639805,8.058608,-3.663004,-4.639805,-0.278999,2.700855,0
0.023959,161.520883,-30.567034,-170.874729,14.336996,-7.570208,0.732601,7.081807,7.570208,-0.732601,-7.081807,-0.278999,2.700855,0
0.025000,139.472531,70.320881,-183.903301,-7.934066,-5.616606,-2.197802,8.058608,5.616606,2.686203,-8.058608,-0.278999,2.720391,0
0.026042,90.698903,152.167036,-168.870333,-24.358974,-3.174603,-5.128205,8.058608,3.174603,5.616606,-8.058608,-0.278999,2.720391,0
0.027084,-2.171429,176.553850,-161.854949,-1.531136,0.244200,-7.081807,7.570208,-0.244200,7.570208,-6.593407,-2.721001,2.720391,0
0.028125,-101.054947,178.224180,-129.116486,22.967033,3.663004,-8.058608,4.639805,-3.174603,8.058608,-4.151404,-0.767399,2.720391,0
0.029177,-167.868136,164.193410,-54.953847,21.018315,6.105006,-7.570208,2.197802,-6.105006,7.570208,-1.221001,-0.767399,2.769231,0
0.030212,-185.573631,147.824179,38.918682,-0.139194,8.058608,-6.105006,-1.709402,-8.058608,6.593407,1.709402,-0.767399,2.730159,0
0.031256,-175.551652,111.410991,127.780223,-19.347985,8.547009,-3.663004,-4.151404,-8.058608,3.663004,4.639805,-0.767399,2.710623,0
0.032302,-163.191212,26.892308,168.870333,-10.996337,7.570208,-0.732601,-6.593407,-7.570208,0.732601,7.081807,-0.278999,2.700855,0
0.033342,-140.808794,-73.995606,181.230773,13.223443,5.616606,2.686203,-8.058608,-5.128205,-2.686203,8.058608,-0.278999,2.720391,0
0.034383,-92.035167,-155.841762,166.197806,28.256410,3.174603,5.128205,-8.058608,-2.686203,-5.616606,8.058608,-0.278999,2.710623,0
0.035417,0.167033,-178.892312,159.182421,7.098901,-0.244200,7.570208,-7.081807,0.244200,-7.570208,6.593407,-0.278999,2.710623,0
0.036459,98.716486,-180.228575,126.109893,-15.172161,-3.174603,8.547009,-4.639805,3.174603,-8.058608,4.639805,-0.278999,2.710623,0
0.037500,165.529674,-166.531872,53.951650,-15.728938,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,0.209402,2.710623,0
0.038543,183.569235,-149.828575,-40.923078,4.315018,-8.058608,6.593407,1.709402,8.058608,-6.105006,-1.221001,-0.767399,2.710623,0
0.039584,174.215389,-113.749453,-129.450552,25.472527,-8.058608,4.151404,4.639805,8.058608,-3.663004,-4.151404,0.697802,2.720391,0
0.040625,161.186817,-30.901100,-171.208795,13.501832,-7.570208,1.221001,7.081807,7.570208,-0.244200,-6.593407,-0.278999,2.700855,0
0.041667,139.472531,70.654947,-183.569235,-8.490842,-6.105006,-2.197802,8.058608,5.616606,2.686203,-7.570208,-0.278999,2.730159,0
0.042709,90.698903,153.169234,-168.870333,-24.637363,-2.686203,-5.128205,8.547009,2.686203,5.616606,-8.058608,-0.767399,2.710623,0
0.043750,-2.171429,176.887916,-161.186817,-3.201465,0.244200,-7.081807,7.570208,-0.244200,7.570208,-6.593407,0.209402,2.710623,0
0.044792,-102.057145,178.224180,-129.116486,19.626374,3.174603,-8.058608,5.128205,-3.174603,8.058608,-4.151404,-0.278999,2.710623,0
0.045834,-167.868136,163.191212,-55.621979,21.018315,6.105006,-8.058608,2.197802,-5.616606,7.081807,-1.709402,-0.278999,2.691087,0
0.046876,-185.239565,147.490113,37.582418,0.695971,8.547009,-6.593407,-1.221001,-7.570208,6.105006,1.709402,-1.255800,2.720391,0
0.047917,-175.885718,111.410991,127.112091,-19.347985,8.547009,-3.663004,-4.151404,-7.570208,3.663004,4.639805,-0.767399,2.739927,0
0.048958,-163.191212,28.562638,168.870333,-9.326007,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.081807,-0.767399,2.710623,0
0.050001,-141.142860,-73.327474,181.230773,13.223443,5.616606,2.686203,-8.058608,-5.128205,-2.197802,8.058608,1.674603,2.739927,0
0.051042,-92.703299,-154.839564,166.865938,33.545788,3.174603,5.128205,-8.547009,-2.686203,-5.128205,8.058608,-0.767399,2.710623,0
0.052085,0.835165,-178.892312,159.182421,6.820513,-0.244200,7.570208,-7.081807,0.244200,-7.570208,6.593407,-0.278999,2.710623,0
0.053126,99.384618,-179.894510,126.443959,-15.172161,-3.174603,8.058608,-4.639805,3.174603,-8.058608,4.639805,-0.278999,2.710623,0
0.054167,166.531872,-166.197806,53.951650,-16.564103,-6.105006,8.058608,-1.221001,6.105006,-7.570208,3.174603,-0.278999,2.691087,0
0.055209,183.235169,-149.828575,-39.920880,3.758242,-8.058608,6.593407,1.221001,8.058608,-6.105006,-1.709402,-0.767399,2.710623,0
0.056250,173.547257,-113.749453,-130.118684,24.080586,-8.058608,4.151404,4.151404,8.058608,-3.174603,-4.151404,-0.278999,2.710623,0
0.057291,162.857146,-30.567034,-170.874729,14.336996,-7.570208,0.732601,7.081807,7.570208,-0.732601,-7.081807,0.697802,2.730159,0
0.058337,139.138465,71.323079,-184.237367,-7.377289,-5.616606,-2.197802,8.058608,5.616606,2.686203,-8.058608,-0.767399,2.671551,0
0.059375,90.364837,152.835168,-168.870333,-24.358974,-3.174603,-5.616606,8.547009,3.174603,5.616606,-8.058608,-0.278999,2.730159,0
0.060417,-2.839561,176.887916,-161.186817,-1.809524,0.244200,-7.570208,7.081807,-0.244200,7.570208,-6.593407,-0.278999,2.759463,0
0.061458,-100.720881,177.890114,-128.782420,19.347985,2.686203,-8.058608,5.128205,-3.174603,8.058608,-4.639805,-0.278999,2.710623,0
0.062501,-167.868136,164.193410,-55.956045,20.461538,6.105006,-8.058608,1.709402,-6.105006,7.570208,-1.221001,0.209402,2.700855,0
0.063543,-185.573631,147.824179,38.584616,-0.417582,8.058608,-6.593407,-1.221001,-8.058608,6.593407,1.709402,-0.278999,2.710623,0
0.064584,-175.885718,111.745057,127.446157,-21.018315,8.058608,-3.663004,-4.151404,-8.058608,4.151404,4.639805,-0.278999,2.710623,0
0.065625,-163.525278,27.894506,169.204399,-9.604396,8.058608,-0.732601,-6.593407,-7.570208,0.732601,7.081807,-0.278999,2.700855,0
0.066668,-141.476926,-73.327474,180.896707,12.388278,6.105006,2.686203,-8.058608,-5.616606,-2.197802,8.058608,-0.278999,2.720391,0
0.067712,-92.035167,-156.175828,165.863740,28.256410,3.174603,5.128205,-8.058608,-2.686203,-5.128205,8.058608,-0.278999,2.710623,0
0.068750,0.835165,-179.226378,159.516487,9.326007,-0.244200,7.570208,-7.081807,0.244200,-7.570208,7.081807,-0.767399,2.730159,0
0.069792,99.718684,-179.894510,126.109893,-14.615385,-2.686203,8.058608,-4.639805,3.663004,-7.570208,4.151404,-0.767399,2.720391,0
0.070834,166.197806,-166.197806,53.617584,-16.842491,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,-0.767399,2.691087,0
0.071875,183.569235,-149.828575,-40.589012,3.479853,-8.058608,6.593407,1.709402,7.570208,-6.105006,-1.709402,-0.278999,2.700855,0
0.072917,173.881323,-113.415387,-130.118684,25.194139,-8.058608,3.663004,4.151404,8.058608,-3.663004,-4.151404,-0.767399,2.700855,0
0.073959,161.520883,-29.564836,-171.208795,14.336996,-7.570208,0.732601,7.081807,7.570208,-0.732601,-6.593407,-0.278999,2.700855,0
0.075000,138.804399,70.989013,-183.903301,-9.326007,-6.105006,-2.197802,8.547009,5.616606,3.174603,-8.058608,-0.278999,2.720391,0
0.076042,90.364837,152.835168,-168.536267,-24.915751,-2.686203,-5.616606,8.547009,2.686203,5.616606,-8.058608,-0.278999,2.710623,0
0.077083,-2.505495,176.553850,-161.186817,-1.809524,0.244200,-7.570208,7.570208,0.244200,7.570208,-7.081807,-0.278999,2.739927,0
0.078126,-100.386815,179.894510,-129.450552,19.626374,3.174603,-8.058608,5.128205,-3.174603,8.058608,-4.151404,-0.278999,2.720391,0
0.079167,-168.202202,164.193410,-55.956045,21.018315,6.105006,-8.058608,2.197802,-6.105006,7.570208,-1.221001,-0.767399,2.710623,0
0.080208,-185.239565,147.824179,38.584616,0.139194,8.058608,-6.105006,-1.221001,-7.570208,6.593407,1.709402,-0.278999,2.769231,0
0.081250,-175.217586,111.410991,128.448355,-18.791209,8.547009,-4.151404,-4.151404,-8.058608,3.663004,4.639805,-0.767399,2.710623,0
0.082301,-163.191212,26.224176,168.870333,-10.439560,7.570208,-0.732601,-7.081807,-7.570208,0.732601,7.081807,-0.278999,2.700855,0
0.083345,-140.140662,-75.331870,180.896707,15.172161,5.616606,2.686203,-8.058608,-5.616606,-2.197802,8.058608,-0.767399,2.720391,0
0.084378,-91.701101,-155.841762,166.531872,28.534799,3.174603,5.616606,-8.058608,-2.686203,-5.128205,8.058608,-0.278999,2.710623,0
0.085419,1.503297,-179.226378,159.182421,6.542125,-0.244200,7.570208,-7.081807,0.244200,-7.570208,7.081807,-0.278999,2.700855,0
0.086462,100.386815,-180.228575,125.441761,-16.007326,-3.174603,8.547009,-4.639805,3.174603,-7.570208,4.639805,-0.278999,2.710623,0
0.087502,166.531872,-166.531872,53.283518,-16.007326,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,-0.767399,2.710623,0
0.088544,183.569235,-149.828575,-41.925276,5.428571,-8.058608,6.593407,1.709402,7.570208,-6.105006,-1.709402,-0.767399,2.720391,0
0.089584,173.881323,-113.749453,-130.118684,25.194139,-8.547009,3.663004,4.151404,8.058608,-3.663004,-4.151404,-1.255800,2.730159,0
0.090626,161.186817,-28.896704,-171.208795,16.007326,-7.570208,0.732601,7.081807,7.570208,-0.244200,-7.081807,-0.278999,2.749695,0
0.091670,138.804399,71.991210,-183.569235,-12.388278,-5.616606,-2.197802,8.058608,5.616606,2.686203,-7.570208,-0.278999,2.720391,0
0.092710,89.696705,153.837366,-168.870333,-24.915751,-2.686203,-5.616606,8.547009,2.686203,5.616606,-8.058608,-0.278999,2.710623,0
0.093752,-3.507692,176.887916,-161.186817,-2.087912,0.244200,-7.570208,7.081807,-0.244200,7.081807,-7.081807,-0.278999,2.710623,0
0.094795,-102.391211,177.890114,-127.780223,19.904762,3.174603,-8.058608,4.639805,-2.686203,8.058608,-4.151404,-0.278999,2.710623,0
0.095835,-167.868136,164.527476,-55.287913,20.461538,6.593407,-8.058608,1.709402,-6.105006,8.058608,-1.221001,-0.278999,2.691087,0
0.096880,-185.907696,147.490113,39.586814,-3.201465,8.058608,-6.105006,-1.221001,-7.570208,6.593407,1.709402,-0.278999,2.700855,0
0.097919,-175.217586,110.742860,127.780223,-21.018315,8.547009,-3.663004,-4.151404,-8.058608,3.663004,4.639805,-0.278999,2.749695,0
0.098961,-163.191212,26.892308,169.204399,-11.831502,8.058608,-0.732601,-6.593407,-7.081807,0.732601,7.081807,-0.767399,2.710623,0
0.100003,-140.474728,-73.995606,181.230773,12.388278,6.105006,2.686203,-8.058608,-5.616606,-2.197802,8.058608,-0.278999,2.749695,0
0.101044,-91.701101,-155.841762,166.197806,30.483516,3.174603,5.128205,-8.058608,-2.686203,-5.128205,8.058608,-0.278999,2.710623,0
0.102087,1.837363,-179.226378,159.182421,6.542125,0.244200,7.570208,-7.081807,0.244200,-7.570208,7.081807,-0.278999,2.710623,0
0.103128,100.720881,-179.894510,125.775827,-16.007326,-3.174603,8.058608,-4.639805,3.174603,-9.035409,4.639805,-0.278999,2.700855,0
0.104169,166.531872,-166.197806,52.949452,-16.564103,-6.105006,8.058608,-1.709402,6.105006,-7.570208,1.709402,-0.278999,2.691087,0
