1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-131.454948,170.540663,-64.307694,10.161172,9.523810,-9.523810,0.244200,-9.035409,9.035409,0.732601,-0.278999,2.681319,0
0.001042,-149.494509,163.859344,28.228572,-12.666667,10.989011,-6.105006,-3.663004,-10.012210,6.105006,4.151404,-0.278999,2.681319,0
0.002084,-165.195608,116.421981,105.397805,-15.450549,10.500611,-2.686203,-7.570208,-10.012210,3.174603,7.570208,-0.278999,2.681319,0
0.003125,-170.540663,31.569231,142.145058,1.531136,9.035409,0.732601,-10.012210,-8.547009,-0.732601,10.012210,-0.767399,2.769231,0
0.004167,-159.516487,-58.962639,154.839564,22.967033,5.616606,5.128205,-10.500611,-5.616606,-5.616606,10.989011,-0.767399,2.700855,0
0.005208,-94.707694,-118.092310,170.540663,14.336996,1.709402,8.547009,-10.012210,-1.709402,-8.058608,9.523810,-0.767399,2.700855,0
0.006251,-4.175824,-145.485718,168.536267,-5.706960,-2.197802,10.500611,-7.570208,2.686203,-10.012210,7.570208,-0.767399,2.798535,0
0.007292,89.696705,-159.516487,142.479124,-24.358974,-6.593407,10.989011,-4.151404,6.105006,-10.500611,3.663004,-1.255800,2.720391,0
0.008333,131.789014,-172.210993,61.301100,-6.263736,-9.035409,9.523810,-0.244200,9.035409,-9.523810,-0.244200,-0.278999,2.681319,0
0.009375,147.824179,-165.529674,-30.567034,17.399267,-10.500611,6.593407,4.151404,10.500611,-6.105006,-4.639805,-0.278999,2.681319,0
0.010418,162.523081,-118.426376,-107.736266,19.904762,-10.500611,3.174603,7.570208,10.012210,-2.197802,-7.570208,-0.278999,2.691087,0
0.011458,168.202202,-34.241759,-145.151652,1.809524,-8.547009,-1.221001,10.012210,8.547009,1.221001,-9.523810,-0.278999,2.710623,0
0.012500,156.509894,56.958243,-157.178025,-18.512821,-5.616606,-5.128205,10.989011,5.128205,5.616606,-10.500611,-0.767399,2.700855,0
0.013542,92.703299,115.753849,-171.208795,-10.161172,-1.709402,-8.058608,10.012210,1.709402,8.547009,-9.035409,-0.278999,2.700855,0
0.014584,1.837363,143.147256,-170.206597,10.439560,2.686203,-10.012210,8.058608,-2.197802,10.012210,-7.081807,-0.278999,2.720391,0
0.015626,-91.701101,157.512091,-144.483520,27.978022,6.593407,-10.500611,4.151404,-6.105006,10.500611,-3.663004,-0.767399,2.710623,0
0.016667,-133.459344,170.540663,-63.639562,11.831502,9.523810,-9.035409,-0.244200,-9.035409,9.035409,0.244200,-0.278999,2.681319,0
0.017709,-149.160443,163.191212,28.228572,-13.223443,10.500611,-6.593407,-4.151404,-9.035409,6.105006,4.151404,-0.767399,2.681319,0
0.018750,-164.861542,116.421981,105.397805,-16.007326,10.989011,-2.686203,-7.081807,-10.012210,2.197802,7.570208,-0.278999,2.681319,0
0.019792,-170.540663,32.237363,142.479124,-0.417582,9.035409,0.732601,-9.523810,-8.547009,-1.221001,9.523810,-0.278999,2.700855,0
0.020834,-159.850553,-58.962639,154.505498,23.802198,5.616606,5.128205,-10.500611,-5.128205,-5.128205,10.500611,-0.278999,2.691087,0
