1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,25.221979,141.476926,-171.542861,2.644689,2.686203,-8.058608,6.105006,-1.709402,8.547009,-5.616606,-0.278999,2.144078,0
0.001042,-64.975826,160.852751,-149.494509,18.791209,5.616606,-8.547009,3.174603,-5.128205,8.547009,-2.197802,-0.767399,2.153846,0
0.002084,-121.098904,170.874729,-81.010991,11.553114,8.058608,-7.081807,-0.244200,-7.081807,7.081807,1.221001,-0.767399,2.124542,0
0.003126,-149.494509,163.525278,5.178022,-5.985348,8.547009,-4.639805,-3.663004,-8.058608,5.128205,4.151404,-0.767399,2.173382,0
0.004167,-162.189015,131.789014,93.371431,-19.069597,8.547009,-1.709402,-6.593407,-8.058608,2.197802,6.593407,-0.278999,2.124542,0
0.005208,-171.208795,52.615386,134.795607,-4.036630,7.081807,1.709402,-8.058608,-6.593407,-1.221001,8.058608,-0.278999,2.124542,0
0.006251,-160.852751,-33.573627,153.503300,14.893773,4.639805,4.639805,-8.547009,-4.151404,-4.151404,8.547009,-0.278999,2.124542,0
0.007292,-109.406596,-106.400002,166.865938,14.893773,1.221001,7.570208,-7.570208,-0.732601,-7.081807,8.058608,-0.278999,2.124542,0
0.008334,-27.226374,-143.481322,169.538465,-0.139194,-1.709402,8.547009,-6.105006,2.686203,-8.058608,6.105006,-0.278999,2.134310,0
0.009375,62.637364,-162.523081,146.487915,-15.450549,-5.128205,8.547009,-2.686203,5.616606,-8.058608,3.174603,-0.278999,2.114774,0
0.010417,119.762640,-172.210993,78.004397,-8.490842,-7.081807,7.570208,0.732601,7.570208,-6.593407,-0.244200,-0.767399,2.114774,0
0.011459,148.158245,-165.195608,-7.850550,11.274725,-8.058608,5.128205,3.663004,8.547009,-4.639805,-3.174603,-0.767399,2.124542,0
0.012500,160.852751,-133.793410,-95.375826,22.410256,-8.547009,2.197802,6.105006,8.547009,-1.221001,-6.105006,-0.278999,2.163614,0
0.013542,169.538465,-54.285715,-136.800003,9.047619,-6.593407,-1.221001,8.058608,7.081807,1.709402,-7.570208,-0.278999,2.124542,0
0.014585,158.848355,32.905495,-155.841762,-11.274725,-4.151404,-4.151404,9.035409,4.151404,5.128205,-8.547009,-0.278999,2.124542,0
