1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-15.534066,-212.632972,164.527476,23.802198,6.105006,2.686203,-9.035409,-5.616606,-2.686203,8.547009,-0.278999,4.068376,0
0.001042,86.356046,-219.982422,120.430772,3.201465,3.663004,6.105006,-9.035409,-2.686203,-5.616606,8.547009,0.209402,4.078144,0
0.002084,170.206597,-194.593411,57.292309,-12.109890,-0.244200,8.058608,-7.570208,0.244200,-7.570208,7.081807,0.209402,4.087912,0
0.003125,224.993412,-149.494509,-23.551649,-16.285714,-4.151404,9.035409,-4.639805,4.151404,-8.547009,4.639805,-0.278999,4.078144,0
0.004167,210.628576,-109.406596,-123.771431,8.769231,-6.593407,8.547009,-1.709402,6.593407,-8.547009,1.709402,-0.767399,4.087912,0
0.005208,179.226378,-40.254946,-191.586817,20.461538,-8.547009,7.081807,1.709402,8.547009,-6.593407,-1.709402,0.209402,4.126984,0
0.006251,135.797805,55.956045,-225.327478,10.717949,-9.035409,3.663004,5.128205,9.035409,-3.663004,-5.128205,-0.278999,4.068376,0
0.007292,83.015386,148.158245,-206.285719,-7.934066,-8.547009,0.732601,7.570208,8.547009,-0.244200,-7.570208,-0.278999,4.087912,0
0.008333,13.529671,209.626378,-167.534070,-19.069597,-6.105006,-2.686203,9.035409,6.105006,2.686203,-8.547009,0.209402,4.078144,0
0.009376,-89.362639,217.643961,-123.437365,1.252747,-3.174603,-6.105006,9.035409,3.663004,6.105006,-9.035409,0.209402,4.078144,0
0.010417,-172.879125,191.252752,-60.632968,16.564103,0.244200,-8.058608,8.058608,-0.244200,7.570208,-7.081807,0.209402,4.087912,0
0.011458,-227.665939,146.487915,19.876924,22.688645,4.151404,-9.035409,5.128205,-3.663004,9.035409,-4.639805,0.209402,4.068376,0
0.012500,-212.967038,106.065936,118.760442,-3.758242,6.593407,-8.547009,2.197802,-6.105006,8.547009,-1.709402,0.209402,4.087912,0
0.013542,-181.898905,37.916484,188.914290,-14.058608,8.547009,-6.593407,-1.709402,-8.058608,7.081807,2.197802,-0.278999,4.126984,0
0.014584,-138.136267,-58.628573,222.654950,-9.604396,9.035409,-3.663004,-4.639805,-9.035409,4.151404,5.128205,-0.767399,4.078144,0
0.015625,-85.353848,-150.162641,203.279125,12.945055,9.523810,-0.244200,-7.570208,-8.058608,0.732601,7.570208,-0.278999,4.078144,0
0.016667,-16.202198,-212.298906,164.527476,24.358974,6.105006,3.174603,-8.547009,-5.616606,-2.686203,8.547009,0.209402,4.068376,0
0.017710,86.690112,-220.316488,120.430772,4.036630,3.174603,5.616606,-9.035409,-3.174603,-5.616606,9.035409,-0.278999,4.078144,0
0.018751,170.540663,-193.925279,57.960441,-10.996337,-0.244200,8.058608,-7.570208,0.244200,-8.058608,7.570208,0.209402,4.087912,0
0.019792,224.993412,-149.160443,-22.215385,-17.956044,-4.151404,9.035409,-4.639805,4.151404,-8.547009,4.639805,-0.278999,4.068376,0
0.020833,210.628576,-109.072530,-122.769234,9.326007,-6.105006,9.035409,-1.709402,6.593407,-8.547009,1.709402,0.209402,4.078144,0
0.021876,178.558246,-35.912089,-191.586817,20.183150,-8.547009,6.593407,1.709402,8.547009,-6.593407,-1.709402,0.209402,4.078144,0
0.022917,136.131871,55.287913,-226.329675,12.666667,-9.035409,4.151404,5.128205,9.035409,-3.663004,-5.128205,-0.278999,4.068376,0
0.023958,83.349452,148.158245,-205.951653,-8.490842,-8.058608,0.732601,7.570208,8.547009,-0.732601,-7.570208,-0.278999,4.146520,0
0.025000,13.529671,209.960444,-167.868136,-18.234432,-6.105006,-2.686203,9.035409,6.105006,3.174603,-8.547009,-0.278999,4.126984,0
0.026043,-89.028573,217.978027,-123.771431,-1.809524,-3.174603,-6.105006,9.035409,3.174603,5.616606,-8.547009,-0.278999,4.078144,0
0.027083,-172.879125,191.586817,-60.967034,16.842491,0.244200,-8.058608,7.570208,-0.244200,7.570208,-7.081807,-0.278999,4.087912,0
0.028125,-227.331873,146.821981,19.208792,23.802198,4.151404,-9.035409,5.128205,-3.663004,9.035409,-4.639805,0.209402,4.068376,0
0.029167,-212.967038,107.068134,119.762640,-3.758242,6.593407,-8.547009,2.197802,-6.593407,8.547009,-2.686203,0.209402,4.078144,0
0.030209,-181.564839,38.250550,188.914290,-14.615385,8.547009,-6.593407,-1.709402,-8.547009,7.081807,1.709402,0.209402,4.068376,0
0.031250,-138.470333,-58.294507,222.654950,-7.934066,9.523810,-3.663004,-5.128205,-9.035409,4.151404,5.128205,0.209402,4.058608,0
0.032292,-85.019782,-150.830773,202.610994,14.615385,8.547009,-0.732601,-7.570208,-8.058608,0.732601,7.570208,-0.278999,4.078144,0
0.033334,-16.202198,-211.964840,164.193410,24.637363,6.105006,3.174603,-9.035409,-5.616606,-2.686203,8.547009,-0.278999,4.087912,0
0.034375,86.021980,-219.982422,120.764838,2.087912,3.174603,6.105006,-9.035409,-3.174603,-5.616606,9.035409,-0.278999,4.087912,0
0.035417,170.540663,-194.259345,57.960441,-10.996337,-0.244200,8.058608,-7.570208,0.244200,-7.570208,7.570208,-0.278999,4.087912,0
0.036459,224.993412,-149.160443,-22.549451,-22.410256,-4.151404,9.035409,-4.639805,4.151404,-9.035409,4.639805,-0.278999,4.068376,0
0.037500,210.628576,-109.406596,-122.435168,10.439560,-6.593407,9.035409,-2.197802,6.593407,-8.547009,1.709402,-0.278999,4.087912,0
