1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,89.362639,-183.569235,133.459344,-12.666667,-2.686203,8.547009,-4.639805,3.174603,-7.570208,5.128205,-0.278999,2.720391,0
0.001042,164.861542,-166.865938,67.314287,-20.461538,-6.105006,8.547009,-2.197802,6.105006,-7.570208,2.197802,-0.767399,2.739927,0
0.002084,182.901103,-154.171432,-28.562638,-0.417582,-7.570208,7.081807,1.221001,8.058608,-6.105006,-0.732601,-0.767399,2.720391,0
0.003125,176.553850,-118.426376,-122.769234,23.245421,-8.058608,4.151404,4.151404,8.547009,-3.663004,-3.663004,-0.767399,2.730159,0
0.004167,163.525278,-40.254946,-171.208795,16.842491,-7.570208,1.221001,6.593407,7.570208,-0.732601,-6.593407,-0.767399,2.759463,0
0.005209,144.483520,60.298902,-184.571433,-5.706960,-6.105006,-2.197802,8.547009,6.105006,2.197802,-7.570208,-0.278999,2.730159,0
0.006251,97.714288,145.485718,-172.210993,-23.802198,-3.174603,-5.128205,8.547009,3.174603,5.128205,-7.570208,-0.278999,2.720391,0
0.007292,8.518682,175.885718,-163.191212,-5.428571,0.244200,-7.081807,7.081807,0.244200,7.570208,-7.081807,-0.278999,2.720391,0
0.008334,-91.701101,181.564839,-133.125278,16.842491,3.174603,-8.058608,5.128205,-2.197802,8.058608,-4.151404,0.209402,2.720391,0
0.009375,-166.197806,165.195608,-67.982419,23.802198,6.105006,-8.058608,2.197802,-5.616606,8.058608,-1.709402,-0.278999,2.700855,0
0.010418,-185.239565,151.498904,26.224176,3.758242,8.058608,-6.593407,-0.732601,-7.570208,7.081807,1.709402,0.209402,2.720391,0
0.011459,-178.224180,116.756047,118.426376,-17.956044,8.547009,-3.663004,-3.663004,-8.058608,4.151404,4.639805,-0.278999,2.818071,0
0.012500,-165.195608,38.584616,169.204399,-12.945055,8.058608,-0.732601,-6.593407,-7.081807,1.221001,6.593407,-0.278999,2.720391,0
0.013542,-145.819783,-62.303298,182.232971,9.882784,6.105006,2.197802,-8.058608,-5.616606,-2.197802,8.058608,1.186203,2.749695,0
0.014584,-99.718684,-146.821981,170.540663,26.307692,3.174603,5.128205,-8.058608,-3.174603,-4.639805,8.547009,-0.278999,2.720391,0
0.015625,-10.189011,-177.890114,160.852751,10.439560,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.278999,2.720391,0
0.016667,90.030771,-183.235169,131.120882,-14.058608,-2.686203,8.547009,-4.639805,3.174603,-8.058608,5.128205,-0.278999,2.720391,0
0.017709,164.861542,-166.865938,66.980221,-19.347985,-5.616606,8.547009,-2.197802,6.105006,-7.570208,2.197802,-0.278999,2.700855,0
0.018750,181.898905,-153.503300,-28.228572,1.531136,-7.570208,7.081807,1.221001,7.570208,-6.593407,-0.732601,-0.278999,2.700855,0
0.019792,176.219784,-119.094508,-121.098904,22.131868,-8.058608,4.639805,4.151404,8.058608,-3.663004,-4.151404,-0.278999,2.710623,0
0.020833,163.525278,-40.923078,-171.542861,17.956044,-7.570208,1.221001,7.081807,8.058608,-0.732601,-6.105006,-2.232601,2.730159,0
0.021876,144.149454,61.969232,-184.571433,-5.706960,-6.105006,-1.709402,8.547009,6.105006,2.686203,-7.570208,-0.278999,2.778999,0
0.022917,98.048354,145.151652,-172.545059,-23.523810,-3.174603,-5.128205,8.547009,3.663004,5.128205,-8.058608,-0.278999,2.730159,0
0.023959,7.850550,176.219784,-162.857146,-5.706960,0.244200,-7.081807,7.570208,0.732601,7.570208,-7.081807,-0.278999,2.749695,0
0.025000,-91.367035,181.564839,-133.125278,20.183150,3.174603,-8.058608,5.128205,-2.686203,8.058608,-4.639805,-0.278999,2.710623,0
0.026042,-165.863740,164.861542,-68.984617,24.080586,6.105006,-8.058608,2.197802,-5.616606,8.547009,-1.221001,-0.278999,2.700855,0
0.027084,-184.571433,151.832970,26.558242,4.036630,8.058608,-6.105006,-1.221001,-7.570208,6.593407,0.732601,-0.278999,2.710623,0
0.028125,-178.224180,117.090113,118.760442,-18.234432,8.547009,-3.663004,-4.151404,-7.570208,4.151404,4.151404,0.209402,2.710623,0
0.029167,-165.529674,38.584616,169.204399,-14.058608,8.058608,-0.732601,-6.593407,-7.081807,0.732601,7.081807,-0.278999,2.710623,0
0.030209,-146.487915,-63.305496,181.564839,10.439560,6.593407,2.686203,-7.570208,-5.128205,-1.709402,8.547009,-0.278999,2.730159,0
0.031250,-99.384618,-147.490113,170.540663,27.699634,3.663004,5.128205,-8.058608,-2.686203,-5.128205,8.547009,-0.278999,2.739927,0
0.032292,-9.854945,-177.890114,160.518685,10.439560,0.244200,7.570208,-7.081807,0.244200,-7.081807,7.081807,-0.767399,2.730159,0
0.033333,90.030771,-183.235169,131.120882,-13.223443,-3.174603,8.547009,-4.639805,3.174603,-7.570208,5.128205,-0.278999,2.739927,0
0.034376,164.527476,-166.865938,65.978023,-19.347985,-5.616606,8.058608,-2.197802,6.105006,-7.570208,2.197802,-0.278999,2.808303,0
0.035417,182.901103,-153.503300,-28.228572,0.695971,-7.570208,6.593407,1.221001,8.058608,-6.105006,-1.221001,-0.278999,2.710623,0
0.036458,176.553850,-118.760442,-120.764838,22.410256,-8.058608,4.639805,4.151404,8.058608,-3.663004,-3.663004,-0.278999,2.720391,0
0.037500,163.525278,-39.920880,-170.874729,17.120879,-7.570208,1.221001,6.593407,7.570208,-0.732601,-6.593407,-0.278999,2.710623,0
0.038542,143.815388,61.635166,-184.571433,-7.098901,-6.105006,-2.197802,8.547009,6.105006,2.197802,-7.570208,-0.278999,2.730159,0
0.039584,97.380222,144.483520,-171.876927,-23.802198,-2.686203,-4.639805,8.547009,3.174603,5.128205,-8.058608,0.209402,2.720391,0
0.040625,7.516484,175.551652,-163.525278,-5.428571,-0.244200,-7.081807,7.570208,0.244200,7.570208,-6.593407,-1.744200,2.730159,0
0.041667,-91.701101,180.896707,-133.459344,17.956044,3.174603,-7.570208,5.128205,-2.686203,8.058608,-4.151404,-0.278999,2.788767,0
0.042709,-166.197806,164.861542,-69.986815,24.358974,6.105006,-8.058608,2.686203,-5.616606,8.058608,-1.709402,-0.767399,2.710623,0
0.043750,-184.237367,151.498904,26.892308,3.758242,8.058608,-6.593407,-0.732601,-7.570208,6.593407,1.709402,-0.767399,2.720391,0
0.044792,-178.224180,116.756047,119.094508,-18.512821,8.547009,-4.151404,-4.151404,-7.570208,4.151404,4.151404,-0.278999,2.788767,0
0.045834,-165.195608,38.250550,168.870333,-13.501832,8.058608,-0.732601,-6.593407,-7.570208,1.221001,7.081807,-0.278999,2.710623,0
0.046875,-145.819783,-63.305496,182.567037,10.717949,6.593407,2.197802,-8.058608,-5.616606,-1.709402,8.058608,-0.278999,2.730159,0
0.047917,-99.050552,-147.156047,170.874729,27.699634,3.663004,5.616606,-8.058608,-2.686203,-5.128205,8.547009,-0.278999,2.720391,0
