1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,165.863740,-103.059343,-108.738464,14.893773,-8.058608,0.732601,7.081807,9.035409,-0.244200,-7.081807,-0.278999,2.124542,0
0.001042,166.865938,-19.542858,-141.810992,-1.531136,-6.105006,-2.197802,8.547009,5.616606,3.174603,-8.058608,-0.278999,2.124542,0
0.002083,144.149454,68.984617,-161.186817,-17.120879,-3.174603,-5.616606,9.035409,3.174603,6.105006,-8.547009,-0.278999,2.124542,0
0.003126,76.334068,119.762640,-170.540663,-7.098901,0.244200,-7.570208,7.570208,-0.244200,8.058608,-7.081807,-0.767399,2.124542,0
0.004167,-10.523077,145.819783,-165.195608,11.274725,4.151404,-8.547009,5.128205,-3.174603,8.547009,-4.639805,-0.278999,2.134310,0
0.005208,-95.041760,160.518685,-127.780223,21.296703,6.593407,-8.058608,2.197802,-6.593407,8.058608,-1.221001,-0.767399,2.192918,0
0.006250,-138.136267,166.865938,-47.270331,7.934066,8.547009,-6.593407,-1.221001,-8.058608,6.593407,1.709402,-0.278999,2.134310,0
0.007292,-154.171432,154.839564,39.586814,-12.109890,9.035409,-3.663004,-5.128205,-8.547009,3.663004,5.128205,-0.767399,2.105006,0
0.008333,-167.200004,101.389013,107.068134,-14.058608,8.058608,-0.732601,-6.593407,-7.570208,0.244200,7.570208,-0.278999,2.124542,0
0.009375,-168.536267,18.206594,139.472531,4.871795,6.105006,2.686203,-8.058608,-5.616606,-2.686203,8.547009,-0.278999,2.134310,0
0.010417,-146.153849,-70.320881,159.182421,20.739927,3.174603,6.105006,-8.547009,-2.686203,-5.616606,8.547009,-0.278999,2.124542,0
0.011458,-78.004397,-122.435168,169.204399,10.439560,-0.244200,8.058608,-7.081807,0.732601,-8.058608,7.081807,-0.278999,2.134310,0
0.012500,8.184616,-147.824179,163.525278,-7.934066,-3.663004,8.547009,-4.639805,3.663004,-8.547009,4.639805,-0.767399,2.144078,0
0.013542,92.703299,-163.191212,125.107695,-17.399267,-6.105006,8.547009,-1.709402,6.593407,-7.570208,1.221001,-0.767399,2.124542,0
0.014584,136.800003,-168.870333,44.931869,-2.923077,-8.058608,7.081807,1.709402,8.058608,-6.105006,-1.221001,1.186203,2.134310,0
0.015625,152.835168,-156.175828,-41.591210,15.728938,-8.547009,3.663004,5.128205,9.035409,-3.663004,-5.128205,-0.767399,2.163614,0
0.016667,165.863740,-103.727475,-108.738464,15.728938,-8.058608,0.732601,7.081807,7.570208,-0.244200,-7.081807,-0.767399,2.144078,0
0.017708,166.865938,-19.876924,-141.476926,-2.366300,-6.105006,-2.686203,8.547009,6.105006,2.686203,-8.058608,-0.278999,2.134310,0
0.018750,144.817586,68.316485,-161.186817,-16.842491,-3.174603,-5.616606,9.035409,2.686203,6.105006,-8.547009,-0.767399,2.134310,0
0.019792,77.002200,120.430772,-170.874729,-7.655678,0.244200,-8.058608,7.570208,-0.244200,8.058608,-7.081807,-0.278999,2.124542,0
0.020833,-8.852747,146.153849,-165.529674,10.996337,3.663004,-8.547009,5.128205,-3.663004,8.547009,-4.639805,-0.278999,2.134310,0
