1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,167.200004,-41.925276,-142.145058,6.542125,-6.593407,-1.221001,8.547009,6.593407,2.197802,-7.570208,-0.767399,2.173382,0
0.001042,154.171432,47.938463,-156.843960,-11.274725,-3.663004,-4.639805,9.035409,3.663004,5.616606,-8.058608,-0.767399,2.134310,0
0.002084,95.041760,112.413189,-170.206597,-10.161172,-0.244200,-7.081807,8.058608,0.244200,7.570208,-7.081807,-1.255800,2.144078,0
0.003125,9.854945,144.149454,-169.204399,6.263736,3.174603,-8.547009,6.105006,-2.686203,8.547009,-5.128205,-0.278999,2.134310,0
0.004167,-80.676925,161.520883,-142.145058,22.131868,6.105006,-8.547009,2.686203,-5.128205,8.547009,-1.709402,-0.767399,2.124542,0
0.005208,-130.118684,169.538465,-66.312089,10.161172,8.058608,-6.593407,-0.732601,-7.570208,7.081807,1.221001,-0.278999,2.105006,0
0.006251,-150.496707,161.520883,21.547253,-10.161172,9.035409,-4.151404,-3.663004,-8.547009,4.151404,4.639805,0.209402,2.114774,0
0.007292,-163.859344,118.760442,99.050552,-14.893773,8.547009,-1.221001,-6.593407,-7.570208,1.709402,6.593407,-0.278999,2.124542,0
0.008333,-169.204399,39.586814,140.474728,-2.087912,7.081807,2.197802,-8.058608,-6.105006,-1.709402,8.547009,-0.278999,2.124542,0
0.009375,-155.173630,-50.610990,157.178025,18.512821,4.151404,5.128205,-8.547009,-3.174603,-4.639805,9.035409,-1.744200,2.134310,0
0.010417,-96.043958,-114.083519,168.202202,13.780220,0.732601,7.570208,-7.570208,0.244200,-7.081807,7.570208,-0.767399,2.192918,0
0.011458,-10.523077,-146.153849,167.200004,-2.366300,-2.686203,8.547009,-5.616606,3.174603,-8.058608,5.616606,-0.767399,2.153846,0
0.012500,80.008793,-162.857146,139.806597,-19.626374,-5.616606,8.547009,-2.197802,6.105006,-8.058608,2.686203,-0.767399,2.173382,0
0.013542,128.782420,-170.874729,64.641760,-6.263736,-7.570208,7.081807,1.221001,7.570208,-6.593407,-1.221001,-0.767399,2.114774,0
0.014583,149.494509,-162.857146,-23.217583,13.501832,-8.547009,4.639805,4.639805,8.547009,-4.151404,-4.151404,-0.278999,2.114774,0
0.015625,163.859344,-119.428574,-101.723079,18.512821,-8.058608,1.709402,6.593407,8.058608,-0.732601,-6.593407,-0.278999,2.124542,0
0.016667,167.868136,-40.923078,-141.810992,4.871795,-6.593407,-1.709402,9.035409,6.105006,2.197802,-8.058608,-0.278999,2.134310,0
0.017709,153.503300,49.608792,-159.516487,-14.893773,-3.663004,-5.128205,9.035409,3.663004,5.616606,-8.547009,-0.278999,2.124542,0
0.018750,93.705497,112.413189,-170.874729,-10.161172,0.244200,-7.081807,8.058608,0.732601,7.570208,-7.081807,-0.278999,2.134310,0
0.019791,9.186813,144.149454,-168.870333,7.098901,3.174603,-8.547009,6.105006,-2.686203,8.547009,-5.128205,0.209402,2.153846,0
