1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,166.865938,-193.591213,66.646155,-3.758242,0.732601,9.035409,-7.081807,0.732601,-7.081807,8.547009,1.186203,4.068376,0
0.001041,223.657148,-150.162641,-12.193407,0.974359,-3.174603,10.012210,-4.639805,4.151404,-8.058608,6.593407,1.674603,4.058608,0
0.002083,215.639565,-110.408794,-115.753849,14.615385,-5.616606,9.523810,-1.709402,6.593407,-8.058608,2.686203,1.186203,4.068376,0
0.003125,184.571433,-43.261539,-185.573631,5.706960,-7.570208,7.570208,2.197802,8.547009,-6.105006,-0.732601,1.186203,4.068376,0
0.004167,142.479124,50.610990,-226.329675,-13.223443,-8.547009,4.639805,5.616606,9.523810,-3.174603,-4.151404,1.674603,4.048840,0
0.005208,88.360442,144.149454,-205.617587,-7.098901,-7.570208,1.709402,8.058608,9.035409,-0.244200,-6.593407,1.674603,4.048840,0
0.006250,21.213187,207.621983,-170.540663,-4.036630,-5.616606,-1.709402,9.523810,6.593407,3.174603,-7.570208,1.186203,4.048840,0
0.007291,-82.013189,224.993412,-123.771431,17.399267,-2.686203,-4.639805,10.012210,4.151404,6.105006,-8.058608,2.163004,4.078144,0
0.008333,-164.527476,195.595609,-64.307694,5.985348,0.732601,-6.593407,8.547009,0.732601,8.547009,-6.593407,1.186203,4.068376,0
0.009375,-221.652752,152.501102,13.863737,3.479853,4.639805,-8.547009,5.616606,-3.174603,9.523810,-4.151404,1.674603,4.048840,0
0.010416,-212.632972,113.415387,117.424178,-11.553114,7.081807,-8.547009,3.174603,-5.616606,9.035409,-1.221001,1.674603,4.068376,0
0.011458,-182.232971,45.600001,188.246158,-2.366300,9.035409,-6.105006,-0.732601,-8.058608,7.570208,2.197802,1.674603,4.068376,0
0.012500,-140.140662,-48.272529,227.331873,16.285714,10.012210,-3.174603,-4.151404,-8.058608,4.639805,6.105006,1.674603,4.048840,0
0.013550,-85.019782,-143.147256,206.953851,11.274725,9.035409,-0.244200,-7.081807,-7.570208,1.709402,8.058608,1.186203,4.058608,0
0.014590,-17.538462,-206.619785,170.206597,7.377289,7.081807,3.174603,-8.058608,-5.128205,-2.197802,9.523810,1.186203,4.048840,0
0.015629,85.687914,-222.654950,125.441761,-13.223443,4.151404,6.593407,-8.058608,-2.686203,-4.639805,9.035409,1.186203,4.058608,0
0.016667,167.200004,-193.257147,66.312089,-2.923077,0.732601,8.547009,-7.081807,0.732601,-6.593407,8.547009,1.186203,4.068376,0
0.017708,224.325280,-150.496707,-12.193407,1.531136,-3.174603,10.012210,-4.639805,4.639805,-8.058608,5.616606,1.186203,4.156288,0
0.018750,215.305499,-110.408794,-116.756047,13.780220,-5.616606,10.012210,-1.709402,7.081807,-7.570208,2.686203,1.186203,4.068376,0
0.019791,184.237367,-42.927473,-186.909894,4.871795,-7.570208,7.570208,2.197802,9.035409,-6.105006,-0.732601,1.186203,4.068376,0
0.020833,142.813190,50.945056,-225.327478,-13.501832,-8.547009,4.639805,6.105006,9.523810,-3.174603,-4.151404,1.674603,4.039072,0
0.021875,88.026376,144.817586,-205.283521,-7.934066,-7.570208,1.709402,8.058608,9.035409,-0.244200,-6.593407,1.674603,4.048840,0
0.022916,20.545055,208.290115,-168.870333,-4.593407,-5.616606,-1.709402,10.012210,6.593407,3.174603,-8.058608,1.674603,4.039072,0
0.023958,-82.681321,224.659346,-123.437365,17.120879,-2.197802,-5.128205,9.523810,4.151404,6.593407,-8.058608,1.674603,4.058608,0
0.025000,-164.527476,195.261543,-63.973628,7.934066,0.732601,-7.081807,8.547009,0.732601,8.058608,-6.593407,1.674603,4.068376,0
0.026041,-222.320884,153.503300,14.197803,2.923077,4.639805,-8.547009,5.616606,-2.686203,9.523810,-4.151404,1.186203,4.087912,0
0.027083,-212.967038,112.413189,118.092310,-10.161172,7.081807,-8.058608,3.174603,-5.616606,9.523810,-1.221001,1.674603,4.068376,0
0.028125,-181.898905,44.931869,187.912092,-1.809524,9.035409,-6.105006,-0.732601,-7.570208,7.570208,2.197802,1.186203,4.166056,0
0.029166,-140.474728,-49.274726,226.663741,14.893773,10.012210,-1.709402,-4.151404,-8.547009,4.639805,6.105006,1.186203,4.058608,0
0.030208,-86.021980,-142.479124,207.287917,10.717949,9.035409,-0.244200,-6.593407,-7.570208,1.221001,8.058608,1.674603,4.058608,0
0.031249,-18.206594,-206.285719,170.540663,7.655678,6.593407,3.174603,-7.570208,-5.128205,-1.709402,9.035409,1.674603,4.048840,0
0.032292,85.019782,-222.320884,125.441761,-13.780220,4.151404,6.593407,-8.547009,-2.686203,-5.128205,9.523810,1.674603,4.048840,0
0.033333,166.865938,-192.923081,65.643958,-3.201465,0.732601,8.547009,-7.081807,0.732601,-7.081807,8.547009,1.674603,4.068376,0
0.034375,224.325280,-149.828575,-12.861539,1.809524,-3.174603,10.012210,-4.639805,4.639805,-8.058608,5.616606,1.674603,4.048840,0
0.035416,215.639565,-110.408794,-116.756047,15.172161,-5.616606,9.523810,-1.221001,7.081807,-7.570208,2.686203,1.186203,4.078144,0
