1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-189.248356,46.602199,184.237367,-14.615385,8.547009,-7.081807,-0.732601,-8.058608,7.081807,1.221001,0.209402,4.107448,0
0.001042,-145.151652,-45.265935,225.661543,-9.882784,9.035409,-3.663004,-4.639805,-9.035409,4.151404,5.128205,0.209402,4.087912,0
0.002083,-93.705497,-139.806597,208.958246,11.831502,8.547009,-0.732601,-7.081807,-8.058608,1.221001,7.081807,-2.232601,4.097680,0
0.003125,-24.553847,-205.951653,173.213191,22.688645,6.593407,2.686203,-8.547009,-6.105006,-2.197802,8.547009,-0.278999,4.039072,0
0.004167,73.995606,-226.329675,126.109893,7.655678,3.663004,5.616606,-8.547009,-3.174603,-5.128205,9.035409,0.209402,4.107448,0
0.005209,163.191212,-200.272532,66.980221,-9.604396,0.244200,8.058608,-8.058608,-0.244200,-7.081807,7.570208,0.209402,4.087912,0
0.006250,221.318686,-156.509894,-11.191209,-17.677656,-3.663004,9.523810,-5.128205,3.663004,-8.547009,5.616606,-0.278999,4.078144,0
0.007292,215.973631,-115.419783,-113.081321,7.098901,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.197802,-0.278999,4.107448,0
0.008333,186.241762,-48.606594,-187.243960,20.183150,-8.058608,7.081807,1.221001,8.058608,-6.593407,-1.709402,0.209402,4.107448,0
0.009375,142.479124,41.257144,-228.334071,16.007326,-9.035409,4.639805,5.128205,9.035409,-4.151404,-4.639805,0.209402,4.078144,0
0.010417,91.032969,136.800003,-211.964840,-5.985348,-8.547009,1.221001,7.570208,8.547009,-0.732601,-7.081807,0.209402,4.087912,0
0.011458,22.215385,202.945059,-174.883520,-16.564103,-6.105006,-2.197802,9.035409,6.105006,2.686203,-8.547009,0.209402,4.097680,0
0.012500,-76.668134,222.989016,-129.116486,-2.366300,-3.174603,-5.616606,9.035409,3.663004,5.616606,-8.547009,-1.744200,4.107448,0
0.013542,-165.529674,198.268136,-71.657144,15.450549,-0.244200,-7.081807,8.058608,0.244200,8.058608,-7.081807,-0.278999,4.078144,0
0.014583,-223.657148,154.171432,8.852747,23.245421,3.663004,-8.547009,5.616606,-3.174603,9.035409,-4.639805,-0.278999,4.097680,0
0.015625,-218.312093,112.747255,110.074728,-5.150183,6.593407,-8.547009,2.686203,-5.616606,9.035409,-2.197802,0.209402,4.097680,0
0.016667,-188.914290,46.602199,183.903301,-15.172161,8.547009,-7.081807,-0.732601,-8.058608,7.081807,1.709402,0.209402,4.107448,0
0.017709,-144.483520,-43.595605,225.661543,-10.996337,9.035409,-4.151404,-4.639805,-8.547009,4.151404,5.128205,0.697802,4.087912,0
0.018750,-93.705497,-139.472531,209.292312,10.996337,8.547009,-0.732601,-7.081807,-8.058608,1.221001,7.081807,0.209402,4.087912,0
0.019792,-24.887913,-205.617587,172.545059,22.967033,6.593407,2.686203,-8.547009,-6.105006,-2.197802,8.547009,0.209402,4.087912,0
0.020834,73.995606,-226.329675,126.443959,7.934066,3.663004,6.105006,-8.547009,-3.174603,-5.128205,9.035409,0.209402,4.087912,0
0.021875,162.857146,-200.940664,67.314287,-9.326007,0.732601,8.058608,-7.570208,0.244200,-7.570208,7.570208,0.209402,4.097680,0
0.022917,220.984620,-156.843960,-10.523077,-17.956044,-3.174603,9.035409,-5.128205,3.663004,-8.547009,5.128205,-0.278999,4.146520,0
0.023958,215.973631,-115.085717,-112.747255,5.428571,-6.105006,9.035409,-2.197802,6.105006,-8.058608,2.197802,-1.255800,4.117216,0
0.025000,186.575828,-48.940660,-186.909894,21.575092,-8.058608,7.081807,1.221001,8.058608,-6.593407,-1.221001,0.209402,4.097680,0
0.026042,142.145058,40.923078,-228.334071,15.172161,-9.035409,4.639805,5.128205,9.523810,-4.151404,-4.639805,-0.278999,4.087912,0
0.027083,91.032969,137.468135,-211.964840,-5.985348,-8.547009,1.221001,7.570208,8.547009,-0.732601,-7.081807,0.209402,4.087912,0
0.028125,21.881319,203.613191,-175.551652,-17.120879,-6.105006,-1.709402,8.547009,6.593407,2.686203,-8.058608,0.697802,4.087912,0
0.029167,-76.334068,223.657148,-128.448355,-3.479853,-3.174603,-5.128205,9.035409,3.663004,5.616606,-8.547009,0.209402,4.087912,0
0.030209,-165.195608,198.268136,-70.320881,15.172161,0.244200,-7.570208,8.058608,0.244200,7.570208,-7.081807,0.209402,4.097680,0
0.031250,-224.325280,153.837366,8.852747,24.080586,3.663004,-8.547009,5.128205,-3.174603,9.035409,-5.128205,0.209402,4.068376,0
0.032292,-218.646159,112.413189,109.740662,1.531136,6.105006,-8.547009,2.686203,-6.105006,8.547009,-2.197802,-0.767399,4.107448,0
0.033334,-188.580224,46.268133,184.905499,-14.615385,8.547009,-6.593407,-0.732601,-7.570208,7.081807,1.709402,0.209402,4.126984,0
0.034375,-144.483520,-43.929671,225.661543,-10.161172,9.035409,-4.151404,-4.639805,-8.547009,4.151404,5.128205,-0.278999,4.126984,0
0.035417,-93.705497,-139.472531,208.958246,8.769231,8.547009,-0.732601,-7.081807,-8.058608,1.221001,7.570208,0.209402,4.087912,0
0.036458,-24.219781,-205.951653,172.879125,22.410256,6.593407,2.686203,-9.035409,-6.105006,-2.197802,8.547009,-0.278999,4.087912,0
0.037501,74.329672,-225.995609,126.109893,8.769231,3.663004,5.616606,-8.547009,-3.174603,-5.128205,8.547009,-0.278999,4.078144,0
0.038542,163.191212,-200.606598,67.314287,-10.996337,0.244200,8.058608,-7.570208,0.244200,-7.570208,7.570208,0.209402,4.097680,0
0.039583,220.984620,-156.509894,-11.191209,-19.069597,-3.174603,9.035409,-5.128205,3.663004,-8.547009,5.128205,0.209402,4.078144,0
0.040625,215.639565,-117.090113,-112.747255,6.542125,-6.105006,9.035409,-2.197802,6.593407,-8.058608,2.197802,-0.278999,4.097680,0
0.041668,186.909894,-48.940660,-187.243960,21.018315,-7.570208,7.081807,1.709402,8.547009,-6.593407,-1.221001,-0.278999,4.107448,0
0.042708,142.145058,41.257144,-228.334071,16.564103,-9.035409,4.639805,5.128205,9.035409,-4.151404,-4.639805,-0.278999,4.087912,0
