1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,148.826377,39.920880,-201.942862,4.593407,-8.547009,1.221001,8.058608,9.035409,-0.732601,-7.570208,-0.278999,3.492063,0
0.001042,105.731870,133.793410,-190.918686,-16.564103,-6.593407,-2.197802,9.523810,6.593407,2.686203,-8.547009,0.697802,3.511600,0
0.002083,31.235166,193.591213,-165.863740,-19.069597,-3.663004,-6.105006,9.523810,3.663004,6.105006,-9.035409,-0.278999,3.482295,0
0.003125,-74.997804,202.610994,-139.472531,5.706960,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,0.209402,3.492063,0
0.004167,-162.523081,179.560444,-85.019782,26.029304,3.663004,-9.035409,5.616606,-3.663004,9.035409,-4.639805,-0.278999,3.482295,0
0.005209,-199.604400,155.841762,6.514286,13.223443,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.472527,0
0.006250,-198.268136,123.103299,108.404398,-10.996337,9.035409,-7.081807,-0.732601,-8.547009,7.570208,1.709402,0.209402,3.492063,0
0.007292,-171.876927,62.303298,182.567037,-25.194139,10.012210,-4.151404,-4.639805,-9.035409,4.639805,5.128205,0.209402,3.482295,0
0.008333,-151.164839,-42.593408,199.270334,-0.139194,9.035409,-0.732601,-7.570208,-8.058608,0.732601,8.058608,0.697802,3.501832,0
0.009376,-108.070332,-135.797805,187.578026,24.080586,7.081807,2.686203,-9.035409,-6.105006,-2.197802,9.035409,-0.278999,3.511600,0
0.010417,-33.573627,-196.263741,164.861542,22.688645,3.663004,6.105006,-9.523810,-3.174603,-5.616606,9.035409,-0.278999,3.501832,0
0.011458,72.659342,-204.615389,136.800003,0.695971,-0.244200,8.058608,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.531136,0
0.012500,160.518685,-181.898905,82.681321,-21.018315,-3.174603,9.035409,-5.616606,3.663004,-8.547009,5.616606,-0.278999,3.472527,0
0.013542,197.934070,-157.846157,-9.186813,-9.326007,-6.593407,9.035409,-2.197802,6.593407,-8.547009,2.197802,-0.278999,3.482295,0
0.014583,195.595609,-125.775827,-111.076926,15.728938,-8.547009,7.570208,1.221001,8.547009,-7.081807,-0.732601,-0.278999,3.501832,0
0.015625,168.870333,-63.973628,-186.241762,29.091575,-9.523810,4.639805,5.128205,9.523810,-4.151404,-5.128205,-0.278999,3.482295,0
0.016667,148.492311,39.920880,-201.942862,3.201465,-8.547009,1.221001,8.058608,8.547009,-0.244200,-7.570208,-0.278999,3.482295,0
0.017709,104.729673,134.127476,-190.918686,-16.842491,-6.105006,-2.197802,9.523810,6.593407,2.686203,-8.547009,-0.278999,3.511600,0
0.018750,31.235166,193.257147,-166.197806,-17.120879,-3.174603,-6.105006,9.523810,3.663004,6.105006,-9.035409,-0.278999,3.394383,0
0.019792,-74.997804,202.610994,-139.138465,7.934066,0.244200,-8.058608,8.547009,-0.244200,8.547009,-7.570208,-0.278999,3.492063,0
0.020834,-162.857146,179.560444,-85.019782,26.586081,3.663004,-9.035409,5.616606,-3.174603,9.523810,-4.639805,-0.278999,3.492063,0
0.021875,-199.938466,155.841762,6.180220,13.501832,7.081807,-9.035409,2.686203,-6.593407,9.035409,-1.709402,0.209402,3.492063,0
0.022917,-197.934070,123.103299,108.404398,-8.490842,9.035409,-7.570208,-1.221001,-8.547009,7.570208,1.709402,0.209402,3.501832,0
0.023958,-171.542861,61.969232,183.569235,-25.194139,9.523810,-4.151404,-4.639805,-9.523810,4.639805,3.663004,-0.278999,3.482295,0
0.025001,-150.496707,-43.261539,199.938466,-0.417582,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.278999,3.482295,0
0.026042,-108.070332,-136.800003,188.246158,21.018315,6.593407,2.686203,-8.547009,-6.105006,-2.686203,9.035409,0.209402,3.492063,0
0.027083,-33.573627,-196.597807,163.525278,22.131868,3.663004,6.593407,-9.035409,-3.174603,-6.105006,9.523810,0.209402,3.492063,0
0.028125,72.659342,-205.617587,136.465937,-0.974359,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.501832,0
0.029168,160.852751,-182.567037,82.013189,-22.967033,-3.174603,9.523810,-5.128205,3.663004,-9.035409,5.128205,-0.278999,3.482295,0
0.030208,197.600004,-157.846157,-9.854945,-7.934066,-7.081807,9.523810,-2.197802,7.081807,-8.547009,2.197802,-0.767399,3.482295,0
0.031250,195.595609,-125.775827,-111.410991,14.615385,-8.547009,7.570208,1.709402,9.035409,-7.081807,-1.221001,-0.278999,3.531136,0
0.032292,169.538465,-64.307694,-185.907696,27.978022,-9.523810,4.639805,5.128205,9.523810,-4.151404,-4.639805,-0.278999,3.482295,0
0.033334,148.492311,40.589012,-202.276928,4.315018,-8.547009,0.732601,8.058608,8.547009,-0.244200,-7.570208,0.209402,3.482295,0
0.034375,104.729673,134.461541,-190.584620,-17.677656,-6.593407,-1.709402,9.035409,6.593407,2.686203,-9.035409,0.209402,3.501832,0
0.035417,29.898902,193.591213,-165.863740,-18.234432,-3.174603,-6.105006,9.523810,3.174603,6.105006,-9.035409,0.209402,3.492063,0
0.036459,-75.665936,201.274730,-139.138465,6.263736,0.244200,-8.058608,8.547009,0.244200,8.547009,-8.058608,0.209402,3.492063,0
0.037500,-163.191212,179.226378,-85.687914,26.029304,3.663004,-9.035409,6.105006,-3.174603,9.035409,-5.128205,-0.278999,3.492063,0
0.038542,-200.940664,155.507696,6.514286,13.780220,7.081807,-9.035409,2.686203,-6.593407,9.035409,-1.221001,-0.278999,3.492063,0
0.039583,-197.934070,123.103299,108.404398,-10.717949,9.035409,-7.570208,-1.221001,-8.547009,7.570208,1.709402,-0.278999,3.511600,0
0.040625,-171.876927,61.635166,183.903301,-25.194139,9.523810,-4.639805,-4.639805,-9.523810,4.639805,5.616606,0.209402,3.492063,0
0.041667,-150.830773,-42.927473,199.938466,-1.252747,8.547009,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.278999,3.472527,0
0.042708,-107.402200,-136.800003,187.912092,21.296703,6.593407,2.686203,-9.035409,-6.105006,-2.686203,9.035409,-0.278999,3.492063,0
0.043750,-33.239561,-196.263741,163.191212,22.410256,3.663004,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.492063,0
0.044792,72.993408,-204.615389,136.465937,-1.531136,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.482295,0
0.045834,160.518685,-181.564839,82.681321,-21.018315,-3.174603,9.523810,-5.128205,3.663004,-8.547009,5.128205,-0.278999,3.482295,0
0.046875,197.600004,-158.180223,-10.523077,-8.490842,-6.593407,9.523810,-1.709402,7.081807,-8.547009,2.197802,-0.278999,3.472527,0
0.047917,195.929675,-125.441761,-111.745057,16.285714,-8.547009,7.570208,1.221001,8.547009,-7.081807,-1.221001,-0.278999,3.511600,0
0.048959,169.204399,-64.641760,-186.909894,29.926740,-9.523810,4.639805,5.128205,9.523810,-4.151404,-4.639805,-0.767399,3.492063,0
0.050000,148.492311,41.257144,-202.276928,3.479853,-9.035409,1.221001,8.058608,9.035409,-0.732601,-7.570208,-0.278999,3.492063,0
0.051042,105.063739,134.795607,-190.250554,-16.842491,-6.593407,-2.686203,9.523810,6.593407,2.686203,-8.547009,-0.278999,3.531136,0
0.052083,30.567034,193.591213,-165.863740,-20.461538,-3.663004,-6.105006,9.523810,3.663004,6.105006,-9.035409,-0.278999,3.492063,0
0.053126,-75.331870,202.610994,-138.804399,5.428571,0.244200,-8.058608,8.058608,-0.244200,8.547009,-7.081807,-0.278999,3.492063,0
0.054167,-163.191212,179.560444,-85.019782,26.307692,3.663004,-9.035409,5.616606,-3.174603,8.058608,-5.128205,0.209402,3.482295,0
0.055208,-200.272532,155.507696,7.182418,12.666667,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.472527,0
0.056250,-198.268136,121.098904,109.406596,-10.996337,9.035409,-7.081807,-0.732601,-8.058608,7.081807,1.709402,0.209402,3.501832,0
0.057292,-171.542861,60.967034,185.239565,-25.472527,10.012210,-4.151404,-4.639805,-9.035409,4.639805,5.128205,0.209402,3.482295,0
0.058333,-150.496707,-43.595605,199.604400,0.695971,9.035409,-0.732601,-7.570208,-8.058608,1.221001,8.058608,-0.767399,3.511600,0
0.059375,-107.736266,-138.136267,186.909894,22.410256,7.081807,2.686203,-9.035409,-6.105006,-2.197802,9.523810,-0.278999,3.501832,0
0.060417,-32.905495,-196.263741,163.191212,22.410256,3.663004,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-1.744200,3.501832,0
0.061459,72.993408,-204.615389,136.465937,-1.531136,-0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.531136,0
0.062500,160.852751,-181.898905,82.347255,-21.853480,-3.663004,9.035409,-5.128205,3.663004,-8.547009,5.128205,-0.278999,3.472527,0
0.063542,197.934070,-157.512091,-9.186813,-9.047619,-6.593407,9.523810,-1.709402,7.081807,-8.547009,1.709402,-0.278999,3.472527,0
0.064584,195.595609,-125.107695,-112.413189,15.450549,-8.547009,7.570208,1.221001,8.547009,-7.570208,-1.221001,-0.278999,3.492063,0
0.065625,168.870333,-63.973628,-186.241762,29.091575,-9.523810,4.639805,5.128205,9.523810,-4.151404,-4.639805,-0.278999,3.482295,0
0.066667,148.158245,40.589012,-203.613191,4.871795,-8.547009,1.221001,8.058608,8.547009,-0.732601,-7.570208,-0.278999,3.482295,0
0.067708,104.729673,134.461541,-190.584620,-16.842491,-6.593407,-2.197802,9.523810,6.593407,2.686203,-9.035409,0.209402,3.501832,0
0.068750,30.232968,193.257147,-166.197806,-19.069597,-3.174603,-5.616606,9.523810,3.663004,6.105006,-9.035409,-0.278999,3.501832,0
0.069792,-75.665936,202.610994,-139.472531,7.098901,0.244200,-8.058608,8.547009,0.244200,8.547009,-7.570208,-0.278999,3.501832,0
0.070833,-163.191212,179.226378,-85.353848,26.307692,3.663004,-9.523810,5.616606,-3.174603,9.035409,-5.128205,-0.278999,3.492063,0
0.071875,-199.938466,155.507696,7.182418,11.831502,7.081807,-9.035409,2.197802,-6.593407,9.035409,-1.709402,0.209402,3.462759,0
0.072918,-197.600004,122.769234,108.738464,-11.553114,9.035409,-7.081807,-1.221001,-8.547009,7.570208,1.709402,0.209402,3.492063,0
0.073958,-171.208795,61.635166,183.903301,-25.194139,9.523810,-4.639805,-5.128205,-9.035409,4.639805,5.616606,-0.278999,3.482295,0
0.075000,-151.498904,-43.261539,199.938466,2.087912,9.035409,-0.732601,-7.570208,-9.035409,1.221001,8.058608,0.209402,3.492063,0
0.076042,-107.736266,-138.804399,188.246158,21.575092,6.593407,2.686203,-9.035409,-6.105006,-2.686203,9.035409,0.209402,3.501832,0
0.077084,-32.905495,-196.263741,162.857146,22.131868,3.663004,6.105006,-9.035409,-2.686203,-6.105006,9.523810,-0.278999,3.492063,0
0.078125,73.327474,-204.949455,136.131871,-1.252747,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.767399,3.540904,0
0.079167,161.520883,-181.564839,81.010991,-20.461538,-3.174603,9.523810,-5.128205,3.663004,-9.035409,5.128205,-0.767399,3.482295,0
0.080208,197.934070,-157.846157,-10.189011,-7.934066,-7.081807,9.523810,-2.197802,6.593407,-8.547009,2.197802,-0.767399,3.482295,0
0.081251,195.595609,-124.773629,-112.079123,15.450549,-8.547009,7.570208,1.221001,8.547009,-7.081807,-1.221001,-0.278999,3.560440,0
0.082292,169.204399,-63.305496,-186.909894,32.710623,-9.523810,4.639805,5.128205,9.523810,-4.151404,-5.128205,-0.278999,3.482295,0
0.083334,148.492311,41.925276,-202.276928,5.985348,-8.547009,1.221001,8.058608,8.547009,-0.244200,-7.570208,0.209402,3.482295,0
0.084375,105.063739,134.795607,-190.584620,-16.564103,-6.593407,-2.686203,9.523810,6.593407,2.686203,-9.035409,-0.278999,3.501832,0
0.085417,29.898902,193.925279,-165.529674,-17.120879,-3.174603,-6.105006,9.523810,3.174603,6.105006,-9.035409,0.209402,3.492063,0
0.086458,-76.000002,202.276928,-139.472531,6.263736,0.244200,-8.058608,8.058608,0.244200,8.547009,-7.570208,0.209402,3.492063,0
0.087500,-164.527476,179.226378,-84.685716,26.864469,3.663004,-9.035409,5.616606,-3.174603,9.035409,-5.128205,-0.767399,3.492063,0
0.088542,-199.938466,155.173630,7.182418,13.223443,7.081807,-8.547009,2.686203,-6.593407,9.035409,-1.709402,-0.278999,3.472527,0
0.089583,-197.600004,122.435168,108.070332,-10.439560,9.035409,-7.081807,-1.221001,-8.547009,7.570208,2.197802,-0.278999,3.511600,0
0.090625,-171.208795,61.301100,184.571433,-25.472527,9.523810,-4.639805,-4.639805,-9.035409,4.639805,5.128205,-0.767399,3.492063,0
0.091667,-150.830773,-43.595605,199.938466,0.695971,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.278999,3.482295,0
0.092709,-107.068134,-137.468135,187.243960,22.131868,7.081807,3.174603,-9.035409,-6.593407,-2.686203,9.035409,0.209402,3.501832,0
0.093750,-32.237363,-195.929675,163.191212,21.575092,3.663004,6.105006,-9.523810,-3.174603,-6.105006,9.523810,-0.278999,3.492063,0
0.094792,73.995606,-204.949455,136.131871,-2.366300,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.492063,0
0.095834,161.186817,-181.564839,81.345057,-21.853480,-3.174603,9.523810,-5.616606,3.663004,-9.035409,5.616606,0.209402,3.482295,0
0.096876,197.600004,-158.180223,-11.525275,-7.377289,-7.081807,9.035409,-1.709402,7.081807,-8.547009,2.197802,-0.278999,3.472527,0
0.097917,196.263741,-125.775827,-111.745057,16.007326,-9.035409,7.570208,1.709402,9.035409,-7.081807,-1.221001,-0.767399,3.619048,0
0.098959,168.870333,-63.305496,-187.243960,27.699634,-9.523810,4.639805,5.128205,9.523810,-4.151404,-5.128205,-0.767399,3.492063,0
0.100000,148.492311,41.591210,-202.276928,4.036630,-8.547009,1.221001,8.058608,9.035409,-0.732601,-7.570208,-0.767399,3.501832,0
0.101043,104.729673,135.129673,-190.250554,-16.285714,-6.593407,-2.686203,9.035409,6.593407,2.686203,-9.035409,0.209402,3.550672,0
0.102083,29.564836,193.591213,-165.863740,-17.677656,-3.174603,-6.105006,9.523810,3.174603,6.105006,-9.035409,0.209402,3.492063,0
0.103125,-76.334068,202.945059,-138.804399,6.263736,0.244200,-8.058608,8.058608,-0.244200,8.547009,-7.570208,0.209402,3.492063,0
0.104167,-163.859344,178.892312,-84.685716,26.307692,3.663004,-9.035409,5.616606,-3.663004,9.035409,-5.128205,0.209402,3.482295,0
