1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-43.595605,-156.175828,163.859344,1.809524,2.686203,7.081807,-6.105006,-1.709402,-6.105006,6.593407,2.163004,2.610501,1
0.001042,46.602199,-183.569235,139.806597,1.809524,-0.244200,9.035409,-4.151404,1.221001,-8.058608,4.639805,3.139805,2.625153,1
0.002083,123.771431,-173.881323,89.362639,2.087912,-3.663004,7.570208,-2.686203,4.151404,-6.593407,3.174603,0.209402,2.615385,1
0.003125,165.863740,-159.850553,11.525275,1.252747,-7.081807,6.105006,-1.221001,7.570208,-5.128205,1.709402,-3.209402,2.600733,1
0.004167,182.232971,-122.435168,-79.340661,1.531136,-8.058608,4.639805,2.197802,8.547009,-3.174603,-1.709402,-2.721001,2.620269,1
0.005208,168.536267,-67.982419,-144.817586,1.531136,-6.593407,3.174603,5.616606,7.081807,-2.197802,-4.639805,1.186203,2.620269,1
0.006250,153.837366,16.870330,-174.549454,2.366300,-4.639805,0.732601,8.058608,5.616606,-0.244200,-7.570208,3.628205,2.615385,1
0.007292,108.070332,100.386815,-178.224180,2.366300,-3.174603,-2.686203,8.058608,3.663004,3.663004,-7.081807,1.674603,2.625153,1
0.008334,43.261539,156.509894,-164.193410,1.809524,-2.197802,-6.105006,6.593407,2.686203,6.593407,-5.616606,-2.232601,2.615385,1
0.009375,-46.936265,182.901103,-139.806597,1.252747,0.732601,-8.058608,5.128205,-0.244200,8.547009,-4.151404,-3.209402,2.625153,1
0.010417,-123.437365,174.549454,-88.694507,1.809524,4.151404,-7.081807,3.663004,-3.663004,7.570208,-2.197802,-0.278999,2.610501,1
0.011459,-165.195608,159.850553,-12.193407,1.531136,7.570208,-5.616606,1.709402,-7.081807,5.616606,-0.732601,3.139805,2.595849,1
0.012500,-182.901103,122.435168,79.006595,1.809524,8.547009,-3.663004,-1.709402,-7.570208,4.639805,2.197802,2.651404,2.615385,1
0.013542,-168.202202,67.648353,144.483520,1.531136,7.570208,-2.686203,-5.128205,-6.105006,3.174603,6.105006,-1.255800,2.620269,1
0.014583,-153.837366,-16.870330,174.215389,1.809524,6.105006,-0.244200,-7.570208,-4.639805,0.732601,8.547009,-3.209402,2.615385,1
0.015625,-108.070332,-101.054947,177.890114,1.531136,3.663004,3.174603,-7.570208,-3.174603,-2.686203,8.058608,-1.744200,2.625153,1
0.016667,-43.261539,-156.175828,163.859344,1.809524,2.686203,7.081807,-6.105006,-1.709402,-6.105006,6.105006,2.163004,2.610501,1
0.017708,46.602199,-183.235169,139.472531,2.087912,-0.244200,9.035409,-4.151404,0.732601,-7.570208,4.639805,3.628205,2.620269,1
0.018750,123.771431,-173.881323,89.362639,1.809524,-3.174603,7.570208,-2.686203,4.639805,-6.593407,3.174603,0.209402,2.610501,1
0.019792,166.197806,-159.850553,11.191209,2.644689,-7.081807,6.105006,-1.221001,7.570208,-5.128205,1.221001,-2.721001,2.590965,1
0.020833,182.232971,-122.435168,-79.340661,1.809524,-8.058608,4.639805,2.197802,8.058608,-3.663004,-1.709402,-2.232601,2.615385,1
0.021875,168.202202,-68.316485,-144.149454,1.809524,-6.593407,3.174603,5.616606,7.081807,-2.197802,-5.128205,1.186203,2.610501,1
0.022917,153.837366,16.870330,-174.549454,1.809524,-4.639805,1.221001,8.547009,5.616606,-0.244200,-8.058608,3.628205,2.610501,1
0.023958,108.404398,101.054947,-177.890114,2.087912,-3.174603,-2.686203,8.058608,3.663004,3.663004,-7.081807,1.674603,2.620269,1
0.025000,42.927473,156.509894,-164.193410,1.252747,-2.197802,-6.105006,6.593407,2.197802,7.081807,-5.616606,-2.232601,2.610501,1
0.026042,-46.936265,182.901103,-140.140662,1.252747,1.221001,-8.058608,5.128205,-0.244200,8.547009,-3.663004,-3.697802,2.620269,1
0.027084,-123.437365,174.549454,-89.028573,2.087912,4.151404,-7.081807,3.663004,-3.663004,7.570208,-2.686203,-0.278999,2.610501,1
0.028125,-165.529674,159.516487,-11.859341,1.531136,7.570208,-5.616606,1.221001,-6.593407,6.105006,-0.732601,3.139805,2.595849,1
0.029167,-182.567037,122.101102,79.006595,1.809524,8.547009,-3.663004,-1.221001,-7.570208,4.151404,2.197802,2.651404,2.620269,1
0.030208,-168.202202,67.314287,144.483520,1.809524,7.081807,-2.197802,-4.639805,-6.593407,3.174603,6.105006,-1.255800,2.620269,1
0.031251,-153.837366,-16.870330,174.215389,1.252747,5.616606,-0.244200,-7.570208,-4.639805,0.732601,8.547009,-3.209402,2.610501,1
0.032291,-108.070332,-101.054947,178.224180,2.366300,4.151404,3.174603,-7.570208,-2.686203,-2.686203,7.570208,-1.255800,2.620269,1
0.033333,-42.927473,-156.175828,163.859344,1.531136,2.686203,7.081807,-5.616606,-1.709402,-6.105006,6.105006,2.163004,2.610501,1
0.034375,47.270331,-183.235169,139.806597,1.809524,-0.244200,9.035409,-4.151404,0.732601,-8.058608,4.639805,3.628205,2.620269,1
0.035417,123.771431,-173.881323,88.694507,2.644689,-3.663004,7.570208,-2.686203,4.639805,-6.593407,3.174603,0.209402,2.610501,1
0.036458,165.863740,-159.850553,11.525275,1.531136,-6.593407,6.105006,-1.221001,7.081807,-5.128205,1.221001,-2.721001,2.595849,1
