1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-141.142860,158.180223,-0.835165,2.087912,11.965812,-6.593407,-1.221001,-10.989011,7.081807,2.686203,2.651404,2.879121,0
0.001042,-157.178025,129.450552,74.997804,0.417582,10.989011,-4.639805,-6.593407,-10.500611,4.639805,7.570208,-0.767399,2.888889,0
0.002083,-171.208795,56.624177,124.773629,5.428571,9.523810,-1.221001,-10.012210,-8.547009,1.709402,10.989011,-3.209402,2.888889,0
0.003125,-153.837366,-21.213187,142.813190,2.366300,7.081807,3.663004,-10.989011,-5.616606,-3.174603,11.965812,-1.744200,2.898657,0
0.004167,-112.747255,-91.701101,165.529674,1.809524,4.151404,9.035409,-10.012210,-3.174603,-8.547009,10.012210,2.163004,2.888889,0
0.005208,-30.567034,-136.131871,163.859344,2.366300,0.732601,11.965812,-7.570208,0.244200,-11.477411,8.058608,3.628205,2.908425,0
0.006250,48.272529,-153.169234,147.490113,1.531136,-5.128205,11.477411,-5.128205,5.616606,-10.989011,5.616606,0.697802,2.908425,0
0.007296,110.408794,-171.542861,83.683518,2.366300,-9.035409,9.523810,-1.709402,9.523810,-8.547009,2.197802,-2.721001,2.879121,0
0.008335,140.808794,-158.514289,0.501099,1.531136,-10.989011,7.570208,1.709402,11.477411,-6.593407,-1.709402,-2.721001,2.888889,0
0.009376,157.512091,-130.118684,-76.334068,1.252747,-10.500611,5.616606,7.570208,10.989011,-4.151404,-6.593407,0.697802,2.888889,0
0.010418,170.874729,-56.290111,-124.773629,1.531136,-8.547009,2.197802,10.989011,9.035409,-1.221001,-10.500611,3.139805,2.898657,0
0.011460,153.837366,21.213187,-143.815388,1.531136,-6.593407,-2.686203,11.965812,6.593407,3.663004,-10.989011,1.674603,2.903541,0
0.012501,112.079123,91.701101,-166.531872,1.809524,-3.663004,-8.058608,10.500611,3.663004,9.035409,-9.523810,-1.744200,2.893773,0
0.013544,29.898902,135.797805,-164.193410,1.531136,0.244200,-10.989011,8.547009,0.244200,11.965812,-7.570208,-3.209402,2.908425,0
0.014585,-48.272529,153.169234,-147.490113,1.252747,5.616606,-10.989011,5.616606,-5.128205,11.965812,-4.639805,-0.767399,2.903541,0
0.015626,-110.408794,171.542861,-84.685716,1.809524,10.012210,-9.035409,2.686203,-9.035409,9.523810,-1.709402,3.139805,2.879121,0
0.016667,-140.808794,158.514289,-1.169231,1.809524,11.965812,-6.593407,-1.709402,-10.500611,7.081807,2.686203,2.651404,2.884005,0
0.017708,-157.512091,129.450552,74.997804,0.974359,11.477411,-4.639805,-6.593407,-10.500611,5.128205,7.570208,-0.767399,2.888889,0
0.018750,-171.208795,57.292309,124.773629,1.531136,9.523810,-1.221001,-10.012210,-8.058608,1.709402,10.989011,-3.209402,2.893773,0
0.019792,-153.837366,-20.879121,143.147256,2.923077,7.081807,3.663004,-10.989011,-5.616606,-3.174603,11.477411,-1.744200,2.898657,0
0.020833,-112.747255,-91.701101,165.863740,1.809524,4.151404,8.547009,-9.523810,-3.174603,-8.058608,10.500611,2.163004,2.893773,0
0.021875,-31.235166,-135.797805,164.193410,1.809524,0.732601,11.965812,-7.570208,0.244200,-10.989011,8.058608,3.628205,2.913309,0
0.022917,48.272529,-153.169234,146.821981,2.087912,-4.639805,11.965812,-5.128205,5.616606,-10.989011,5.616606,0.697802,2.908425,0
0.023958,109.740662,-171.542861,84.351650,2.366300,-9.035409,9.523810,-2.197802,9.523810,-8.547009,2.686203,-2.721001,2.884005,0
0.025000,140.808794,-158.514289,0.501099,1.531136,-11.477411,7.570208,2.197802,11.965812,-6.593407,-1.709402,-2.721001,2.884005,0
0.026042,156.843960,-129.784618,-75.331870,1.252747,-10.500611,5.128205,7.570208,10.989011,-4.151404,-6.593407,1.186203,2.888889,0
0.027084,171.542861,-56.958243,-124.773629,0.695971,-8.547009,2.197802,10.989011,9.035409,-0.732601,-10.500611,3.139805,2.893773,0
0.028125,153.837366,20.879121,-143.815388,0.974359,-6.105006,-3.174603,11.965812,6.593407,4.151404,-10.989011,1.674603,2.898657,0
0.029168,112.413189,91.367035,-166.197806,1.531136,-3.663004,-8.058608,10.500611,3.663004,9.035409,-9.523810,-1.744200,2.893773,0
0.030208,31.235166,135.797805,-164.861542,1.252747,0.244200,-10.989011,8.547009,0.732601,11.965812,-7.081807,-3.697802,2.908425,0
0.031250,-47.604397,152.501102,-147.824179,1.252747,5.616606,-10.989011,6.105006,-4.639805,11.965812,-4.639805,-0.767399,2.903541,0
0.032291,-110.074728,171.208795,-85.019782,2.087912,9.523810,-9.035409,3.174603,-9.035409,9.523810,-1.709402,3.139805,2.879121,0
0.033333,-141.142860,158.180223,-1.503297,1.531136,11.965812,-6.593407,-0.732601,-10.989011,7.081807,2.197802,2.651404,2.888889,0
