1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,184.237367,-130.786816,-100.720881,18.234432,-8.058608,5.616606,3.663004,8.547009,-4.639805,-2.686203,-0.278999,2.837607,0
0.001042,165.529674,-65.643958,-164.861542,22.967033,-8.058608,2.686203,6.593407,8.058608,-1.709402,-5.616606,-0.278999,2.827839,0
0.002083,153.503300,28.896704,-185.239565,2.366300,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.081807,0.209402,2.827839,0
0.003125,112.747255,122.435168,-177.890114,-18.791209,-3.663004,-3.663004,8.547009,4.151404,4.639805,-7.570208,0.209402,2.827839,0
0.004167,31.569231,170.874729,-167.200004,-11.274725,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.570208,0.209402,2.818071,0
0.005208,-30.901100,186.909894,-149.160443,10.996337,2.686203,-8.058608,6.105006,-1.709402,8.058608,-5.128205,0.209402,2.818071,0
0.006254,-128.114289,163.859344,-92.369233,27.978022,5.616606,-7.570208,3.174603,-4.639805,8.058608,-2.197802,0.209402,2.798535,0
0.007292,-177.556048,163.191212,-35.912089,8.212454,7.570208,-6.593407,0.244200,-6.593407,7.081807,0.732601,0.209402,2.808303,0
0.008334,-184.571433,129.450552,104.061541,-22.410256,8.547009,-4.151404,-2.686203,-7.570208,5.128205,3.663004,-1.255800,2.847375,0
0.009375,-164.861542,65.643958,163.525278,-25.472527,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.278999,2.945055,0
0.010416,-152.501102,-29.230770,184.571433,-26.029304,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,0.209402,2.837607,0
0.011458,-117.424178,-123.771431,177.890114,24.358974,4.639805,4.639805,-8.058608,-3.174603,-3.663004,8.058608,0.209402,2.827839,0
0.012500,-34.909891,-172.879125,163.859344,16.007326,1.221001,7.081807,-7.570208,-0.244200,-6.105006,7.570208,-0.278999,2.818071,0
0.013541,63.305496,-186.909894,142.813190,-7.377289,-1.709402,8.547009,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.827839,0
0.014583,146.153849,-171.208795,88.360442,-23.523810,-4.639805,8.547009,-2.686203,5.616606,-7.570208,3.174603,0.209402,2.798535,0
