1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,99.050552,-169.538465,102.057145,1.531136,-8.547009,10.012210,-2.686203,9.035409,-9.035409,3.174603,-2.721001,2.864469,0
0.001042,138.470333,-162.857146,17.872528,2.644689,-10.989011,8.058608,1.221001,11.477411,-7.081807,-0.244200,-3.209402,2.864469,0
0.002084,152.501102,-140.140662,-57.960441,2.923077,-10.989011,5.616606,5.616606,11.477411,-4.639805,-5.616606,-0.278999,2.859585,0
0.003125,170.874729,-77.002200,-115.753849,2.366300,-9.035409,2.686203,10.012210,9.523810,-1.709402,-9.523810,2.651404,2.859585,0
0.004167,156.843960,3.173626,-142.479124,2.366300,-6.593407,-1.709402,11.477411,7.081807,2.686203,-10.989011,2.651404,2.874237,0
0.005208,128.114289,78.672529,-161.520883,1.531136,-4.151404,-7.081807,10.989011,4.639805,8.058608,-9.523810,-1.255800,2.869353,0
0.006250,49.942858,127.446157,-169.204399,2.644689,-0.732601,-10.500611,9.035409,1.221001,11.477411,-8.058608,-3.209402,2.869353,0
0.007292,-30.567034,147.490113,-153.503300,1.531136,4.151404,-11.477411,6.593407,-3.663004,11.965812,-5.128205,-1.255800,2.879121,0
0.008333,-99.050552,169.204399,-102.391211,1.531136,9.035409,-9.523810,3.663004,-8.058608,9.523810,-2.197802,2.651404,2.859585,0
0.009376,-139.138465,162.189015,-18.874726,1.252747,11.965812,-7.081807,-0.244200,-10.989011,7.570208,1.221001,3.628205,2.864469,0
0.010417,-153.169234,140.140662,57.292309,0.974359,11.477411,-5.128205,-5.128205,-10.500611,5.128205,6.105006,0.209402,2.859585,0
0.011459,-170.874729,76.668134,115.419783,1.809524,10.012210,-2.197802,-9.523810,-8.547009,2.686203,10.012210,-2.721001,2.859585,0
0.012501,-157.178025,-3.841758,141.810992,1.809524,7.570208,2.197802,-10.989011,-6.105006,-2.197802,11.477411,-2.721001,2.879121,0
