1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,160.518685,-20.210989,-163.191212,1.252747,-5.616606,2.197802,7.570208,6.105006,-1.221001,-6.593407,3.139805,2.620269,0
0.001042,128.114289,69.652749,-182.567037,1.809524,-4.151404,-1.221001,8.547009,4.639805,2.197802,-7.570208,2.651404,2.634921,0
0.002084,73.995606,138.470333,-168.202202,1.531136,-2.686203,-4.639805,7.570208,3.174603,5.616606,-6.105006,-0.767399,2.620269,0
0.003125,-8.852747,172.210993,-156.175828,1.809524,-0.244200,-7.570208,5.616606,0.732601,8.547009,-4.639805,-3.209402,2.620269,0
0.004167,-96.043958,180.562641,-110.408794,1.809524,2.686203,-7.570208,3.663004,-2.197802,8.058608,-3.174603,-1.744200,2.625153,0
0.005208,-154.505498,164.193410,-46.936265,2.087912,6.593407,-6.105006,2.686203,-5.616606,6.593407,-1.709402,2.163004,2.605617,0
0.006251,-179.560444,141.810992,42.593408,1.531136,9.035409,-4.151404,0.244200,-8.058608,5.128205,0.732601,4.116606,2.610501,0
0.007292,-173.881323,94.039563,120.430772,2.087912,8.058608,-2.686203,-3.174603,-7.081807,3.663004,4.151404,0.697802,2.620269,0
0.008333,-160.518685,20.545055,162.857146,1.531136,6.593407,-1.221001,-6.593407,-5.128205,1.709402,7.570208,-2.721001,2.615385,0
0.009375,-128.448355,-68.984617,182.232971,1.531136,5.128205,1.709402,-8.058608,-3.663004,-1.221001,8.058608,-2.721001,2.630037,0
0.010417,-74.329672,-138.470333,167.868136,1.809524,3.174603,5.616606,-6.593407,-2.197802,-4.639805,7.081807,0.697802,2.615385,0
0.011458,9.186813,-172.545059,155.841762,2.644689,1.221001,8.547009,-4.639805,-0.244200,-7.570208,5.616606,3.139805,2.610501,0
0.012500,96.043958,-180.562641,110.408794,1.531136,-2.197802,8.547009,-3.174603,2.686203,-7.081807,3.663004,1.674603,2.625153,0
