1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-48.606594,-139.138465,167.534070,7.098901,-1.709402,8.547009,-6.593407,2.197802,-8.058608,6.593407,-0.767399,2.222222,0
0.001041,39.920880,-158.848355,156.175828,-12.109890,-4.639805,8.547009,-3.174603,5.128205,-8.058608,3.174603,-0.278999,2.212454,0
0.002079,115.419783,-171.542861,97.380222,-11.274725,-7.081807,8.058608,0.244200,6.593407,-7.081807,0.244200,-0.278999,2.202686,0
0.003123,142.479124,-167.534070,14.197803,5.985348,-8.058608,6.105006,3.174603,8.547009,-4.639805,-2.686203,-0.278999,2.212454,0
0.004168,169.204399,-144.483520,-77.002200,21.853480,-8.058608,3.174603,6.105006,9.035409,-2.197802,-5.616606,-0.278999,2.222222,0
0.005204,156.843960,-66.646155,-117.090113,10.161172,-7.081807,-0.244200,8.058608,7.081807,0.732601,-7.081807,-0.278999,2.222222,0
0.006246,163.525278,4.175824,-118.426376,-6.263736,-4.639805,-3.663004,9.035409,5.128205,4.151404,-8.058608,-0.278999,2.222222,0
0.007290,128.448355,97.380222,-158.180223,-16.285714,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.570208,0.209402,2.231990,0
0.008332,47.270331,137.802201,-168.202202,-7.098901,2.197802,-7.570208,7.081807,-1.221001,8.547009,-5.616606,-1.744200,2.349206,0
0.009369,-41.257144,157.512091,-157.512091,5.428571,5.128205,-8.547009,4.151404,-4.151404,9.035409,-3.174603,0.209402,2.212454,0
0.010410,-112.079123,170.874729,-101.054947,15.728938,8.058608,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.202686,0
0.011451,-141.142860,167.534070,-14.531868,-1.252747,8.547009,-5.616606,-2.686203,-9.035409,5.616606,3.174603,0.209402,2.212454,0
0.012501,-163.191212,142.479124,75.331870,-16.842491,9.035409,-2.197802,-5.128205,-8.058608,3.174603,6.105006,0.209402,2.212454,0
0.013541,-167.534070,71.323079,126.778025,-7.098901,7.570208,1.221001,-7.570208,-7.570208,-0.244200,8.058608,-0.278999,2.222222,0
0.014584,-159.516487,-12.861539,146.487915,12.109890,5.128205,4.151404,-8.058608,-4.151404,-3.663004,9.035409,-0.278999,2.231990,0
0.015621,-138.804399,-98.048354,176.887916,20.183150,2.197802,7.081807,-7.570208,-1.709402,-6.105006,8.058608,-0.278999,2.222222,0
0.016663,-48.272529,-136.131871,147.490113,11.274725,-1.221001,8.547009,-6.105006,2.197802,-7.570208,6.593407,-0.278999,2.231990,0
0.017713,41.591210,-149.828575,159.516487,-13.223443,-4.639805,9.035409,-3.174603,5.616606,-8.058608,3.663004,-0.278999,2.212454,0
0.018764,113.749453,-162.523081,75.331870,-10.161172,-7.081807,8.058608,0.244200,7.570208,-6.593407,0.244200,0.209402,2.192918,0
0.019816,155.841762,-155.841762,-9.520879,5.706960,-8.058608,6.105006,3.174603,8.547009,-5.128205,-2.686203,0.209402,2.202686,0
0.020830,162.857146,-143.815388,-75.331870,21.296703,-8.058608,4.151404,6.105006,9.035409,-2.197802,-5.616606,-0.278999,2.212454,0
0.021874,168.202202,-71.991210,-128.114289,11.274725,-7.081807,1.221001,8.058608,7.081807,1.221001,-7.081807,-0.278999,2.212454,0
0.022910,163.191212,10.189011,-147.824179,-6.542125,-4.639805,-3.663004,9.035409,5.128205,4.639805,-7.570208,-0.278999,2.222222,0
0.023963,130.452750,97.714288,-168.202202,-16.007326,-1.221001,-8.058608,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.222222,0
0.025001,46.936265,137.468135,-169.872531,-3.479853,1.709402,-7.570208,7.081807,-1.221001,8.547009,-6.105006,0.209402,2.212454,0
0.026042,-84.351650,160.184619,-148.826377,16.007326,5.128205,-8.058608,3.663004,-4.639805,9.035409,-3.174603,0.209402,2.212454,0
0.027091,-146.487915,171.542861,-103.727475,15.450549,7.570208,-7.081807,0.732601,-6.593407,7.570208,0.244200,-0.278999,2.202686,0
0.028127,-144.149454,167.200004,-41.591210,-3.201465,9.035409,-5.616606,-2.197802,-8.058608,5.616606,3.174603,0.209402,2.222222,0
0.029166,-162.523081,142.813190,74.663738,-14.336996,9.035409,-2.686203,-5.616606,-8.547009,3.174603,6.105006,-0.278999,2.095238,0
0.030211,-169.872531,71.323079,126.778025,-11.831502,7.570208,0.732601,-7.081807,-6.593407,-0.244200,8.058608,0.209402,2.476190,0
0.031256,-163.191212,-12.861539,148.826377,4.593407,5.616606,4.151404,-8.058608,-4.151404,-3.663004,9.035409,-0.278999,2.192918,0
0.032291,-128.448355,-97.714288,166.531872,20.183150,2.197802,7.081807,-7.081807,-1.221001,-6.105006,8.058608,-0.278999,2.222222,0
0.033334,-45.934067,-138.804399,168.202202,6.820513,-1.221001,8.547009,-6.105006,2.197802,-8.058608,6.593407,-0.278999,2.231990,0
0.034390,40.589012,-158.848355,156.509894,-11.831502,-5.616606,9.035409,-3.663004,5.128205,-8.058608,3.663004,-0.278999,2.222222,0
0.035418,122.435168,-171.876927,98.716486,-11.831502,-7.081807,8.058608,0.244200,7.570208,-7.081807,0.732601,-0.278999,2.202686,0
0.036460,122.435168,-163.859344,21.213187,5.428571,-8.058608,6.105006,3.174603,8.547009,-5.128205,-3.174603,-0.278999,2.222222,0
0.037513,148.492311,-142.479124,-77.002200,21.853480,-8.547009,3.174603,6.105006,9.035409,-2.197802,-5.616606,0.209402,2.222222,0
0.038541,169.204399,-72.325276,-122.435168,6.820513,-7.081807,-0.244200,8.058608,7.081807,1.221001,-7.081807,0.697802,2.241758,0
0.039584,163.191212,11.191209,-148.826377,-4.871795,-5.128205,-3.174603,9.035409,5.128205,4.151404,-8.058608,-1.255800,2.329670,0
0.040644,125.775827,103.727475,-190.250554,-15.728938,-1.221001,-6.593407,8.547009,1.709402,7.081807,-7.570208,-0.278999,2.222222,0
0.041668,46.268133,138.136267,-168.202202,-34.380952,1.709402,-7.570208,7.081807,-1.221001,8.547009,-5.616606,-0.278999,2.222222,0
0.042710,-39.920880,157.512091,-157.178025,16.007326,5.128205,-8.547009,3.663004,-4.639805,8.547009,-3.174603,0.209402,2.222222,0
0.043751,-111.410991,170.874729,-98.716486,16.285714,7.570208,-7.081807,0.244200,-6.593407,7.570208,0.244200,-0.278999,2.202686,0
