1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,17.538462,-148.492311,164.527476,-9.604396,-3.663004,9.035409,-4.151404,4.639805,-8.058608,5.128205,0.209402,2.192918,0
0.001041,100.720881,-166.865938,120.430772,11.831502,-6.105006,8.058608,-0.732601,7.081807,-7.081807,1.709402,-0.278999,2.212454,0
0.002084,139.806597,-166.865938,39.920880,9.882784,-7.570208,7.081807,2.197802,8.547009,-5.616606,-1.709402,0.209402,2.163614,0
0.003125,155.507696,-152.501102,-49.942858,9.047619,-8.058608,4.151404,5.616606,9.035409,-3.174603,-4.639805,0.209402,2.163614,0
0.004167,170.874729,-95.041760,-112.747255,-7.655678,-7.081807,0.732601,7.570208,8.058608,0.244200,-6.593407,0.209402,2.173382,0
0.005208,167.200004,-11.525275,-141.810992,-8.212454,-5.616606,-2.197802,9.035409,5.616606,3.174603,-7.570208,0.697802,2.183150,0
0.006250,144.817586,78.672529,-161.186817,-9.604396,-2.197802,-5.616606,9.523810,3.174603,6.593407,-8.058608,0.209402,2.183150,0
0.007291,68.984617,128.782420,-168.870333,7.655678,1.709402,-7.570208,7.570208,-0.244200,8.547009,-6.105006,0.697802,2.173382,0
0.008333,-16.870330,149.828575,-164.193410,11.553114,4.639805,-8.058608,5.128205,-3.663004,9.035409,-3.663004,0.209402,2.183150,0
0.009375,-99.718684,168.202202,-120.096706,-9.326007,7.081807,-7.570208,2.197802,-6.105006,8.058608,-0.244200,0.209402,2.222222,0
0.010417,-138.804399,167.534070,-38.918682,-9.047619,8.547009,-5.616606,-1.221001,-7.570208,6.593407,2.686203,0.209402,2.173382,0
0.011458,-154.505498,154.171432,49.942858,-7.098901,9.035409,-3.174603,-4.639805,-8.058608,4.151404,5.616606,0.209402,2.212454,0
0.012500,-169.204399,95.375826,113.415387,7.934066,8.058608,0.244200,-7.081807,-6.593407,0.244200,7.570208,0.209402,2.173382,0
0.013541,-166.531872,12.193407,142.813190,9.882784,6.593407,3.174603,-8.058608,-5.128205,-2.686203,9.035409,0.209402,2.192918,0
0.014584,-143.481322,-77.670331,161.854949,10.996337,3.174603,6.105006,-8.547009,-1.709402,-5.616606,9.035409,0.209402,2.192918,0
0.015625,-67.982419,-127.780223,170.206597,-6.263736,-0.244200,8.547009,-6.593407,1.221001,-7.081807,7.081807,0.209402,2.192918,0
0.016667,17.872528,-148.492311,164.527476,-8.490842,-3.663004,9.035409,-4.151404,4.639805,-8.058608,4.639805,0.209402,2.192918,0
