1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-89.028573,-156.509894,164.861542,29.091575,3.174603,5.616606,-7.570208,-2.197802,-5.128205,8.058608,-0.278999,2.808303,0
0.001042,2.839561,-178.558246,159.182421,5.706960,-0.244200,8.058608,-6.593407,0.732601,-7.081807,7.081807,0.209402,2.808303,0
0.002084,103.727475,-181.898905,126.109893,-16.285714,-3.174603,8.058608,-4.151404,3.663004,-7.570208,4.639805,0.209402,2.808303,0
0.003125,163.525278,-165.529674,53.283518,-15.450549,-5.616606,8.058608,-1.221001,6.105006,-7.081807,1.709402,0.209402,2.798535,0
0.004167,182.901103,-148.492311,-41.591210,4.871795,-7.570208,6.593407,1.709402,8.547009,-6.105006,-1.221001,0.209402,2.808303,0
0.005209,174.215389,-110.742860,-133.793410,26.029304,-8.058608,4.151404,4.639805,8.058608,-3.174603,-4.151404,0.209402,2.808303,0
0.006251,161.520883,-27.560440,-170.874729,13.501832,-7.081807,1.221001,7.570208,7.570208,-0.244200,-6.593407,0.209402,2.808303,0
0.007291,140.808794,72.993408,-184.237367,-9.882784,-5.616606,-2.197802,8.547009,6.105006,2.686203,-7.570208,0.209402,2.827839,0
0.008333,87.358244,154.839564,-166.197806,-24.080586,-2.686203,-5.128205,8.547009,3.174603,5.616606,-7.570208,0.209402,2.808303,0
0.009376,-4.509890,177.556048,-160.184619,-1.252747,0.732601,-7.081807,7.570208,0.244200,8.058608,-6.593407,0.209402,2.808303,0
0.010417,-105.397805,180.896707,-127.446157,20.461538,3.663004,-8.058608,4.639805,-3.174603,8.058608,-3.663004,0.209402,2.808303,0
0.011459,-164.527476,164.527476,-54.619781,19.626374,6.593407,-7.570208,2.197802,-5.616606,8.058608,-0.732601,0.209402,2.798535,0
0.012500,-184.237367,147.490113,40.254946,-1.809524,8.547009,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.818071,0
0.013542,-175.551652,110.074728,131.789014,-21.296703,8.547009,-3.174603,-3.663004,-7.570208,4.151404,4.639805,0.209402,2.818071,0
0.014583,-162.523081,25.556045,169.538465,-8.490842,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.570208,0.209402,2.808303,0
0.015625,-142.145058,-73.661540,182.232971,13.780220,6.105006,2.686203,-7.570208,-5.128205,-2.197802,8.547009,0.209402,2.827839,0
0.016667,-88.694507,-156.509894,164.861542,29.369963,3.174603,5.616606,-8.058608,-2.197802,-5.128205,8.547009,-0.278999,2.818071,0
0.017709,3.173626,-178.558246,158.848355,6.542125,-0.244200,8.058608,-6.593407,0.732601,-7.081807,7.570208,0.209402,2.808303,0
0.018750,104.061541,-181.898905,125.775827,-16.285714,-3.174603,8.058608,-4.151404,3.663004,-7.081807,4.639805,0.209402,2.808303,0
0.019792,163.859344,-165.195608,52.949452,-15.450549,-5.616606,8.547009,-1.221001,6.105006,-7.570208,1.709402,0.209402,2.798535,0
0.020833,182.901103,-148.492311,-41.925276,5.985348,-7.570208,7.081807,2.197802,8.547009,-6.105006,-1.221001,0.209402,2.818071,0
0.021876,174.215389,-110.408794,-133.793410,25.750916,-8.058608,4.639805,4.639805,8.058608,-3.174603,-4.151404,-0.278999,2.818071,0
0.022919,161.520883,-26.892308,-170.874729,13.780220,-7.081807,0.732601,7.570208,7.570208,0.244200,-6.593407,-0.278999,2.818071,0
0.023958,140.808794,72.659342,-183.903301,-9.326007,-5.616606,-2.197802,8.547009,5.616606,3.174603,-8.058608,-0.278999,2.837607,0
0.024999,87.358244,154.505498,-166.197806,-24.637363,-2.197802,-5.128205,8.547009,2.686203,5.616606,-7.570208,0.209402,2.818071,0
0.026042,-4.843956,177.221982,-160.518685,-1.531136,0.732601,-7.081807,7.081807,-0.244200,8.058608,-6.593407,0.209402,2.818071,0
0.027083,-105.397805,180.562641,-128.114289,19.904762,3.663004,-7.570208,5.128205,-3.174603,8.058608,-3.663004,0.209402,2.808303,0
0.028124,-164.861542,164.527476,-54.619781,20.183150,6.593407,-7.570208,2.197802,-5.616606,8.058608,-1.221001,0.209402,2.798535,0
0.029166,-183.903301,147.490113,40.589012,-1.531136,8.058608,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.818071,0
0.030211,-175.217586,109.406596,132.457146,-20.739927,8.547009,-3.174603,-3.663004,-7.570208,3.663004,5.128205,0.209402,2.818071,0
0.031251,-162.857146,25.221979,169.538465,-8.769231,8.058608,-0.244200,-6.593407,-7.081807,1.221001,7.081807,-0.278999,2.818071,0
0.032293,-141.810992,-74.329672,182.567037,13.501832,6.105006,2.686203,-7.570208,-5.128205,-2.197802,8.547009,0.209402,2.837607,0
0.033333,-88.360442,-156.843960,164.861542,29.648352,3.174603,6.105006,-8.058608,-2.197802,-5.128205,8.058608,-0.278999,2.808303,0
0.034376,3.507692,-178.892312,158.848355,5.985348,-0.244200,8.058608,-6.593407,0.732601,-7.081807,7.081807,-0.278999,2.808303,0
0.035417,104.061541,-181.898905,126.109893,-16.842491,-3.174603,8.547009,-4.151404,3.663004,-7.570208,4.639805,0.209402,2.808303,0
0.036458,163.859344,-165.195608,52.615386,-15.450549,-5.616606,8.058608,-1.221001,6.105006,-7.081807,2.197802,0.209402,2.798535,0
0.037501,182.901103,-148.492311,-42.593408,6.263736,-7.570208,6.593407,1.709402,8.058608,-5.616606,-1.221001,0.209402,2.808303,0
0.038542,174.215389,-110.742860,-133.459344,25.194139,-7.570208,4.151404,4.639805,8.547009,-3.174603,-4.151404,-0.278999,2.808303,0
0.039583,161.520883,-26.892308,-170.874729,13.780220,-7.570208,1.221001,7.081807,7.570208,-0.244200,-6.593407,0.209402,2.818071,0
0.040625,140.474728,72.993408,-183.903301,-10.161172,-5.128205,-2.197802,8.547009,6.105006,3.174603,-7.570208,0.209402,2.837607,0
0.041667,87.024178,155.173630,-166.197806,-24.915751,-2.197802,-5.128205,8.547009,3.174603,6.105006,-7.570208,0.209402,2.818071,0
0.042709,-4.843956,177.556048,-160.184619,-1.252747,0.732601,-7.081807,7.570208,-0.244200,7.570208,-6.593407,-0.278999,2.818071,0
0.043750,-105.731870,180.896707,-127.446157,20.739927,3.663004,-7.570208,5.128205,-3.174603,8.058608,-4.151404,-0.278999,2.818071,0
0.044792,-164.861542,164.193410,-54.285715,19.626374,6.593407,-7.570208,2.197802,-5.616606,8.058608,-1.221001,0.209402,2.808303,0
0.045842,-183.903301,147.156047,44.597803,-0.417582,8.058608,-6.105006,-1.221001,-7.570208,6.593407,2.197802,0.209402,2.818071,0
0.046883,-174.883520,108.404398,133.793410,-21.575092,8.547009,-3.174603,-4.151404,-7.570208,3.663004,4.639805,0.209402,2.808303,0
0.047923,-162.523081,24.219781,169.538465,-8.769231,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.081807,-0.278999,2.818071,0
0.048959,-141.810992,-74.663738,182.232971,13.223443,6.105006,2.686203,-7.570208,-5.128205,-2.197802,8.547009,0.209402,2.837607,0
0.050002,-88.026376,-156.843960,164.527476,28.813187,3.174603,6.105006,-8.058608,-2.197802,-5.128205,8.547009,0.209402,2.818071,0
0.051043,4.175824,-178.892312,158.514289,5.428571,0.244200,8.058608,-6.593407,0.732601,-7.081807,7.081807,0.209402,2.818071,0
0.052085,104.729673,-181.898905,125.441761,-16.285714,-3.174603,8.058608,-4.151404,3.663004,-7.570208,4.639805,0.209402,2.808303,0
0.053128,163.859344,-165.529674,51.947254,-15.172161,-5.616606,8.058608,-1.221001,6.105006,-7.081807,1.709402,0.209402,2.798535,0
0.054168,182.901103,-148.492311,-43.929671,5.985348,-7.570208,7.081807,1.709402,8.058608,-5.616606,-1.221001,0.209402,2.818071,0
0.055208,174.215389,-110.742860,-133.793410,26.307692,-8.058608,4.151404,4.639805,8.547009,-3.174603,-4.151404,-0.278999,2.818071,0
0.056251,161.186817,-26.224176,-170.874729,13.223443,-7.081807,0.732601,7.570208,8.058608,-0.244200,-6.593407,0.209402,2.818071,0
0.057296,140.140662,74.329672,-183.903301,-9.882784,-5.616606,-2.197802,8.547009,5.616606,3.174603,-7.570208,0.209402,2.837607,0
0.058341,85.019782,156.843960,-165.863740,-24.637363,-2.686203,-5.128205,8.547009,3.174603,6.105006,-7.570208,0.209402,2.818071,0
0.059375,-5.512088,177.221982,-160.518685,-1.252747,0.732601,-7.081807,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.818071,0
0.060424,-107.068134,180.562641,-126.443959,20.739927,3.663004,-7.570208,5.128205,-3.174603,8.058608,-3.663004,0.209402,2.818071,0
0.061467,-164.861542,164.193410,-52.281320,19.347985,6.593407,-7.081807,2.197802,-5.616606,8.058608,-0.732601,0.209402,2.808303,0
0.062507,-183.903301,147.156047,43.929671,-1.809524,8.058608,-6.105006,-0.732601,-7.570208,6.593407,2.197802,0.209402,2.827839,0
0.063550,-174.883520,108.404398,133.793410,-22.131868,8.547009,-3.174603,-4.151404,-7.570208,4.151404,5.128205,0.209402,2.808303,0
0.064590,-162.857146,23.217583,169.538465,-8.490842,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.570208,0.209402,2.808303,0
0.065630,-141.476926,-76.000002,182.232971,14.336996,6.105006,3.174603,-7.570208,-5.128205,-2.197802,8.547009,0.209402,2.837607,0
0.066676,-87.024178,-157.846157,164.193410,29.091575,3.174603,6.105006,-8.058608,-2.197802,-5.128205,8.058608,0.209402,2.818071,0
0.067717,6.514286,-179.226378,158.514289,5.150183,-0.244200,8.058608,-6.593407,1.221001,-7.081807,7.081807,0.209402,2.818071,0
0.068750,104.729673,-181.898905,125.441761,-15.450549,-3.174603,8.547009,-4.151404,3.663004,-7.081807,4.639805,0.209402,2.818071,0
0.069792,163.859344,-165.529674,51.947254,-16.007326,-5.616606,8.547009,-1.221001,6.105006,-7.081807,1.709402,0.209402,2.798535,0
0.070833,183.235169,-148.492311,-43.261539,6.263736,-7.570208,6.593407,1.709402,8.058608,-6.105006,-1.221001,-0.278999,2.808303,0
0.071875,173.881323,-110.074728,-134.127476,25.194139,-8.058608,4.151404,4.639805,8.547009,-3.174603,-4.151404,-0.278999,2.818071,0
0.072917,161.186817,-25.890110,-171.208795,12.945055,-7.081807,1.221001,7.570208,7.570208,0.244200,-6.593407,0.209402,2.818071,0
0.073960,140.474728,73.995606,-184.237367,-10.161172,-5.616606,-2.197802,8.547009,5.616606,3.174603,-7.570208,0.209402,2.837607,0
0.075000,87.358244,155.507696,-166.197806,-24.637363,-2.197802,-5.128205,8.547009,3.174603,6.105006,-7.570208,0.209402,2.808303,0
0.076042,-5.178022,177.221982,-160.518685,-0.974359,0.732601,-7.081807,7.570208,-0.244200,8.058608,-6.105006,0.209402,2.818071,0
