1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-119.428574,171.208795,-84.351650,12.109890,8.058608,-6.593407,0.244200,-6.593407,7.081807,0.732601,-0.278999,2.202686,0
0.001042,-147.490113,164.861542,-0.167033,-4.036630,9.035409,-5.128205,-3.174603,-8.058608,5.616606,3.663004,0.209402,2.212454,0
0.002084,-162.189015,137.468135,89.362639,-19.347985,9.035409,-1.709402,-5.616606,-8.058608,2.686203,6.593407,0.209402,2.222222,0
0.003125,-169.538465,58.294507,131.454948,-4.871795,7.570208,1.221001,-7.570208,-6.593407,-0.732601,8.058608,0.209402,2.222222,0
0.004167,-162.189015,-27.226374,151.164839,14.336996,4.639805,4.639805,-8.547009,-4.151404,-4.151404,9.035409,-0.278999,2.222222,0
0.005218,-114.083519,-105.397805,170.206597,18.512821,1.709402,7.570208,-7.570208,-0.732601,-6.593407,8.058608,-0.278999,2.231990,0
0.006259,-32.571429,-141.810992,168.870333,1.252747,-1.709402,9.035409,-6.105006,2.686203,-8.058608,6.105006,-0.278999,2.241758,0
0.007297,57.960441,-161.520883,150.830773,-15.728938,-5.128205,9.035409,-3.174603,5.616606,-8.547009,3.174603,-0.278999,2.231990,0
0.008335,118.426376,-172.210993,82.681321,-7.655678,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.244200,-0.278999,2.212454,0
0.009380,146.821981,-165.863740,-2.171429,9.047619,-8.058608,5.616606,3.663004,8.547009,-4.639805,-3.174603,0.209402,2.222222,0
0.010418,161.186817,-138.136267,-91.032969,23.523810,-8.058608,2.686203,6.593407,8.547009,-1.709402,-6.105006,-0.278999,2.231990,0
0.011460,168.870333,-58.628573,-133.459344,8.212454,-7.081807,-0.244200,8.058608,7.570208,1.709402,-7.081807,-0.278999,2.231990,0
0.012502,160.518685,26.224176,-152.501102,-10.439560,-4.151404,-4.151404,9.035409,4.639805,4.639805,-8.058608,0.209402,2.241758,0
0.013544,114.083519,103.727475,-171.208795,-14.058608,-0.732601,-6.593407,8.547009,1.221001,7.570208,-7.570208,-0.278999,2.231990,0
