1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,171.542861,-161.854949,32.905495,10.996337,-6.105006,8.058608,-0.244200,7.081807,-7.081807,1.709402,0.697802,2.759463,0
0.001042,184.571433,-141.476926,-67.982419,11.831502,-7.570208,6.105006,2.686203,8.547009,-5.128205,-1.709402,0.697802,2.778999,0
0.002084,170.874729,-92.035167,-150.162641,7.377289,-7.570208,3.663004,5.616606,8.547009,-2.197802,-4.639805,0.697802,2.769231,0
0.003125,159.850553,-3.507692,-174.883520,-8.769231,-6.593407,0.244200,8.058608,7.570208,0.732601,-7.081807,1.186203,2.769231,0
0.004167,132.457146,96.378024,-181.898905,-11.553114,-4.151404,-2.686203,9.035409,5.616606,3.663004,-7.081807,1.186203,2.788767,0
0.005208,67.648353,164.527476,-165.195608,16.285714,-1.221001,-5.616606,8.547009,2.686203,6.593407,-7.081807,0.697802,2.778999,0
0.006250,-26.558242,185.573631,-152.167036,10.439560,1.709402,-7.081807,7.570208,-0.244200,8.058608,-6.105006,0.697802,2.788767,0
0.007292,-122.435168,179.226378,-115.753849,9.326007,4.151404,-7.570208,4.639805,-3.174603,8.547009,-2.686203,0.697802,2.769231,0
0.008333,-169.538465,163.525278,-31.569231,-8.490842,7.081807,-7.081807,1.221001,-6.105006,8.058608,-0.244200,0.697802,2.798535,0
0.009375,-182.567037,143.147256,69.318683,-9.882784,9.035409,-5.128205,-1.221001,-7.081807,6.105006,2.686203,0.697802,2.788767,0
0.010417,-168.536267,93.371431,152.501102,-5.706960,8.547009,-2.686203,-4.639805,-8.547009,3.663004,5.616606,0.697802,2.769231,0
0.011458,-158.180223,5.846154,175.885718,10.717949,8.058608,0.732601,-7.081807,-6.593407,0.732601,8.547009,0.697802,2.778999,0
0.012500,-130.452750,-95.709892,182.567037,14.058608,5.616606,3.663004,-7.570208,-4.151404,-2.686203,8.547009,0.697802,2.788767,0
0.013542,-66.646155,-162.857146,166.197806,-13.501832,2.686203,6.593407,-8.058608,-1.709402,-5.128205,8.058608,0.697802,2.778999,0
0.014583,28.562638,-184.237367,153.169234,-8.212454,-0.244200,8.547009,-6.105006,1.709402,-7.081807,6.593407,1.186203,2.778999,0
0.015625,124.105497,-177.556048,115.419783,-6.820513,-3.663004,8.547009,-3.174603,4.639805,-7.081807,4.151404,0.209402,2.778999,0
0.016667,171.542861,-162.189015,31.569231,11.831502,-6.105006,8.058608,-0.244200,7.081807,-6.593407,1.221001,0.697802,2.808303,0
0.017709,184.237367,-141.142860,-68.984617,12.109890,-7.570208,6.593407,2.686203,9.035409,-5.128205,-1.709402,0.697802,2.827839,0
0.018750,170.206597,-91.701101,-150.496707,8.769231,-7.570208,4.151404,5.616606,8.547009,-2.686203,-4.151404,0.697802,2.818071,0
0.019792,159.850553,-3.507692,-174.883520,-8.490842,-7.081807,0.732601,8.058608,7.570208,0.732601,-6.593407,0.697802,2.778999,0
0.020833,132.123080,98.048354,-181.230773,-11.553114,-4.151404,-2.686203,8.547009,5.616606,4.151404,-7.570208,0.697802,2.788767,0
0.021876,66.646155,164.861542,-164.861542,15.728938,-1.709402,-5.616606,8.547009,2.686203,6.593407,-7.081807,1.186203,2.778999,0
0.022916,-27.226374,185.907696,-151.498904,10.996337,1.709402,-7.570208,7.570208,-0.732601,8.058608,-5.616606,1.186203,2.778999,0
0.023958,-123.771431,178.892312,-113.415387,9.882784,4.639805,-7.570208,4.639805,-3.663004,8.547009,-3.174603,0.697802,2.769231,0
0.025000,-170.206597,163.525278,-30.567034,-9.326007,7.081807,-7.081807,1.221001,-5.616606,8.547009,-0.244200,0.697802,2.759463,0
0.026048,-182.567037,142.145058,72.325276,-9.326007,8.547009,-5.128205,-1.709402,-7.570208,6.105006,2.686203,0.697802,2.778999,0
0.027089,-168.536267,92.035167,153.837366,-5.150183,8.547009,-2.197802,-4.639805,-7.570208,3.663004,6.105006,1.186203,2.778999,0
0.028127,-158.180223,4.175824,175.885718,12.388278,8.058608,0.732601,-6.593407,-6.593407,0.244200,8.058608,0.697802,2.778999,0
0.029167,-130.452750,-96.712090,182.567037,13.223443,5.128205,4.151404,-7.570208,-4.151404,-2.686203,8.547009,0.697802,2.798535,0
0.030209,-64.641760,-163.191212,166.531872,-13.780220,2.686203,6.593407,-7.570208,-1.221001,-5.616606,8.058608,0.697802,2.769231,0
0.031250,29.564836,-184.237367,152.835168,-10.717949,-0.732601,8.547009,-6.105006,1.709402,-7.081807,6.593407,0.697802,2.778999,0
0.032298,126.443959,-176.553850,114.083519,-7.655678,-3.663004,8.547009,-3.174603,4.639805,-7.081807,4.151404,0.697802,2.769231,0
0.033335,171.876927,-161.854949,31.235166,11.831502,-6.105006,8.058608,-0.244200,7.081807,-7.081807,1.221001,0.697802,2.759463,0
0.034375,185.573631,-140.474728,-69.318683,12.109890,-7.570208,6.593407,2.686203,8.547009,-4.639805,-1.709402,0.697802,2.769231,0
0.035416,170.206597,-91.701101,-151.164839,7.934066,-7.570208,3.663004,6.105006,8.547009,-2.197802,-4.639805,0.697802,2.769231,0
0.036458,159.516487,-2.505495,-175.217586,-8.212454,-7.081807,0.244200,8.058608,7.570208,0.732601,-6.593407,0.697802,2.769231,0
0.037501,132.123080,98.716486,-180.896707,-11.831502,-4.151404,-2.686203,8.547009,5.616606,3.663004,-7.570208,1.186203,2.818071,0
0.038542,65.978023,164.861542,-164.861542,15.172161,-1.709402,-5.616606,9.035409,2.686203,6.593407,-7.081807,0.697802,2.769231,0
0.039583,-28.228572,185.907696,-151.498904,11.553114,2.197802,-7.570208,7.081807,-0.732601,8.058608,-5.616606,0.697802,2.798535,0
0.040625,-123.437365,178.558246,-113.415387,9.326007,4.639805,-7.081807,4.151404,-3.174603,8.547009,-2.686203,0.697802,2.769231,0
0.041667,-169.872531,163.191212,-29.230770,-10.161172,7.081807,-7.081807,1.221001,-6.105006,8.058608,0.244200,1.186203,2.759463,0
0.042708,-182.567037,142.479124,71.323079,-9.882784,8.547009,-5.616606,-1.709402,-7.570208,6.593407,3.174603,1.186203,2.778999,0
0.043750,-168.202202,92.703299,153.169234,-5.706960,8.547009,-2.686203,-4.151404,-7.570208,3.663004,5.616606,0.697802,2.769231,0
0.044793,-158.514289,4.175824,176.219784,11.274725,8.058608,0.732601,-7.081807,-6.593407,0.244200,7.570208,1.186203,2.778999,0
0.045834,-130.118684,-97.714288,182.567037,13.501832,5.616606,3.663004,-7.570208,-4.151404,-2.686203,8.547009,1.186203,2.788767,0
0.046875,-63.973628,-162.857146,164.861542,-13.223443,2.686203,6.593407,-7.570208,-1.221001,-5.616606,8.058608,0.697802,2.778999,0
0.047917,30.567034,-184.905499,152.835168,-9.604396,-0.732601,8.547009,-6.105006,1.709402,-7.081807,6.593407,2.651404,2.798535,0
0.048959,125.441761,-176.887916,115.085717,-6.263736,-3.663004,8.547009,-3.174603,4.639805,-7.081807,4.151404,0.697802,2.769231,0
0.050000,171.876927,-161.854949,30.567034,12.109890,-6.105006,8.547009,-0.244200,7.081807,-6.593407,1.221001,0.209402,2.769231,0
0.051042,184.571433,-141.142860,-69.986815,12.388278,-7.570208,6.105006,2.686203,8.547009,-5.128205,-1.709402,0.697802,2.866911,0
0.052084,170.206597,-90.698903,-152.167036,7.655678,-7.570208,3.663004,5.616606,10.500611,-2.197802,-4.639805,0.209402,2.778999,0
0.053125,159.850553,-1.169231,-175.551652,-9.604396,-7.081807,0.244200,8.058608,8.058608,0.732601,-6.593407,0.697802,2.778999,0
0.054167,131.789014,99.718684,-180.896707,-11.274725,-4.639805,-2.686203,9.035409,5.616606,3.663004,-7.081807,1.186203,2.788767,0
0.055208,64.641760,164.861542,-164.861542,15.450549,-1.221001,-5.616606,8.547009,2.686203,7.081807,-7.081807,0.697802,2.778999,0
0.056250,-29.230770,186.241762,-150.830773,11.831502,1.709402,-7.570208,7.081807,-0.732601,8.547009,-5.616606,0.697802,2.778999,0
0.057292,-124.773629,178.224180,-112.413189,10.439560,4.639805,-7.570208,4.639805,-3.663004,8.058608,-2.686203,1.186203,2.769231,0
0.058333,-170.206597,163.191212,-28.896704,-10.717949,7.081807,-7.081807,1.221001,-6.105006,8.058608,0.244200,0.697802,2.818071,0
0.059375,-182.901103,142.145058,72.325276,-9.882784,8.547009,-5.128205,-2.197802,-7.570208,6.105006,3.174603,0.697802,2.778999,0
0.060416,-167.868136,92.369233,153.837366,-5.428571,9.035409,-2.197802,-4.639805,-7.570208,3.174603,6.105006,0.209402,2.788767,0
0.061459,-157.846157,2.839561,176.553850,12.945055,8.058608,0.732601,-6.593407,-6.593407,0.244200,8.058608,0.697802,2.798535,0
0.062500,-129.784618,-98.048354,181.898905,13.223443,5.616606,4.151404,-7.570208,-4.151404,-2.686203,8.547009,0.697802,2.788767,0
0.063542,-62.637364,-163.191212,166.865938,-13.501832,2.686203,6.593407,-7.570208,-1.221001,-5.616606,8.547009,0.697802,2.778999,0
0.064583,31.569231,-184.571433,152.835168,-10.161172,-0.732601,8.547009,-6.105006,1.709402,-7.081807,6.593407,0.697802,2.778999,0
0.065625,126.443959,-176.219784,114.417585,-7.934066,-3.663004,8.547009,-3.174603,4.639805,-7.081807,3.663004,0.697802,2.759463,0
0.066667,172.210993,-162.523081,30.567034,12.666667,-6.105006,8.058608,-0.244200,7.081807,-7.081807,1.221001,0.697802,2.759463,0
0.067708,184.237367,-140.474728,-72.325276,12.109890,-7.570208,6.105006,3.174603,8.547009,-5.128205,-1.709402,0.697802,2.778999,0
0.068750,169.538465,-90.364837,-152.835168,7.098901,-7.570208,3.174603,5.616606,8.547009,-2.686203,-4.639805,0.697802,2.818071,0
0.069792,159.516487,-1.169231,-175.551652,-8.212454,-6.593407,0.244200,8.058608,8.058608,0.732601,-7.081807,0.697802,2.769231,0
0.070833,131.454948,100.052749,-180.562641,-10.996337,-4.639805,-2.686203,9.035409,5.616606,3.663004,-7.081807,1.186203,2.788767,0
0.071875,64.307694,164.527476,-165.195608,16.564103,-1.221001,-5.616606,8.547009,2.686203,6.593407,-7.081807,1.186203,2.818071,0
0.072917,-30.567034,186.241762,-151.164839,11.274725,1.709402,-7.081807,7.081807,-0.732601,8.547009,-5.616606,0.697802,2.778999,0
0.073959,-125.107695,178.224180,-112.079123,10.161172,4.639805,-7.570208,4.151404,-3.663004,8.547009,-3.174603,0.697802,2.759463,0
0.075000,-170.540663,163.525278,-27.894506,-10.717949,7.081807,-7.081807,1.221001,-6.105006,7.570208,-0.244200,0.697802,2.759463,0
0.076042,-182.232971,142.145058,72.993408,-10.161172,8.547009,-5.128205,-1.709402,-7.081807,6.105006,3.174603,1.186203,2.778999,0
0.077091,-166.531872,90.364837,156.175828,-5.150183,8.547009,-2.686203,-4.639805,-7.570208,3.174603,5.616606,0.697802,2.769231,0
0.078125,-158.180223,2.171429,176.219784,12.109890,8.058608,0.732601,-7.081807,-6.105006,0.244200,8.058608,0.697802,2.769231,0
0.079167,-130.452750,-99.050552,182.232971,12.945055,5.616606,3.663004,-7.570208,-4.151404,-2.686203,8.547009,-0.278999,2.798535,0
0.080209,-62.303298,-162.857146,166.197806,-14.058608,2.686203,6.593407,-7.570208,-1.221001,-5.616606,8.058608,0.697802,2.808303,0
0.081250,32.571429,-184.571433,152.501102,-10.717949,-1.221001,8.547009,-6.105006,1.709402,-7.081807,6.593407,1.674603,2.788767,0
0.082292,126.778025,-176.219784,113.415387,-7.098901,-3.663004,8.547009,-3.174603,4.639805,-7.081807,4.151404,0.697802,2.798535,0
0.083339,172.210993,-161.854949,27.226374,13.780220,-6.105006,8.058608,-0.244200,7.081807,-6.593407,1.221001,0.697802,2.827839,0
0.084375,184.571433,-140.140662,-71.991210,11.831502,-7.570208,6.105006,2.686203,8.547009,-4.639805,-1.709402,0.697802,2.788767,0
0.085418,169.538465,-89.362639,-153.837366,7.377289,-7.570208,3.663004,5.616606,8.547009,-2.197802,-4.639805,0.697802,2.778999,0
