1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-8.518682,149.160443,-165.529674,10.996337,4.151404,-8.547009,5.128205,-3.174603,9.035409,-4.151404,-0.278999,2.212454,0
0.001041,-94.707694,163.191212,-128.448355,21.853480,6.593407,-8.058608,2.197802,-6.105006,8.547009,-1.221001,0.209402,2.202686,0
0.002083,-138.470333,168.870333,-46.936265,7.098901,8.547009,-6.593407,-1.221001,-8.058608,7.081807,2.197802,0.209402,2.202686,0
0.003124,-155.173630,155.841762,39.920880,-11.831502,9.035409,-3.663004,-4.639805,-8.058608,4.151404,5.128205,-0.278999,2.202686,0
0.004167,-168.202202,103.059343,108.738464,-11.274725,8.547009,-0.244200,-7.081807,-7.570208,1.221001,7.570208,0.209402,2.212454,0
0.005208,-168.870333,20.210989,140.808794,5.150183,6.593407,2.686203,-8.547009,-5.616606,-2.197802,8.547009,-0.278999,2.222222,0
0.006249,-146.821981,-69.652749,160.852751,21.018315,3.663004,6.105006,-8.547009,-2.686203,-5.128205,8.547009,-0.278999,2.222222,0
0.007291,-78.672529,-123.771431,171.208795,11.274725,0.244200,8.058608,-7.081807,0.732601,-7.081807,7.570208,-0.278999,2.212454,0
0.008334,8.184616,-150.162641,164.861542,-7.377289,-3.174603,8.547009,-4.639805,4.151404,-8.058608,4.639805,0.209402,2.222222,0
0.009376,94.373628,-163.525278,127.446157,-17.399267,-6.105006,8.547009,-1.221001,6.593407,-7.570208,1.709402,-0.278999,2.202686,0
0.010416,138.136267,-169.204399,45.600001,-4.036630,-8.058608,7.081807,1.709402,8.547009,-6.105006,-1.221001,-0.278999,2.202686,0
0.011458,154.505498,-156.843960,-41.591210,16.007326,-8.547009,4.151404,5.128205,9.035409,-3.174603,-4.639805,-0.278999,2.192918,0
0.012500,167.534070,-103.393409,-110.408794,15.450549,-7.570208,1.221001,7.570208,8.058608,-0.244200,-6.593407,0.209402,2.212454,0
0.013541,168.202202,-20.545055,-142.145058,-0.695971,-5.616606,-2.197802,8.547009,6.105006,2.686203,-8.547009,0.209402,2.222222,0
0.014583,145.819783,69.318683,-162.189015,-17.677656,-2.686203,-5.128205,9.035409,3.174603,6.105006,-8.058608,0.209402,2.222222,0
0.015624,77.670331,123.103299,-171.542861,-7.934066,0.732601,-7.570208,7.570208,-0.244200,8.058608,-6.593407,0.209402,2.212454,0
0.016667,-8.852747,149.160443,-165.863740,11.553114,3.663004,-8.058608,5.616606,-3.174603,9.035409,-4.151404,0.209402,2.222222,0
0.017708,-94.707694,163.191212,-128.448355,21.296703,7.081807,-8.058608,2.197802,-6.105006,8.547009,-1.221001,0.209402,2.202686,0
0.018749,-138.804399,168.536267,-46.602199,7.934066,8.547009,-6.593407,-1.221001,-7.570208,7.081807,2.197802,-0.278999,2.202686,0
0.019791,-155.173630,156.175828,40.923078,-12.388278,9.523810,-3.663004,-4.639805,-8.058608,4.151404,5.128205,0.209402,2.202686,0
0.020833,-168.536267,103.059343,109.072530,-11.831502,8.058608,-0.244200,-6.593407,-7.081807,0.732601,7.570208,-0.278999,2.202686,0
0.021875,-169.204399,19.542858,141.142860,4.036630,6.593407,2.686203,-8.058608,-5.128205,-2.197802,8.547009,0.209402,2.222222,0
0.022916,-146.487915,-69.986815,160.852751,20.183150,3.663004,6.105006,-8.547009,-2.686203,-5.616606,9.035409,0.209402,2.222222,0
0.023958,-78.004397,-124.105497,171.208795,11.831502,-0.244200,8.058608,-7.081807,1.221001,-7.570208,7.570208,-0.278999,2.222222,0
0.025000,8.184616,-150.162641,164.861542,-7.377289,-3.663004,9.035409,-4.639805,4.151404,-8.058608,5.128205,-0.278999,2.222222,0
