1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-127.780223,-103.727475,178.224180,21.296703,5.128205,4.151404,-8.058608,-4.151404,-3.174603,8.058608,0.209402,2.818071,0
0.001042,-57.292309,-167.200004,166.197806,20.183150,2.197802,6.593407,-7.570208,-1.221001,-6.105006,8.058608,0.209402,2.808303,0
0.002083,39.252748,-186.575828,149.494509,-2.087912,-1.221001,8.547009,-6.105006,1.709402,-7.570208,6.593407,-0.278999,2.808303,0
0.003125,130.118684,-175.885718,109.072530,-21.575092,-4.151404,8.547009,-3.174603,4.639805,-7.570208,3.663004,-0.278999,2.788767,0
0.004166,172.545059,-163.525278,22.215385,-8.769231,-6.593407,8.058608,-0.244200,7.081807,-6.593407,0.732601,0.209402,2.788767,0
0.005209,183.235169,-139.138465,-79.006595,13.223443,-8.058608,6.105006,2.686203,8.547009,-5.128205,-2.197802,0.209402,2.808303,0
0.006250,167.534070,-88.026376,-159.516487,29.369963,-8.058608,3.174603,5.616606,8.058608,-2.197802,-5.128205,0.209402,2.798535,0
0.007291,158.514289,6.514286,-179.226378,5.706960,-6.593407,-0.244200,8.058608,7.081807,1.221001,-7.081807,-0.278999,2.808303,0
0.008333,127.112091,102.391211,-179.560444,-17.120879,-4.639805,-3.174603,8.547009,5.128205,3.663004,-7.570208,0.209402,2.818071,0
0.009375,56.290111,166.197806,-167.200004,-16.007326,-1.709402,-6.105006,8.058608,2.197802,7.081807,-7.570208,-0.278999,2.808303,0
0.010416,-40.254946,185.573631,-151.164839,5.985348,1.709402,-7.570208,7.081807,-1.221001,8.058608,-5.616606,0.209402,2.808303,0
0.011458,-131.454948,175.217586,-110.742860,24.915751,4.639805,-7.570208,3.663004,-4.151404,8.547009,-3.174603,0.209402,2.798535,0
0.012500,-172.879125,162.523081,-23.217583,12.666667,7.081807,-7.081807,0.732601,-6.105006,7.570208,-0.244200,0.209402,2.788767,0
0.013542,-183.903301,138.136267,78.004397,-9.326007,8.547009,-5.128205,-1.709402,-7.570208,5.616606,3.174603,0.209402,2.818071,0
0.014583,-168.202202,87.024178,158.514289,-24.637363,8.547009,-2.686203,-5.128205,-7.570208,2.686203,6.105006,0.209402,2.808303,0
0.015625,-159.516487,-6.848352,178.224180,-2.366300,7.570208,0.732601,-7.081807,-6.593407,-0.244200,8.058608,-0.278999,2.808303,0
0.016667,-127.446157,-103.727475,178.224180,20.739927,5.128205,3.663004,-7.570208,-4.151404,-3.174603,8.547009,0.209402,2.818071,0
0.017708,-57.292309,-166.865938,166.197806,20.461538,2.197802,6.593407,-7.570208,-1.221001,-5.616606,8.058608,0.209402,2.808303,0
0.018750,39.920880,-186.241762,149.828575,-1.809524,-1.221001,8.547009,-6.105006,1.709402,-7.081807,6.105006,-0.278999,2.818071,0
0.019791,130.118684,-175.551652,109.072530,-20.739927,-4.151404,8.547009,-3.174603,4.639805,-7.570208,3.663004,0.209402,2.798535,0
0.020834,172.210993,-163.525278,22.215385,-9.047619,-6.593407,8.058608,-0.244200,7.081807,-7.081807,0.732601,0.209402,2.798535,0
0.021875,182.901103,-139.472531,-78.672529,14.058608,-8.058608,6.105006,2.686203,8.058608,-5.128205,-2.197802,0.209402,2.818071,0
0.022916,167.534070,-88.360442,-159.182421,29.369963,-7.570208,3.174603,5.616606,8.547009,-2.197802,-5.128205,0.209402,2.808303,0
0.023958,158.180223,6.514286,-179.226378,5.706960,-7.081807,-0.244200,8.058608,7.081807,0.732601,-7.081807,0.209402,2.808303,0
0.025000,126.778025,102.391211,-179.560444,-16.564103,-4.639805,-3.174603,8.547009,5.128205,4.151404,-7.570208,0.209402,2.818071,0
