1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,216.641763,-159.516487,-2.505495,-18.234432,-3.174603,9.035409,-5.128205,3.174603,-8.547009,5.128205,-0.767399,4.214896,0
0.001042,216.641763,-118.092310,-103.059343,4.315018,-6.105006,9.035409,-2.686203,6.105006,-8.547009,2.197802,-2.232601,4.234432,0
0.002084,188.580224,-53.283518,-180.228575,20.739927,-8.058608,8.058608,1.221001,8.058608,-6.593407,-1.221001,-0.278999,4.224664,0
0.003125,142.813190,34.241759,-228.334071,18.234432,-9.035409,4.639805,5.128205,9.035409,-4.151404,-4.639805,-0.278999,4.205128,0
0.004169,96.378024,131.120882,-211.964840,-4.871795,-8.547009,1.221001,7.081807,8.547009,-1.221001,-7.081807,0.209402,4.205128,0
0.005209,28.562638,197.934070,-177.221982,-15.728938,-6.593407,-1.709402,9.035409,6.593407,2.197802,-8.058608,0.209402,4.214896,0
0.006253,-69.986815,223.991214,-130.118684,-4.315018,-3.663004,-5.128205,9.523810,3.663004,5.128205,-9.035409,0.209402,4.214896,0
0.007292,-160.852751,199.604400,-73.661540,15.172161,-0.244200,-7.570208,8.058608,0.244200,7.570208,-7.570208,0.209402,4.224664,0
0.008333,-218.312093,157.512091,-0.501099,24.080586,3.663004,-8.547009,5.616606,-3.174603,9.035409,-5.128205,0.209402,4.195360,0
0.009376,-217.978027,117.758244,100.386815,2.366300,6.105006,-8.547009,3.174603,-6.105006,9.035409,-2.197802,-0.278999,4.234432,0
0.010417,-190.250554,51.279122,178.224180,-13.780220,8.547009,-7.081807,-0.732601,-8.058608,7.081807,0.732601,-0.278999,4.322344,0
0.011459,-144.483520,-35.912089,226.329675,-12.666667,9.523810,-4.151404,-4.151404,-9.035409,4.639805,4.639805,-0.278999,4.214896,0
0.012500,-99.050552,-132.457146,210.294510,5.985348,8.547009,-1.221001,-7.081807,-8.547009,1.221001,7.081807,0.209402,4.205128,0
0.013542,-30.232968,-199.604400,175.217586,21.853480,6.593407,2.197802,-9.523810,-6.593407,-2.197802,8.547009,-0.278999,4.214896,0
0.014584,67.648353,-225.327478,128.114289,10.439560,4.151404,5.616606,-9.035409,-3.663004,-5.128205,9.035409,-0.278999,4.214896,0
0.015629,159.182421,-201.274730,71.323079,-9.326007,0.732601,8.058608,-8.058608,-0.244200,-7.570208,8.058608,0.209402,4.214896,0
0.016667,214.971433,-159.516487,-2.171429,-18.512821,-3.174603,9.035409,-5.128205,3.174603,-8.547009,5.128205,-0.278999,4.195360,0
0.017709,215.973631,-116.087915,-103.393409,4.315018,-6.105006,9.035409,-2.197802,6.105006,-8.547009,2.686203,-0.278999,4.214896,0
0.018750,188.580224,-53.283518,-180.562641,19.626374,-8.058608,7.570208,1.221001,8.547009,-7.081807,-1.221001,0.209402,4.214896,0
0.019792,142.813190,34.575825,-228.668137,18.512821,-9.035409,4.639805,4.639805,9.035409,-4.151404,-4.151404,-0.278999,4.214896,0
0.020833,97.046156,130.118684,-212.298906,-4.315018,-8.547009,1.709402,7.081807,8.547009,-1.221001,-7.081807,-0.278999,4.214896,0
0.021876,28.562638,197.934070,-177.556048,-16.564103,-6.593407,-2.197802,8.547009,6.593407,2.197802,-8.547009,0.209402,4.244200,0
0.022917,-69.652749,223.657148,-130.452750,-4.871795,-3.663004,-5.616606,9.035409,3.663004,5.616606,-8.547009,-0.278999,4.214896,0
0.023959,-160.518685,199.604400,-73.661540,15.728938,-0.244200,-7.570208,8.058608,0.732601,7.570208,-7.570208,0.209402,4.224664,0
0.025001,-218.646159,158.180223,0.167033,23.523810,3.663004,-9.035409,5.616606,-4.151404,8.547009,-5.128205,0.209402,4.195360,0
0.026042,-217.978027,116.421981,100.720881,1.252747,6.105006,-8.547009,2.686203,-5.616606,9.035409,-2.197802,0.209402,4.214896,0
