1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-152.167036,-17.872528,226.329675,-16.842491,9.523810,-4.639805,-3.663004,-8.547009,5.128205,4.639805,0.697802,4.214896,0
0.001041,-110.408794,-120.430772,212.632972,10.161172,9.035409,-1.709402,-6.105006,-8.058608,2.197802,7.081807,0.697802,4.224664,0
0.002083,-41.925276,-191.586817,181.898905,20.739927,7.570208,1.709402,-8.058608,-6.593407,-1.221001,8.547009,0.209402,4.234432,0
0.003124,52.615386,-226.329675,137.468135,13.501832,4.639805,5.616606,-8.547009,-3.663004,-4.151404,9.035409,0.209402,4.224664,0
0.004167,146.821981,-206.953851,82.681321,-7.934066,1.221001,7.570208,-8.058608,-0.732601,-7.081807,8.547009,0.209402,4.224664,0
0.005208,208.958246,-167.868136,12.193407,-17.399267,-2.197802,9.035409,-5.616606,2.686203,-8.058608,6.105006,0.209402,4.224664,0
0.006252,219.982422,-124.439563,-90.030771,1.809524,-5.128205,9.523810,-2.686203,6.105006,-8.547009,3.174603,0.209402,4.244200,0
0.007291,194.259345,-65.309892,-171.876927,18.512821,-7.570208,8.058608,0.732601,8.058608,-7.081807,-0.244200,0.697802,4.253968,0
0.008334,150.162641,16.870330,-228.334071,23.523810,-9.035409,5.128205,4.151404,9.523810,-4.639805,-3.663004,0.697802,4.224664,0
0.009374,109.072530,118.426376,-214.303301,-4.036630,-8.547009,2.197802,7.081807,9.035409,-1.221001,-6.105006,0.697802,4.224664,0
0.010416,40.589012,189.916488,-183.569235,-14.615385,-6.593407,-1.221001,8.547009,7.081807,2.197802,-7.570208,0.697802,4.234432,0
0.011458,-54.619781,225.327478,-139.472531,-7.098901,-3.663004,-4.639805,9.523810,4.639805,5.128205,-8.547009,0.209402,4.234432,0
0.012500,-148.158245,205.617587,-84.685716,14.058608,-0.732601,-7.081807,8.547009,1.221001,7.570208,-7.570208,0.209402,4.224664,0
0.013541,-210.294510,166.197806,-14.197803,23.802198,3.174603,-8.547009,6.593407,-2.197802,9.035409,-5.128205,0.697802,4.214896,0
0.014583,-221.652752,123.437365,87.692310,5.150183,6.105006,-8.547009,3.663004,-5.128205,9.523810,-2.686203,0.697802,4.244200,0
0.015625,-195.595609,63.639562,170.206597,-12.109890,8.547009,-7.081807,0.244200,-7.081807,8.058608,0.732601,0.697802,4.244200,0
0.016667,-151.498904,-18.206594,226.329675,-17.677656,9.523810,-4.639805,-3.663004,-8.547009,5.128205,4.639805,0.697802,4.214896,0
0.017708,-110.074728,-121.098904,212.632972,10.717949,9.035409,-1.221001,-6.105006,-8.058608,2.197802,7.081807,0.697802,4.224664,0
0.018749,-41.591210,-191.920883,181.564839,20.739927,7.081807,1.709402,-8.058608,-6.593407,-1.221001,8.547009,0.697802,4.234432,0
0.019792,53.617584,-226.329675,137.468135,13.780220,4.151404,5.128205,-8.547009,-3.663004,-4.639805,9.035409,0.209402,4.224664,0
0.020833,146.821981,-206.619785,82.681321,-7.377289,1.221001,7.570208,-8.058608,-0.732601,-7.081807,8.058608,0.697802,4.234432,0
0.021875,208.958246,-167.200004,11.525275,-17.677656,-2.686203,9.035409,-5.616606,2.686203,-8.058608,6.105006,0.209402,4.224664,0
0.022916,219.982422,-124.773629,-90.030771,0.974359,-5.616606,9.523810,-3.174603,6.105006,-8.547009,3.174603,0.697802,4.244200,0
0.023958,194.259345,-64.641760,-172.210993,18.234432,-7.570208,8.058608,0.732601,8.058608,-7.081807,-0.244200,0.209402,4.253968,0
