1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-59.630771,-175.217586,191.586817,18.791209,8.058608,0.732601,-8.058608,-7.570208,-0.732601,8.547009,-0.278999,4.214896,0
0.001042,23.217583,-229.336269,145.485718,21.575092,5.128205,4.639805,-9.035409,-4.639805,-4.151404,9.035409,-0.278999,4.205128,0
0.002083,122.769234,-211.964840,101.389013,-3.201465,1.709402,6.593407,-8.547009,-1.709402,-6.593407,8.547009,-0.278999,4.214896,0
0.003125,191.920883,-179.226378,31.903297,-14.615385,-1.221001,8.547009,-6.593407,1.709402,-8.058608,6.593407,-0.767399,4.224664,0
0.004167,224.325280,-134.127476,-65.643958,-7.655678,-5.128205,9.035409,-4.151404,5.128205,-9.035409,3.663004,-0.278999,4.224664,0
0.005209,202.610994,-81.679123,-156.509894,15.728938,-7.570208,8.058608,-0.732601,7.081807,-8.058608,0.244200,-0.278999,4.214896,0
0.006250,163.525278,-9.186813,-214.971433,23.523810,-8.547009,5.616606,3.174603,8.058608,-5.616606,-3.174603,0.209402,4.185592,0
0.007292,119.762640,92.369233,-219.314291,3.201465,-9.035409,3.174603,6.593407,8.547009,-2.686203,-6.105006,0.209402,4.195360,0
0.008334,57.960441,173.213191,-193.257147,-12.109890,-7.570208,-0.244200,8.547009,7.570208,0.732601,-8.058608,0.209402,4.214896,0
0.009376,-25.221979,227.331873,-148.158245,-15.728938,-5.128205,-4.151404,9.035409,5.128205,4.639805,-8.547009,0.209402,4.195360,0
0.010417,-125.441761,210.294510,-105.397805,10.439560,-1.709402,-7.081807,8.547009,2.197802,6.593407,-8.058608,0.209402,4.205128,0
0.011460,-193.257147,177.890114,-34.909891,20.183150,1.709402,-8.058608,7.081807,-1.221001,8.547009,-6.105006,-0.278999,4.214896,0
0.012501,-225.995609,132.457146,63.305496,12.109890,5.128205,-9.035409,3.663004,-5.128205,9.035409,-3.663004,0.209402,4.214896,0
0.013542,-204.949455,80.008793,154.505498,-9.047619,7.570208,-8.058608,0.732601,-7.081807,8.547009,-0.244200,0.209402,4.253968,0
