1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-141.476926,167.534070,-21.881319,0.139194,8.547009,-5.616606,-2.197802,-8.058608,5.616606,2.686203,-0.767399,2.212454,0
0.001041,-159.182421,146.487915,65.978023,-16.842491,8.547009,-3.174603,-5.616606,-8.058608,3.174603,6.105006,-0.278999,2.202686,0
0.002083,-170.540663,81.679123,118.426376,-7.377289,7.570208,0.732601,-7.570208,-7.570208,-0.244200,7.570208,-0.278999,2.183150,0
0.003124,-164.861542,-2.839561,144.817586,9.604396,5.616606,3.174603,-8.547009,-4.639805,-3.174603,9.035409,-0.278999,2.192918,0
0.004167,-134.127476,-92.369233,159.850553,21.575092,2.197802,6.593407,-8.547009,-1.709402,-6.105006,8.547009,-0.278999,2.202686,0
0.005208,-55.287913,-135.129673,169.872531,7.934066,-1.221001,8.058608,-7.081807,1.221001,-8.058608,6.593407,-0.767399,2.212454,0
0.006249,30.567034,-154.171432,159.516487,-10.717949,-4.639805,9.035409,-4.151404,4.639805,-8.547009,3.663004,-0.278999,2.192918,0
0.007292,103.727475,-168.202202,106.065936,-12.945055,-6.593407,8.058608,-0.732601,7.081807,-7.570208,0.732601,-0.278999,2.173382,0
0.008333,140.808794,-169.204399,19.542858,4.593407,-8.547009,6.105006,2.686203,8.547009,-5.616606,-2.197802,-0.767399,2.183150,0
0.009374,158.514289,-147.824179,-67.982419,20.739927,-8.547009,3.174603,5.616606,9.035409,-2.686203,-5.616606,-0.278999,2.183150,0
0.010416,169.872531,-82.681321,-119.762640,12.945055,-7.081807,-0.244200,8.058608,7.570208,0.732601,-7.570208,-0.767399,2.192918,0
0.011458,163.859344,1.837363,-146.487915,-5.985348,-5.616606,-3.663004,9.035409,5.128205,3.663004,-8.547009,-0.767399,2.222222,0
0.012499,133.793410,90.698903,-161.520883,-19.069597,-2.197802,-6.593407,8.547009,2.197802,6.593407,-8.058608,-0.278999,2.202686,0
0.013541,54.619781,134.127476,-171.208795,-4.036630,1.221001,-8.058608,7.081807,-1.221001,8.058608,-6.593407,-0.278999,2.202686,0
0.014583,-31.903297,152.835168,-160.852751,14.615385,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.174603,-0.278999,2.192918,0
0.015626,-104.729673,167.200004,-107.068134,16.842491,7.081807,-7.570208,1.221001,-6.593407,7.570208,-0.244200,-0.278999,2.183150,0
0.016666,-141.810992,167.534070,-22.883517,0.417582,8.547009,-5.616606,-2.197802,-8.058608,5.616606,2.686203,-0.767399,2.183150,0
0.017707,-159.850553,146.487915,64.641760,-16.285714,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.183150,0
0.018749,-171.542861,81.679123,118.092310,-7.934066,7.570208,0.732601,-7.570208,-7.081807,-0.244200,7.570208,-0.278999,2.192918,0
0.019792,-164.861542,-2.171429,145.151652,8.490842,5.616606,3.663004,-8.547009,-5.128205,-3.174603,8.547009,-0.767399,2.261294,0
0.020833,-134.795607,-91.701101,159.850553,22.688645,2.197802,6.593407,-8.058608,-2.197802,-6.105006,8.547009,-2.232601,2.222222,0
0.021874,-55.621979,-135.129673,170.206597,7.655678,-0.732601,8.547009,-7.081807,1.221001,-7.570208,6.593407,-0.767399,2.192918,0
0.022917,30.901100,-154.171432,159.850553,-10.717949,-4.639805,8.547009,-4.151404,4.639805,-8.058608,4.151404,-0.278999,2.202686,0
0.023958,103.727475,-167.868136,106.065936,-12.666667,-7.081807,8.058608,-0.732601,7.081807,-7.081807,0.732601,-0.767399,2.183150,0
0.024999,140.474728,-168.870333,21.547253,3.201465,-8.058608,6.105006,2.686203,8.058608,-5.616606,-2.686203,-0.278999,2.183150,0
0.026042,157.846157,-147.824179,-66.980221,20.183150,-8.547009,3.174603,6.105006,9.035409,-3.174603,-5.616606,-0.278999,2.192918,0
0.027083,169.538465,-84.017584,-118.760442,11.553114,-7.570208,0.244200,7.570208,7.570208,0.732601,-7.081807,-0.278999,2.192918,0
0.028125,163.859344,1.169231,-147.490113,-5.985348,-5.128205,-3.174603,9.035409,5.128205,3.663004,-8.547009,-0.278999,2.202686,0
0.029166,133.793410,90.364837,-161.854949,-18.234432,-2.197802,-6.105006,8.547009,2.197802,6.593407,-8.058608,0.697802,2.212454,0
0.030208,54.619781,134.127476,-171.208795,-4.315018,1.221001,-8.058608,7.081807,-0.732601,8.547009,-6.105006,-0.278999,2.222222,0
0.031250,-30.567034,152.835168,-161.186817,14.615385,4.639805,-8.547009,4.151404,-4.151404,8.547009,-3.663004,-0.767399,2.241758,0
