1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-168.536267,32.571429,140.140662,1.252747,7.081807,2.686203,-8.058608,-5.616606,-1.709402,8.547009,-0.278999,2.212454,0
0.001042,-152.501102,-57.960441,158.180223,19.347985,4.151404,5.616606,-8.547009,-3.174603,-5.128205,8.547009,-0.278999,2.212454,0
0.002083,-89.362639,-116.087915,170.874729,12.945055,0.244200,8.058608,-7.081807,0.244200,-7.081807,7.570208,0.209402,2.212454,0
0.003126,-3.841758,-147.156047,166.197806,-4.593407,-2.686203,9.035409,-5.128205,3.663004,-8.058608,5.616606,-0.278999,2.222222,0
0.004167,86.021980,-162.189015,137.134069,-20.183150,-5.616606,9.035409,-2.197802,6.105006,-8.058608,2.197802,-0.278999,2.212454,0
0.005209,131.454948,-170.540663,57.292309,-4.036630,-7.570208,7.081807,1.221001,8.058608,-6.593407,-1.221001,-0.278999,2.192918,0
0.006250,150.496707,-160.852751,-29.230770,14.615385,-8.547009,4.639805,4.639805,8.547009,-3.663004,-4.151404,-0.278999,2.202686,0
0.007291,166.197806,-113.415387,-103.393409,17.399267,-8.058608,1.709402,7.081807,8.058608,-0.732601,-6.593407,-0.278999,2.212454,0
0.008337,168.202202,-32.571429,-140.808794,2.087912,-6.105006,-1.709402,9.035409,6.593407,2.197802,-8.058608,-0.278999,2.222222,0
0.009379,151.164839,58.294507,-160.184619,-14.893773,-3.174603,-4.639805,9.035409,3.663004,5.616606,-8.547009,-0.278999,2.212454,0
0.010416,88.694507,115.419783,-171.542861,-8.769231,-0.244200,-7.081807,8.058608,0.244200,8.058608,-7.081807,0.209402,2.212454,0
0.011458,3.841758,145.819783,-167.200004,8.490842,3.174603,-8.058608,6.105006,-2.686203,9.035409,-4.639805,-0.278999,2.222222,0
