1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-167.200004,34.909891,138.804399,15.172161,7.081807,2.686203,-8.058608,-6.105006,-1.709402,8.547009,0.209402,2.183150,0
0.001042,-152.501102,-55.956045,159.182421,8.212454,4.151404,5.616606,-8.547009,-2.686203,-4.639805,8.547009,0.697802,2.173382,0
0.002083,-89.028573,-114.751651,171.876927,-7.098901,0.244200,8.058608,-7.081807,0.244200,-7.081807,7.570208,0.209402,2.183150,0
0.003125,-3.507692,-145.819783,167.534070,-7.655678,-2.686203,9.035409,-4.639805,3.663004,-8.058608,5.616606,0.209402,2.192918,0
0.004167,87.358244,-161.854949,139.472531,-1.809524,-5.616606,9.035409,-1.709402,6.593407,-7.570208,2.686203,0.209402,2.173382,0
0.005208,133.125278,-169.204399,56.958243,8.212454,-7.570208,7.081807,1.709402,8.058608,-6.105006,-0.732601,-0.767399,2.173382,0
0.006250,150.830773,-159.516487,-27.560440,5.706960,-8.058608,4.639805,4.639805,9.035409,-3.663004,-4.151404,0.209402,2.153846,0
0.007291,168.870333,-112.747255,-103.727475,-7.655678,-7.570208,1.709402,7.081807,8.058608,-0.732601,-6.593407,0.209402,2.173382,0
0.008333,168.202202,-33.239561,-137.802201,-14.058608,-6.105006,-1.709402,9.035409,6.593407,1.709402,-7.570208,0.209402,2.173382,0
0.009375,153.837366,56.958243,-158.180223,-7.098901,-3.174603,-5.128205,9.035409,3.663004,5.616606,-8.547009,0.697802,2.173382,0
0.010416,89.362639,115.753849,-170.540663,9.326007,0.244200,-7.081807,8.058608,0.244200,8.058608,-6.593407,0.697802,2.163614,0
0.011458,4.175824,145.485718,-166.197806,8.769231,3.663004,-8.058608,5.616606,-2.686203,9.035409,-4.639805,0.697802,2.173382,0
0.012504,-87.692310,163.191212,-136.800003,4.036630,7.081807,-7.570208,2.686203,-5.616606,8.547009,-1.221001,0.697802,2.173382,0
0.013546,-133.125278,170.540663,-55.621979,-6.263736,8.058608,-6.105006,-0.732601,-7.081807,7.081807,1.709402,0.209402,2.153846,0
0.014586,-149.828575,159.850553,29.898902,-5.150183,9.035409,-3.663004,-4.151404,-8.058608,4.639805,5.128205,0.209402,2.183150,0
0.015630,-167.868136,113.081321,102.725277,7.098901,8.547009,-0.732601,-6.105006,-7.081807,1.221001,7.570208,0.209402,2.173382,0
0.016667,-167.200004,33.907693,138.470333,14.336996,6.593407,2.197802,-8.058608,-5.616606,-1.709402,8.547009,-0.278999,2.183150,0
0.017709,-152.167036,-56.624177,159.516487,8.212454,4.151404,5.616606,-8.547009,-3.174603,-5.128205,9.035409,0.209402,2.183150,0
0.018750,-88.026376,-114.751651,171.542861,-7.098901,0.732601,8.058608,-7.081807,0.732601,-7.081807,7.570208,0.209402,2.173382,0
0.019792,-2.839561,-146.153849,167.534070,-7.098901,-2.686203,9.035409,-4.639805,3.663004,-8.058608,4.151404,0.209402,2.183150,0
0.020833,87.358244,-161.520883,138.470333,-2.087912,-5.616606,9.035409,-1.709402,6.105006,-7.570208,2.197802,0.209402,2.173382,0
0.021875,133.459344,-169.538465,56.624177,8.490842,-7.570208,7.081807,1.709402,8.058608,-6.105006,-0.732601,0.209402,2.163614,0
0.022916,150.830773,-159.182421,-29.230770,6.542125,-8.058608,4.639805,5.128205,9.035409,-3.663004,-4.151404,0.209402,2.163614,0
0.023958,168.870333,-112.747255,-104.395607,-7.098901,-7.570208,1.709402,7.081807,8.058608,-0.732601,-6.105006,0.209402,2.231990,0
0.025000,168.202202,-32.571429,-137.802201,-13.223443,-5.616606,-1.709402,9.035409,6.593407,2.686203,-8.058608,0.209402,2.183150,0
0.026042,153.169234,57.292309,-158.180223,-5.706960,-3.174603,-4.639805,9.035409,4.151404,5.616606,-8.058608,0.209402,2.202686,0
0.027083,88.694507,115.753849,-170.540663,7.934066,0.732601,-7.081807,8.058608,0.244200,8.058608,-6.593407,0.209402,2.173382,0
0.028125,3.173626,147.156047,-166.197806,8.490842,3.663004,-8.058608,6.105006,-2.686203,9.035409,-4.639805,0.209402,2.183150,0
0.029167,-87.024178,162.857146,-137.468135,3.479853,6.593407,-8.058608,2.686203,-6.105006,9.035409,-1.221001,0.209402,2.173382,0
0.030208,-132.457146,170.874729,-55.621979,-6.820513,8.547009,-6.105006,-0.732601,-7.081807,7.081807,1.709402,0.209402,2.163614,0
0.031250,-150.162641,160.184619,28.896704,-4.315018,9.035409,-3.663004,-4.151404,-8.058608,4.151404,5.128205,0.697802,2.163614,0
0.032291,-167.868136,113.081321,105.397805,9.047619,8.547009,-0.732601,-6.593407,-7.570208,1.221001,7.081807,0.697802,2.173382,0
0.033334,-167.868136,33.239561,139.806597,15.172161,6.593407,2.686203,-8.058608,-5.616606,-1.709402,8.547009,0.209402,2.183150,0
0.034375,-152.167036,-57.626375,159.182421,8.490842,4.151404,5.616606,-8.058608,-2.686203,-5.128205,9.035409,0.209402,2.183150,0
0.035416,-87.358244,-115.085717,171.542861,-7.098901,0.732601,8.058608,-7.081807,0.732601,-7.081807,7.570208,0.209402,2.173382,0
0.036458,-2.505495,-146.153849,167.200004,-6.263736,-2.686203,9.035409,-5.128205,3.663004,-8.058608,5.616606,-0.278999,2.202686,0
0.037500,88.694507,-162.189015,137.468135,-1.809524,-5.616606,8.547009,-1.709402,6.593407,-7.570208,2.686203,-0.278999,2.163614,0
0.038541,133.793410,-169.204399,55.956045,8.212454,-7.081807,7.570208,1.709402,8.058608,-6.105006,-0.732601,0.209402,2.153846,0
0.039583,150.830773,-158.848355,-28.562638,6.263736,-8.058608,4.639805,5.128205,9.035409,-3.663004,-4.151404,0.209402,2.163614,0
0.040625,169.204399,-111.745057,-104.061541,-7.377289,-7.570208,1.709402,7.570208,8.058608,-0.244200,-6.105006,0.209402,2.163614,0
0.041667,167.534070,-31.903297,-138.136267,-14.058608,-6.105006,-1.709402,9.035409,6.593407,2.197802,-7.570208,0.209402,2.183150,0
0.042708,153.169234,58.628573,-158.514289,-6.542125,-3.174603,-5.128205,9.523810,3.663004,5.616606,-8.547009,0.209402,2.173382,0
0.043750,87.692310,116.087915,-170.540663,9.326007,0.732601,-7.081807,7.570208,0.244200,8.058608,-6.593407,0.209402,2.173382,0
0.044792,3.173626,148.158245,-166.531872,9.326007,3.663004,-8.058608,6.105006,-2.686203,9.035409,-4.639805,0.209402,2.173382,0
0.045834,-88.026376,163.191212,-136.465937,4.315018,6.593407,-8.058608,2.686203,-5.616606,8.547009,-1.221001,0.209402,2.173382,0
0.046875,-132.457146,170.540663,-55.287913,-5.428571,8.547009,-6.105006,-0.732601,-7.081807,6.593407,1.709402,0.209402,2.183150,0
0.047916,-149.828575,159.850553,29.564836,-5.985348,9.035409,-3.663004,-3.663004,-8.058608,4.639805,4.639805,0.209402,2.163614,0
0.048959,-167.868136,112.747255,105.063739,8.769231,8.547009,-0.732601,-6.593407,-7.081807,1.221001,7.570208,0.209402,2.173382,0
0.050000,-167.534070,32.905495,138.804399,15.450549,7.081807,2.686203,-8.058608,-5.616606,-1.709402,8.547009,0.209402,2.183150,0
0.051041,-151.832970,-57.292309,159.182421,8.212454,4.151404,6.105006,-8.547009,-2.686203,-5.128205,9.035409,0.209402,2.173382,0
0.052083,-85.019782,-115.085717,171.208795,-6.542125,0.732601,8.058608,-7.081807,0.732601,-7.081807,7.570208,0.209402,2.173382,0
0.053125,-1.837363,-146.487915,167.534070,-6.542125,-2.686203,9.035409,-4.639805,4.151404,-8.058608,5.616606,0.209402,2.183150,0
0.054166,89.362639,-162.189015,137.802201,-0.417582,-5.616606,9.035409,-1.709402,6.593407,-7.570208,2.197802,0.209402,2.173382,0
0.055209,133.793410,-171.876927,54.953847,9.047619,-7.570208,7.081807,1.709402,8.058608,-6.105006,-0.732601,0.209402,2.163614,0
0.056250,151.164839,-158.848355,-29.564836,5.985348,-8.058608,4.639805,4.639805,9.035409,-3.663004,-4.151404,0.209402,2.173382,0
0.057292,169.204399,-111.410991,-104.729673,-5.706960,-7.570208,1.709402,7.570208,8.058608,-0.244200,-6.593407,0.209402,2.222222,0
0.058333,168.202202,-30.901100,-137.802201,-14.058608,-5.616606,-1.709402,9.035409,6.593407,2.686203,-7.570208,0.209402,2.183150,0
0.059375,152.835168,58.628573,-158.180223,-6.820513,-3.174603,-4.639805,9.035409,3.663004,6.105006,-8.058608,0.209402,2.183150,0
0.060417,87.358244,116.756047,-170.874729,7.377289,0.244200,-7.081807,8.058608,0.244200,8.058608,-6.593407,0.209402,2.173382,0
0.061459,2.505495,147.490113,-166.197806,8.490842,3.663004,-8.058608,5.616606,-3.663004,8.547009,-4.639805,0.209402,2.183150,0
