1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,100.720881,104.061541,-174.549454,-11.274725,-0.244200,-7.081807,8.058608,0.732601,7.570208,-7.081807,-0.278999,2.268620,0
0.001042,29.564836,157.178025,-190.250554,5.428571,3.174603,-8.058608,6.105006,-2.197802,9.035409,-5.128205,0.209402,2.288156,0
0.002083,-70.989013,183.903301,-179.894510,19.626374,6.105006,-8.058608,3.174603,-5.128205,9.035409,-2.197802,0.209402,2.302808,0
0.003125,-125.107695,168.870333,-72.325276,6.820513,8.058608,-6.593407,-0.244200,-7.081807,7.570208,1.221001,0.697802,2.532357,0
0.004167,-147.156047,161.854949,14.197803,-5.428571,9.035409,-4.639805,-3.174603,-8.058608,5.128205,4.639805,0.209402,2.346764,0
0.005208,-163.859344,125.441761,97.380222,-16.285714,9.035409,-1.221001,-6.105006,-7.570208,1.709402,7.081807,0.209402,2.263736,0
0.006251,-168.536267,46.936265,135.129673,-4.036630,7.081807,1.709402,-7.570208,-6.593407,-1.221001,8.058608,-0.278999,2.273504,0
0.007292,-155.173630,-40.254946,154.171432,16.564103,4.639805,5.128205,-8.547009,-3.174603,-4.639805,9.035409,-0.278999,2.273504,0
0.008333,-105.397805,-109.406596,167.200004,14.336996,1.221001,7.570208,-7.081807,-0.244200,-7.081807,7.570208,-0.278999,2.268620,0
0.009375,-30.901100,-140.140662,170.206597,-1.252747,-2.197802,9.035409,-5.128205,3.174603,-8.058608,5.616606,-0.278999,2.283272,0
0.010418,43.929671,-155.507696,151.832970,-17.399267,-5.128205,9.035409,-2.686203,6.105006,-8.547009,2.686203,-0.278999,2.263736,0
0.011459,123.437365,-176.887916,86.690112,-5.706960,-7.081807,7.570208,1.221001,8.058608,-6.593407,-0.732601,-0.278999,2.249084,0
0.012500,146.821981,-162.523081,-17.872528,11.274725,-8.547009,5.128205,4.151404,9.035409,-4.151404,-3.663004,-0.278999,2.356532,0
0.013542,163.525278,-126.109893,-98.382420,35.216117,-8.058608,2.197802,6.593407,8.547009,-1.221001,-6.105006,-0.278999,2.336996,0
0.014584,167.868136,-48.272529,-136.131871,-1.809524,-6.105006,-1.221001,8.547009,7.081807,2.197802,-7.570208,-0.278999,2.268620,0
0.015625,156.509894,39.586814,-154.171432,-13.501832,-4.151404,-4.151404,9.035409,4.151404,5.616606,-8.547009,0.209402,2.273504,0
0.016667,99.718684,108.738464,-170.206597,-11.831502,-0.244200,-7.081807,8.547009,1.221001,7.570208,-7.081807,0.209402,2.263736,0
