1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,190.250554,-110.074728,-132.791212,29.926740,-8.547009,7.081807,2.686203,9.035409,-6.105006,-1.709402,0.209402,3.943834,0
0.001041,161.854949,-39.252748,-192.254949,24.915751,-9.035409,4.151404,6.593407,10.012210,-3.174603,-5.616606,0.697802,3.836386,0
0.002083,140.140662,66.646155,-203.613191,0.417582,-7.570208,0.732601,9.035409,9.035409,0.244200,-8.058608,0.209402,3.684982,0
0.003125,88.026376,155.173630,-180.562641,-20.183150,-5.616606,-2.686203,10.012210,6.105006,4.151404,-8.547009,0.209402,3.680098,0
0.004166,4.843956,196.263741,-159.516487,-11.274725,-2.197802,-6.105006,9.523810,2.686203,7.081807,-8.547009,0.697802,3.675214,0
0.005208,-102.725277,197.934070,-128.448355,15.172161,1.709402,-8.058608,8.058608,-0.732601,8.058608,-6.593407,0.209402,3.680098,0
0.006250,-191.252752,168.870333,-65.309892,28.813187,5.128205,-9.035409,5.128205,-4.151404,10.012210,-3.663004,0.209402,3.655678,0
0.007291,-174.883520,150.162641,37.916484,6.542125,8.058608,-8.547009,1.709402,-7.081807,9.035409,-0.244200,0.697802,3.665446,0
0.008333,-191.586817,89.696705,137.468135,-15.450549,9.523810,-6.593407,-1.709402,-8.547009,7.081807,2.686203,0.697802,3.689866,0
0.009375,-163.525278,38.918682,190.918686,-25.194139,10.012210,-3.174603,-5.616606,-9.035409,3.663004,6.593407,-3.697802,3.802198,0
0.010417,-141.810992,-67.982419,201.608796,12.109890,9.035409,0.732601,-8.058608,-8.058608,0.244200,9.035409,0.209402,3.875458,0
0.011458,-88.360442,-156.509894,178.558246,25.194139,6.593407,3.663004,-9.035409,-5.128205,-3.174603,9.523810,0.209402,3.675214,0
0.012500,-5.178022,-197.600004,157.846157,16.842491,2.686203,7.081807,-9.035409,-1.709402,-6.593407,9.523810,0.209402,3.670330,0
0.013541,102.057145,-198.936268,126.443959,-9.604396,-0.732601,9.035409,-7.081807,1.221001,-8.058608,7.570208,0.209402,3.675214,0
0.014584,176.887916,-170.540663,65.309892,-23.523810,-4.151404,10.012210,-4.151404,4.639805,-9.035409,5.128205,0.209402,3.655678,0
0.015625,198.268136,-150.496707,-36.246155,-1.252747,-7.081807,9.035409,-0.732601,8.058608,-8.058608,1.221001,0.209402,3.655678,0
0.016666,190.584620,-110.408794,-131.789014,20.461538,-8.547009,7.081807,2.686203,9.035409,-6.105006,-1.709402,0.209402,3.680098,0
0.017708,161.520883,-39.920880,-192.254949,25.194139,-9.523810,4.151404,6.593407,10.012210,-3.174603,-5.616606,0.209402,3.670330,0
0.018751,140.808794,65.978023,-203.947257,0.974359,-8.058608,0.732601,9.035409,8.547009,0.244200,-7.570208,0.697802,3.675214,0
0.019791,87.358244,154.839564,-180.896707,-21.018315,-5.616606,-3.174603,9.523810,6.105006,4.151404,-8.547009,0.209402,3.675214,0
0.020833,3.841758,195.929675,-159.516487,-10.717949,-2.197802,-6.593407,9.523810,2.686203,7.081807,-8.547009,0.209402,3.660562,0
0.021875,-102.725277,197.600004,-128.448355,14.893773,1.221001,-8.058608,8.058608,-0.244200,8.547009,-6.593407,0.697802,3.675214,0
0.022917,-177.890114,169.204399,-66.646155,29.091575,5.128205,-9.035409,5.128205,-4.151404,9.523810,-4.151404,0.209402,3.660562,0
0.023958,-198.602202,149.160443,34.241759,7.377289,7.570208,-8.547009,1.221001,-7.081807,8.547009,-0.244200,0.697802,3.665446,0
0.025000,-191.586817,108.738464,130.118684,-14.615385,9.523810,-6.105006,-1.709402,-8.547009,7.570208,3.174603,0.209402,3.684982,0
0.026041,-163.525278,39.586814,190.584620,-20.739927,10.500611,-3.174603,-5.616606,-9.035409,4.151404,6.593407,0.209402,3.680098,0
0.027083,-142.479124,-66.980221,201.608796,4.315018,9.035409,0.244200,-8.058608,-8.058608,0.732601,9.035409,0.209402,3.680098,0
0.028125,-88.694507,-155.841762,178.892312,26.029304,6.105006,3.663004,-9.035409,-5.128205,-3.174603,9.523810,0.209402,3.675214,0
0.029166,-5.512088,-197.265938,157.846157,16.564103,3.174603,7.570208,-8.547009,-2.197802,-6.105006,9.523810,0.209402,3.670330,0
0.030209,101.054947,-198.936268,127.112091,-9.882784,-0.732601,9.035409,-7.570208,1.221001,-8.058608,7.570208,0.209402,3.670330,0
0.031250,176.553850,-170.540663,65.643958,-24.080586,-4.151404,10.012210,-4.151404,5.128205,-8.547009,4.639805,0.209402,3.655678,0
0.032291,197.600004,-150.830773,-35.578023,-1.809524,-7.081807,9.523810,-0.732601,7.570208,-8.058608,1.221001,0.209402,3.665446,0
0.033333,190.584620,-110.742860,-131.454948,19.904762,-8.547009,7.081807,2.686203,9.523810,-6.105006,-2.197802,0.209402,3.689866,0
0.034376,162.189015,-40.589012,-192.254949,24.915751,-9.523810,4.151404,6.105006,10.012210,-3.174603,-5.616606,0.209402,3.675214,0
0.035416,140.808794,65.643958,-203.279125,-0.695971,-8.058608,0.732601,9.035409,8.547009,0.732601,-8.058608,0.209402,3.680098,0
0.036458,87.692310,154.505498,-180.562641,-20.183150,-5.616606,-3.174603,10.012210,6.105006,4.151404,-8.547009,0.697802,3.680098,0
0.037500,4.843956,196.263741,-159.850553,-11.274725,-2.197802,-6.593407,9.523810,3.174603,7.081807,-8.547009,0.209402,3.670330,0
0.038542,-102.391211,197.600004,-128.114289,14.893773,1.221001,-8.058608,8.058608,-0.732601,9.035409,-6.593407,0.209402,3.680098,0
0.039583,-177.556048,169.538465,-67.314287,29.091575,5.128205,-9.035409,5.128205,-4.151404,9.523810,-4.151404,0.697802,3.660562,0
0.040625,-198.936268,149.494509,33.573627,11.553114,8.058608,-8.547009,1.709402,-7.081807,9.035409,-0.732601,0.209402,3.665446,0
0.041666,-192.254949,109.072530,129.784618,-14.893773,9.523810,-6.105006,-1.709402,-8.547009,6.593407,2.686203,0.697802,3.684982,0
0.042709,-163.191212,39.920880,190.584620,-20.183150,10.012210,-3.174603,-5.616606,-9.035409,4.151404,6.105006,0.697802,3.680098,0
0.043750,-142.479124,-66.312089,201.608796,4.315018,9.035409,0.732601,-8.058608,-8.058608,0.732601,8.547009,0.209402,3.680098,0
0.044792,-89.362639,-155.507696,179.226378,25.472527,6.105006,3.663004,-9.035409,-5.616606,-2.686203,9.523810,0.209402,3.680098,0
0.045833,-6.180220,-196.931873,158.180223,16.564103,2.686203,7.570208,-9.035409,-1.709402,-6.593407,9.035409,0.209402,3.670330,0
0.046876,101.054947,-199.270334,127.112091,-9.604396,-0.244200,9.035409,-7.081807,1.709402,-8.058608,7.570208,0.209402,3.675214,0
0.047917,176.219784,-170.540663,65.978023,-23.523810,-3.663004,10.012210,-4.151404,4.639805,-8.547009,5.128205,0.209402,3.650794,0
0.048958,197.934070,-150.830773,-35.243957,-1.252747,-7.081807,9.523810,-0.732601,8.058608,-8.547009,1.221001,0.209402,3.660562,0
