1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-FAULT 
0.000000,-173.213191,145.819783,41.591210,-4.315018,8.547009,-6.593407,-1.221001,-7.570208,7.081807,2.197802,0.209402,2.849817,0
0.001041,-166.531872,108.070332,129.784618,-22.410256,9.035409,-3.663004,-4.151404,-8.058608,4.151404,4.639805,0.209402,2.854701,0
0.002093,-157.512091,22.549451,163.859344,-8.490842,8.547009,-0.244200,-6.593407,-7.570208,0.732601,7.570208,0.209402,2.854701,0
0.003130,-137.134069,-72.325276,173.881323,14.615385,6.593407,3.174603,-8.058608,-5.128205,-2.197802,8.547009,0.209402,2.864469,0
0.004166,-87.024178,-150.162641,159.182421,27.421245,3.663004,6.105006,-8.058608,-2.197802,-5.128205,8.547009,-0.278999,2.844933,0
0.005209,5.178022,-171.542861,153.837366,4.871795,-0.244200,8.058608,-7.081807,0.732601,-7.081807,7.570208,-0.278999,2.849817,0
0.006249,101.389013,-172.879125,123.437365,-17.120879,-3.174603,8.547009,-4.151404,3.663004,-8.058608,4.639805,-0.278999,2.844933,0
0.007292,158.514289,-160.184619,50.610990,-14.893773,-6.105006,8.058608,-1.709402,6.593407,-7.570208,1.709402,0.209402,2.830281,0
0.008336,172.879125,-145.819783,-43.595605,7.934066,-8.058608,7.081807,1.709402,8.547009,-6.105006,-1.709402,0.209402,2.849817,0
0.009375,166.531872,-108.070332,-130.786816,25.472527,-8.547009,4.639805,5.128205,8.547009,-3.174603,-4.151404,0.209402,2.849817,0
0.010416,157.178025,-23.885715,-164.193410,12.666667,-7.570208,1.221001,7.570208,8.058608,-0.244200,-6.593407,-0.278999,2.849817,0
0.011464,136.800003,71.991210,-174.549454,-10.439560,-5.616606,-2.197802,9.035409,5.616606,3.174603,-8.058608,0.209402,2.859585,0
0.012508,84.685716,150.162641,-159.516487,-22.967033,-2.686203,-5.128205,9.035409,3.174603,6.105006,-7.570208,0.209402,2.840049,0
0.013548,-6.514286,171.542861,-153.837366,-1.531136,0.732601,-7.570208,8.058608,-0.244200,8.058608,-6.593407,0.209402,2.854701,0
0.014584,-101.389013,172.545059,-124.105497,20.739927,4.151404,-8.058608,5.128205,-3.174603,8.547009,-3.663004,0.209402,2.844933,0
0.015625,-158.514289,159.850553,-51.613188,18.791209,6.593407,-8.058608,2.197802,-6.105006,8.547009,-1.221001,0.209402,2.835165,0
0.016666,-173.547257,145.485718,41.591210,-3.758242,8.547009,-6.593407,-1.221001,-7.570208,7.081807,2.197802,0.209402,2.854701,0
0.017707,-166.531872,108.404398,129.450552,-22.688645,9.035409,-3.663004,-4.151404,-8.058608,4.151404,5.128205,0.209402,2.849817,0
